INDEX,NEED_EXP_QUALITY_1,TOTAL_EXP_1,NEED_EXP_QUALITY_2,TOTAL_EXP_2,NEED_EXP_QUALITY_3,TOTAL_EXP_3,NEED_EXP_QUALITY_4,TOTAL_EXP_4,NEED_EXP_QUALITY_5,TOTAL_EXP_5,NEED_EXP_QUALITY_6,TOTAL_EXP_6,NEED_EXP_QUALITY_7,TOTAL_EXP_7
21,6505,43902,8131,54876,11384,76827,14636,98777,29272,197559,40656,274386,48787,329264
22,7106,50407,8883,63007,12436,88211,15989,113413,31978,226831,44413,315042,53296,378051
23,7732,57513,9665,71890,13532,100647,17398,129402,34796,258809,48327,359455,57993,431347
24,8384,65245,10480,81555,14671,114179,18863,146800,37726,293605,52398,407782,62877,489340
25,9060,73629,11325,92035,15855,128850,20384,165663,40769,331331,56623,460180,67948,552217
26,9761,82689,12201,103360,17081,144705,21961,186047,43923,372100,61004,516803,73205,620165
27,10486,92450,13108,115561,18351,161786,23594,208008,47188,416023,65539,577807,78647,693370
28,11236,102936,14046,128669,19664,180137,25282,231602,50564,463211,70228,643346,84274,772017
29,12011,114172,15014,142715,21020,199801,27025,256884,54050,513775,75070,713574,90084,856291
30,12810,126183,16013,157729,22418,220821,28823,283909,57646,567825,80065,788644,96077,946375
31,13634,138993,17042,173742,23859,243239,30676,312732,61352,625471,85211,868709,102254,1042452
32,14482,152627,18102,190784,25343,267098,32583,343408,65167,686823,90510,953920,108612,1144706
33,15353,167109,19192,208886,26869,292441,34545,375991,69091,751990,95959,1044430,115151,1253318
34,16249,182462,20312,228078,28437,319310,36561,410536,73123,821081,101559,1140389,121871,1368469
35,17170,198711,21462,248390,30047,347747,38632,447097,77263,894204,107310,1241948,128772,1490340
36,18114,215881,22642,269852,31699,377794,40756,485729,81511,971467,113210,1349258,135852,1619112
37,19082,233995,23852,292494,33393,409493,42933,526485,85867,1052978,119260,1462468,143112,1754964
38,20073,253077,25092,316346,35128,442886,45165,569418,90330,1138845,125458,1581728,150550,1898076
39,21089,273150,26361,341438,36905,478014,47450,614583,94900,1229175,131805,1707186,158166,2048626
40,22128,294239,27660,367799,38724,514919,49788,662033,99576,1324075,138301,1838991,165961,2206792
41,23191,316367,28989,395459,40584,553643,52180,711821,104359,1423651,144944,1977292,173932,2372753
42,24277,339558,30347,424448,42486,594227,54624,764001,109249,1528010,151734,2122236,182081,2546685
43,25388,363835,31734,454795,44428,636713,57122,818625,114244,1637259,158672,2273970,190406,2728766
44,26521,389223,33151,486529,46412,681141,59672,875747,119345,1751503,165756,2432642,198908,2919172
45,27678,415744,34597,519680,48436,727553,62275,935419,124551,1870848,172987,2598398,207585,3118080
46,28858,443422,36073,554277,50502,775989,64931,997694,129862,1995399,180364,2771385,216437,3325665
47,30062,472280,37577,590350,52608,826491,67639,1062625,135278,2125261,187887,2951749,225464,3542102
48,31289,502342,39111,627927,54755,879099,70400,1130264,140799,2260539,195555,3139636,234666,3767566
49,32539,533631,40674,667038,56943,933854,73212,1200664,146425,2401338,203368,3335191,244042,4002232
50,33812,566170,42265,707712,59171,990797,76077,1273876,152155,2547763,211326,3538559,253591,4246274
51,35109,599982,43886,749977,61440,1049968,78994,1349953,157989,2699918,219429,3749885,263314,4499865
52,36428,635091,45535,793863,63749,1111408,81963,1428947,163926,2857907,227676,3969314,273211,4763179
53,37771,671519,47213,839398,66099,1175157,84984,1510910,169968,3021833,236066,4196990,283280,5036390
54,39136,709290,48920,886611,68488,1241256,88056,1595894,176113,3191801,244601,4433056,293521,5319670
55,40525,748426,50656,935531,70918,1309744,91180,1683950,182361,3367914,253279,4677657,303935,5613191
56,41936,788951,52420,986187,73388,1380662,94356,1775130,188712,3550275,262100,4930936,314520,5917126
57,43370,830887,54213,1038607,75898,1454050,97583,1869486,195166,3738987,271064,5193036,325277,6231646
58,44827,874257,56034,1092820,78448,1529948,100862,1967069,201723,3934153,280171,5464100,336205,6556923
59,46307,919084,57884,1148854,81038,1608396,104191,2067931,208383,4135876,289420,5744271,347304,6893128
60,47810,965391,59762,1206738,83667,1689434,107572,2172122,215144,4344259,298812,6033691,358574,7240432
61,49335,1013201,61669,1266500,86337,1773101,111004,2279694,222008,4559403,308345,6332503,370014,7599006
62,50883,1062536,63604,1328169,89046,1859438,114487,2390698,228974,4781411,318020,6640848,381624,7969020
63,52454,1113419,65567,1391773,91794,1948484,118021,2505185,236042,5010385,327836,6958868,393404,8350644
64,54047,1165873,67559,1457340,94582,2040278,121606,2623206,243212,5246427,337794,7286704,405353,8744048
65,55663,1219920,69579,1524899,97410,2134860,125241,2744812,250483,5489639,347893,7624498,417471,9149401
66,57301,1275583,71626,1594478,100277,2232270,128928,2870053,257855,5740122,358132,7972391,429759,9566872
67,58962,1332884,73702,1666104,103183,2332547,132664,2998981,265329,5997977,368512,8330523,442215,9996631
68,60645,1391846,75807,1739806,106129,2435730,136452,3131645,272904,6263306,379033,8699035,454840,10438846
69,62351,1452491,77939,1815613,109114,2541859,140290,3268097,280579,6536210,389694,9078068,467632,10893686
70,64079,1514842,80099,1893552,112138,2650973,144178,3408387,288356,6816789,400494,9467762,480593,11361318
71,65830,1578921,82287,1973651,115202,2763111,148116,3552565,296233,7105145,411435,9868256,493722,11841911
72,67602,1644751,84503,2055938,118304,2878313,152105,3700681,304211,7401378,422515,10279691,507018,12335633
73,69397,1712353,86747,2140441,121446,2996617,156144,3852786,312288,7705589,433734,10702206,520481,12842651
74,71215,1781750,89019,2227188,124626,3118063,160233,4008930,320467,8017877,445093,11135940,534111,13363132
75,73054,1852965,91318,2316207,127845,3242689,164372,4169163,328745,8338344,456590,11581033,547908,13897243
76,74916,1926019,93645,2407525,131103,3370534,168561,4333535,337123,8667089,468226,12037623,561872,14445151
77,76800,2000935,96000,2501170,134400,3501637,172800,4502096,345601,9004212,480001,12505849,576002,15007023
78,78706,2077735,98383,2597170,137736,3636037,177089,4674896,354179,9349813,491915,12985850,590298,15583025
79,80635,2156441,100793,2695553,141111,3773773,181428,4851985,362856,9703992,503966,13477765,604760,16173323
80,82585,2237076,103231,2796346,144524,3914884,185816,5033413,371632,10066848,516156,13981731,619387,16778083
81,84557,2319661,105697,2899577,147975,4059408,190254,5219229,380508,10438480,528484,14497887,634180,17397470
82,86552,2404218,108190,3005274,151466,4207383,194742,5409483,389483,10818988,540949,15026371,649139,18031650
83,88568,2490770,110710,3113464,154995,4358849,199279,5604225,398557,11208471,553552,15567320,664262,18680789
84,90607,2579338,113258,3224174,158562,4513844,203865,5803504,407730,11607028,566292,16120872,679551,19345051
85,92667,2669945,115834,3337432,162168,4672406,208501,6007369,417002,12014758,579170,16687164,695004,20024602
86,94750,2762612,118437,3453266,165812,4834574,213186,6215870,426373,12431760,592185,17266334,710621,20719606
87,96854,2857362,121067,3571703,169494,5000386,217921,6429056,435842,12858133,605336,17858519,726403,21430227
88,98980,2954216,123725,3692770,173215,5169880,222705,6646977,445410,13293975,618624,18463855,742349,22156630
89,101128,3053196,126410,3816495,176974,5343095,227538,6869682,455076,13739385,632049,19082479,758459,22898979
90,103298,3154324,129122,3942905,180771,5520069,232420,7097220,464840,14194461,645611,19714528,774733,23657438
91,105489,3257622,131862,4072027,184606,5700840,237351,7329640,474702,14659301,659308,20360139,791170,24432171
92,107703,3363111,134628,4203889,188480,5885446,242331,7566991,484662,15134003,673142,21019447,807771,25223341
93,109938,3470814,137422,4338517,192391,6073926,247360,7809322,494721,15618665,687112,21692589,824535,26031112
94,112195,3580752,140244,4475939,196341,6266317,252438,8056682,504877,16113386,701218,22379701,841461,26855647
95,114473,3692947,143092,4616183,200329,6462658,257565,8309120,515131,16618263,715459,23080919,858551,27697108
96,116774,3807420,145967,4759275,204354,6662987,262741,8566685,525482,17133394,729836,23796378,875803,28555659
97,119096,3924194,148870,4905242,208418,6867341,267965,8829426,535931,17658876,744348,24526214,893218,29431462
98,121439,4043290,151799,5054112,212519,7075759,273239,9097391,546477,18194807,758996,25270562,910795,30324680
99,123805,4164729,154756,5205911,216658,7288278,278560,9370630,557121,18741284,773779,26029558,928535,31235475
100,126191,4288534,157739,5360667,220835,7504936,283931,9649190,567862,19298405,788697,26803337,946436,32164010
101,128600,4414725,160750,5518406,225050,7725771,289350,9933121,578700,19866267,803749,27592034,964499,33110446
102,131030,4543325,163787,5679156,229302,7950821,294817,10222471,589634,20444967,818937,28395783,982724,34074945
103,133481,4674355,166852,5842943,233592,8180123,300333,10517288,600666,21034601,834259,29214720,1001110,35057669
104,135954,4807836,169943,6009795,237920,8413715,305897,10817621,611795,21635267,849715,30048979,1019658,36058779
105,138449,4943790,173061,6179738,242286,8651635,311510,11123518,623020,22247062,865306,30898694,1038367,37078437
106,140965,5082239,176206,6352799,246689,8893921,317171,11435028,634342,22870082,881031,31764000,1057237,38116804
107,143502,5223204,179378,6529005,251129,9140610,322880,11752199,645761,23504424,896890,32645031,1076268,39174041
108,146061,5366706,182577,6708383,255607,9391739,328638,12075079,657276,24150185,912883,33541921,1095460,40250309
109,148642,5512767,185802,6890960,260123,9647346,334444,12403717,668887,24807461,929010,34454804,1114812,41345769
110,151243,5661409,189054,7076762,264676,9907469,340297,12738161,680595,25476348,945271,35383814,1134325,42460581
111,153866,5812652,192333,7265816,269266,10172145,346199,13078458,692399,26156943,961665,36329085,1153998,43594906
112,156511,5966518,195638,7458149,273894,10441411,352149,13424657,704298,26849342,978192,37290750,1173831,44748904
113,159177,6123029,198971,7653787,278559,10715305,358147,13776806,716294,27553640,994853,38268942,1193824,45922735
114,161864,6282206,202330,7852758,283261,10993864,364193,14134953,728386,28269934,1011648,39263795,1213977,47116559
115,164572,6444070,205715,8055088,288001,11277125,370287,14499146,740574,28998320,1028575,40275443,1234290,48330536
116,167302,6608642,209127,8260803,292778,11565126,376429,14869433,752857,29738894,1045635,41304018,1254762,49564826
117,170053,6775944,212566,8469930,297592,11857904,382618,15245862,765236,30491751,1062828,42349653,1275394,50819588
118,172825,6945997,216031,8682496,302443,12155496,388856,15628480,777711,31256987,1080154,43412481,1296185,52094982
119,175618,7118822,219523,8898527,307332,12457939,395141,16017336,790281,32034698,1097613,44492635,1317136,53391167
120,178433,7294440,223041,9118050,312257,12765271,401473,16412477,802947,32824979,1115204,45590248,1338245,54708303
