INDEX,GAIY_BY_STAGE,GAIN_BY_FUNCTION,GAIN_BY_SHOPINDEX
16106,20210,10012|10014,0
16107,20250,10013|10012|10014,0
16108,20290,10013|10012|10014,0
16109,20330,10013|10012|10014,0
16202,20049|20089,10012|10014,0
16203,20069,10012|10014,0
16204,20120,10012|10014,0
16205,20160,10012|10014,0
16206,20200,10012|10014,0
16207,20240,10013|10012|10014,0
16208,20280,10013|10012|10014,0
16209,20320,10013|10012|10014,0
16302,20038|20080,10012|10014,0
16303,20060,10012|10014,0
16304,20110,10012|10014,0
16305,20150,10012|10014,0
16306,20190,10012|10014,0
16307,20230,10013|10012|10014,0
16308,20270,10013|10012|10014,0
16309,20310,10013|10012|10014,0
17001,,10010,0
17002,,10010,0
17003,,10010,0
17004,,10010,0
17005,,10010,0
17006,,10010,0
17007,,10012|10010,0
17008,,10012|10010,0
17009,,10012|10010,0
17010,,10012|10010,0
17011,,10012|10010,0
17012,,10012|10010,0
17013,,10012|10010,0
17014,,10012|10010,0
17015,,10013|10010,0
17016,,10013|10010,0
17017,,10013|10010,0
17018,,10013|10010,0
17019,,10013|10010,0
17020,,10013|10010,0
17021,,10013|10010,0
17022,,10013|10010,0
17023,,10013|10010,0
17024,,10013|10010,0
17025,,10010,0
17026,,10010,0
17027,,10010,0
17028,,10010,0
17029,,10010,0
17030,,10010,0
17031,,10012|10010,0
17032,,10012|10010,0
17033,,10012|10010,0
17034,,10012|10010,0
17035,,10012|10010,0
17036,,10012|10010,0
17037,,10012|10010,0
17038,,10012|10010,0
17039,,10013|10010,0
17040,,10013|10010,0
17041,,10013|10010,0
17042,,10013|10010,0
17043,,10013|10010,0
17044,,10013|10010,0
17045,,10013|10010,0
17046,,10013|10010,0
17047,,10013|10010,0
17048,,10013|10010,0
17049,,10010,0
17050,,10010,0
17051,,10010,0
17052,,10010,0
17053,,10010,0
17054,,10010,0
17055,,10010,0
2000002,,10013,0
2000003,,10013,0
2000004,,10020,0
2000005,,10020,0
2000006,,10013,0
2000007,,10020,0
2000008,,10013|10016,0
2000013,,10013,0
2000014,,10013,0
2000015,,10013,0
2000016,,10013,0
2000017,,10013,0
2000018,,10013,0
2000201,,10020,0
2000202,,10016,0
2000203,,10012,0
2000205,,10013,0
2000206,,10012,0
2000207,,10012,0
2000208,,10012,0
2000209,,10012,0
2000210,,10012,0
2000211,,10012,0
2000212,,10020,0
2000213,,10020,0
2000214,,10020,0
1000002,,10013|10021|10019|10012,0
1000004,,10029|10019,0
