INDEX,Type,TITLE,DESC,ICON_ATLAS_NAME,ICON_SPRITE_NAME,FAILD_ATLAS_NAME,FAILD_SPRITE_NAME,Function_ID
10015,15,商城抽卡,商城抽卡,GainResPathAtlas,a_ui_ziyuan_chouka,trialUIAtlas,a_ui_failguide_icon_09,1900
10016,16,声望商店,声望商店,GainResPathAtlas,a_ui_ziyuan_gongxianshangdian,trialUIAtlas,a_ui_ziyuan_gongxianshangdian,1904
10017,17,灵将商铺,灵将商铺,GainResPathAtlas,a_ui_ziyuan_heishi,trialUIAtlas,a_ui_ziyuan_heishi,1700
10018,18,魔鳞商店,魔鳞商店,GainResPathAtlas,a_ui_ziyuan_molingshangdian,trialUIAtlas,a_ui_ziyuan_molingshangdian,1905
10019,19,镇妖,镇妖,GainResPathAtlas,a_ui_ziyuan_xunxian,trialUIAtlas,a_ui_ziyuan_xunxian,1404
10020,20,封灵塔,封灵塔,GainResPathAtlas,a_ui_ziyuan_fenglingta,trialUIAtlas,a_ui_failguide_icon_10,1402
10021,21,轻松难度副本,轻松难度副本,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_ziyuan_jiandan,1500
10022,22,普通难度副本,普通难度副本,GainResPathAtlas,a_ui_ziyuan_putong,trialUIAtlas,a_ui_ziyuan_putong,1501
10023,23,赠送好友,赠送好友,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_ziyuan_jiandan,500
10024,24,天魔战斗,天魔战斗,GainResPathAtlas,a_ui_ziyuan_tianmojianglin,trialUIAtlas,a_ui_ziyuan_tianmojianglin,1401
10025,25,充值界面,充值界面,GainResPathAtlas,a_ui_ziyuan_duobao,trialUIAtlas,a_ui_ziyuan_duobao,204
10026,26,点星,点星,GainResPathAtlas,a_ui_ziyuan_fenglingta,trialUIAtlas,a_ui_ziyuan_fenglingta,1200
10027,27,宗门,宗门,GainResPathAtlas,a_ui_ziyuan_dianfengtiaozhan,trialUIAtlas,a_ui_ziyuan_dianfengtiaozhan,900
10028,28,日常副本,日常副本,GainResPathAtlas,a_ui_ziyuan_putong,trialUIAtlas,a_ui_ziyuan_putong,1502
10029,29,回收,回收,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_ziyuan_jiandan,1000
10030,30,扫荡十次,扫荡十次,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_ziyuan_jiandan,1506
10031,6,装备精炼,装备精炼,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_06,717
10032,8,神器精炼,神器精炼,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_08,718
10033,5,装备,装备,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_ziyuan_jiandan,1100
10034,24,天魔降临,天魔降临,GainResPathAtlas,a_ui_ziyuan_tianmojianglin,trialUIAtlas,a_ui_ziyuan_tianmojianglin,1503
10035,31,队伍,队伍界面,GainResPathAtlas,a_ui_ziyuan_tianmojianglin,trialUIAtlas,a_ui_failguide_icon_14,700
10036,32,助战,助战界面,GainResPathAtlas,a_ui_ziyuan_tianmojianglin,trialUIAtlas,a_ui_failguide_icon_15,704
10037,5,装备穿戴,装备穿戴,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_11,761
10038,5,神器穿戴,神器穿戴,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_13,761
10039,31,灵将上阵,9级灵将上阵,0,0,0,0,702
10040,31,灵将上阵,16级灵将上阵,0,0,0,0,703
