MOTION,SOUND_FILE,INFO,PLAY_SOUND_MODEL_TYPE,SOUND_TYPE
11018_die,Sound/dub/,江洋大盗,0,3
11018_cute,Sound/dub/,江洋大盗,0,3
11019_die,Sound/dub/,采花大盗,0,3
11019_cute,Sound/dub/flower_cute,采花大盗,3,3
11020_die,Sound/dub/,纵火大盗,0,3
11020_cute,Sound/dub/,纵火大盗,0,3
11021_die,Sound/dub/,炙热虎,0,3
11021_cute,Sound/dub/,炙热虎,0,3
11022_die,Sound/dub/,盘根虎,0,3
11022_cute,Sound/dub/,盘根虎,0,3
11023_die,Sound/dub/,怒浪虎,0,3
11023_cute,Sound/dub/,怒浪虎,0,3
11024_die,Sound/dub/,冲天虎,0,3
11024_cute,Sound/dub/,冲天虎,0,3
11025_die,Sound/dub/,幽冥虎,0,3
11025_cute,Sound/dub/,幽冥虎,0,3
11026_die,Sound/dub/,天师喵,0,3
11026_cute,Sound/dub/,天师喵,0,3
11027_die,Sound/dub/,鬼探喵,0,3
11027_cute,Sound/dub/,鬼探喵,0,3
11028_die,Sound/dub/,星火符妖,0,3
11028_cute,Sound/dub/,星火符妖,0,3
11029_die,Sound/dub/,净水符妖,0,3
11029_cute,Sound/dub/,净水符妖,0,3
11030_die,Sound/dub/,巨藤符妖,0,3
11030_cute,Sound/dub/,巨藤符妖,0,3
11031_die,Sound/dub/,耀目符妖,0,3
11031_cute,Sound/dub/,耀目符妖,0,3
11032_die,Sound/dub/,破土符妖,0,3
11032_cute,Sound/dub/,破土符妖,0,3
11033_die,Sound/dub/,泽洛龟,0,3
11033_cute,Sound/dub/,泽洛龟,0,3
11034_die,Sound/dub/,滚木龟,0,3
11034_cute,Sound/dub/,滚木龟,0,3
11035_die,Sound/dub/,赤炎龟,0,3
11035_cute,Sound/dub/,赤炎龟,0,3
11036_die,Sound/dub/,波波雀,0,3
11036_cute,Sound/dub/,波波雀,0,3
11037_die,Sound/dub/,青叶雀,0,3
11037_cute,Sound/dub/,青叶雀,0,3
11038_die,Sound/dub/,烈烈雀,0,3
11038_cute,Sound/dub/,烈烈雀,0,3
11039_die,Sound/dub/,溪涧熊哥,0,3
11039_cute,Sound/dub/,溪涧熊哥,0,3
11040_die,Sound/dub/,密林熊哥,0,3
11040_cute,Sound/dub/,密林熊哥,0,3
11041_die,Sound/dub/,灼风熊哥,0,3
11041_cute,Sound/dub/,灼风熊哥,0,3
11042_die,Sound/dub/,阳炎熊哥,0,3
11042_cute,Sound/dub/panda_yyxg_cute,阳炎熊哥,3,3
11043_die,Sound/dub/,幽火熊哥,0,3
11043_cute,Sound/dub/,幽火熊哥,0,3
11044_die,Sound/dub/,点赞圣手,0,3
11044_cute,Sound/dub/,点赞圣手,0,3
11045_die,Sound/dub/,点赞狂魔,0,3
11045_cute,Sound/dub/,点赞狂魔,0,3
11046_die,Sound/dub/,揽月猿,0,3
11046_cute,Sound/dub/,揽月猿,0,3
11047_die,Sound/dub/,攀枝猿,0,3
11047_cute,Sound/dub/,攀枝猿,0,3
11048_die,Sound/dub/,承旭猿,0,3
11048_cute,Sound/dub/,承旭猿,0,3
11049_die,Sound/dub/,碧波蝶,0,3
11049_cute,Sound/dub/,碧波蝶,0,3
11050_die,Sound/dub/,翠翅蝶,0,3
11050_cute,Sound/dub/,翠翅蝶,0,3
11051_die,Sound/dub/,光明闪蝶,0,3
11051_cute,Sound/dub/,光明闪蝶,0,3
11052_die,Sound/dub/,福运童子,0,3
11052_cute,Sound/dub/,福运童子,0,3
11053_die,Sound/dub/jiangshi_die,僵尸娃娃,3,3
11053_cute,Sound/dub/jiangshi_cute,僵尸娃娃,3,3
11054_die,Sound/dub/,浴雨狐妖,0,3
11054_cute,Sound/dub/,浴雨狐妖,0,3
11055_die,Sound/dub/,藏树狐妖,0,3
11055_cute,Sound/dub/,藏树狐妖,0,3
11056_die,Sound/dub/,惹火狐妖,0,3
11056_cute,Sound/dub/,惹火狐妖,0,3
11057_die,Sound/dub/,迷踪影狐,0,3
11057_cute,Sound/dub/,迷踪影狐,0,3
11058_die,Sound/dub/,九尾冥狐,0,3
11058_cute,Sound/dub/,九尾冥狐,0,3
11059_die,Sound/dub/,沸水符人,0,3
11059_cute,Sound/dub/,沸水符人,0,3
11060_die,Sound/dub/,爆木符人,0,3
11060_cute,Sound/dub/,爆木符人,0,3
11061_die,Sound/dub/,烈碳符人,0,3
11061_cute,Sound/dub/,烈碳符人,0,3
11062_die,Sound/dub/evilsnake_die,大王蛇女,3,3
11062_cute,Sound/dub/evilsnake_cute,大王蛇女,3,3
11063_die,Sound/dub/,腹黑蛇女,0,3
11063_cute,Sound/dub/,腹黑蛇女,0,3
11064_die,Sound/dub/,沼泽木,0,3
11064_cute,Sound/dub/,沼泽木,0,3
11065_die,Sound/dub/,峰山木,0,3
11065_cute,Sound/dub/,峰山木,0,3
11066_die,Sound/dub/,狂炎木,0,3
11066_cute,Sound/dub/,狂炎木,0,3
11067_die,Sound/dub/,双尾圣灵,0,3
11067_cute,Sound/dub/,双尾圣灵,0,3
11068_die,Sound/dub/shuangweiyouhun_die,双尾幽鬼,3,3
11068_cute,Sound/dub/shuangweiyouhun_cute,双尾幽鬼,3,3
11069_die,Sound/dub/,吉祥仙女,0,3
11069_cute,Sound/dub/,吉祥仙女,0,3
11070_die,Sound/dub/,追命魔女,0,3
11070_cute,Sound/dub/,追命魔女,0,3
11071_die,Sound/dub/,双面毒蛛,0,3
11071_cute,Sound/dub/,双面毒蛛,0,3
11072_die,Sound/dub/,黑寡妇,0,3
11072_cute,Sound/dub/,黑寡妇,0,3
11073_die,Sound/dub/spider_die,姬鬼狼蛛,3,3
11073_cute,Sound/dub/spider_cute,姬鬼狼蛛,3,3
11074_die,Sound/dub/anjingling_die,古墓暗灵,3,3
11074_cute,Sound/dub/anjingling_cute,古墓暗灵,0,3
11075_die,Sound/dub/binglingyuanshuai_die,冰凌元帅,3,3
11075_cute,Sound/dub/binglingyuanshuai_cute,冰凌元帅,0,3
11076_die,Sound/dub/neza_die,持枪仙君,3,3
11076_cute,Sound/dub/neza_cute,持枪仙君,0,3
11077_die,Sound/dub/jianke_die,独孤求败,3,3
11077_cute,Sound/dub/jianke_cute,独孤求败,0,3
11078_die,Sound/dub/duopo_die,夺魄,3,3
11078_cute,Sound/dub/duopo_cute,夺魄,0,3
11079_die,Sound/dub/tigerlord_die,虎力大仙,3,3
11079_cute,Sound/dub/tigerlord_cute,虎力大仙,0,3
11080_die,Sound/dub/bullhead_die,健美牛头,3,3
11080_cute,Sound/dub/bullhead_cute,健美牛头,0,3
11081_die,Sound/dub/juqianxiejiang_die,巨钳蟹将,3,3
11081_cute,Sound/dub/juqianxiejiang_cute,巨钳蟹将,0,3
11082_die,Sound/dub/deerlord_die,鹿力大仙,3,3
11082_cute,Sound/dub/deerlord_cute,鹿力大仙,0,3
11083_die,Sound/dub/mingjiezhanjiang_die,冥界战将,3,3
11083_cute,Sound/dub/mingjiezhanjiang_cute,冥界战将,0,3
11084_die,Sound/dub/mohuawushi_die,魔化武士,3,3
11084_cute,Sound/dub/mohuawushi_cute,魔化武士,0,3
11085_die,Sound/dub/guainia_die,三头怪鸟,3,3
11085_cute,Sound/dub/guainia_cute,三头怪鸟,0,3
11086_die,Sound/dub/panda_die,神木大圣,3,3
11086_cute,Sound/dub/panda_cute,神木大圣,0,3
11087_die,Sound/dub/qiuju_die,向阳菊仙,3,3
11087_cute,Sound/dub/qiuju_cute,向阳菊仙,0,3
11088_die,Sound/dub/tianjiang_die,天门守将,3,3
11088_cute,Sound/dub/tianjiang_cute,天门守将,0,3
11089_die,Sound/dub/tianyi_die,天翼隼,3,3
11089_cute,Sound/dub/tianyi_cute,天翼隼,0,3
11090_die,Sound/dub/coatlord_die,羊力大仙,3,3
11090_cute,Sound/dub/coatlord_cute,羊力大仙,0,3
11091_die,Sound/dub/horsehead_die,真武马面,3,3
11091_cute,Sound/dub/horsehead_cute,真武马面,0,3
11092_die,Sound/dub/huaqingting_die,诸乘射手,3,3
11092_cute,Sound/dub/huaqingting_cute,诸乘射手,0,3
11093_die,Sound/dub/butterfly_die,碧眼冰纹蝶,3,3
11093_cute,Sound/dub/butterfly_cute,碧眼冰纹蝶,0,3
11094_die,Sound/dub/zhubeixianzi_die,珠贝仙子,3,3
11094_cute,Sound/dub/zhubeixianzi_cute,珠贝仙子,0,3
11095_die,Sound/dub/whitetirger_die,苍叶白虎,3,3
11095_cute,Sound/dub/whitetirger_cute,苍叶白虎,0,3
11096_die,Sound/dub/dongxueshou_die,洞雪兽,3,3
11096_cute,Sound/dub/dongxueshou_cute,洞雪兽,0,3
11097_die,Sound/dub/kirin_die,梵地麒麟,3,3
11097_cute,Sound/dub/kirin_cute,梵地麒麟,0,3
11098_die,Sound/dub/goldenlion_fire_1_die,焚天炎龙,3,3
11098_cute,Sound/dub/goldenlion_fire_1_cute,焚天炎龙,0,3
11099_die,Sound/dub/ghostkeeper_black_die,黑无常,3,3
11099_cute,Sound/dub/ghostkeeper_black_cute,黑无常,0,3
11100_die,Sound/dub/hydra_die,泽月百罗仙,3,3
11100_cute,Sound/dub/hydra_cute,泽月百罗仙,0,3
11101_die,Sound/dub/mech_giant_wood_die,巨擎,3,3
11101_cute,Sound/dub/mech_giant_wood_cute,巨擎,0,3
11102_die,Sound/dub/gintan_die,傀儡巨像,3,3
11102_cute,Sound/dub/gintan_cute,傀儡巨像,0,3
11103_die,Sound/dub/monkey_die,雷火金刚,3,3
11103_cute,Sound/dub/monkey_cute,雷火金刚,0,3
11104_die,Sound/dub/lightningmaster_die,雷震童子,3,3
11104_cute,Sound/dub/lightningmaster_cute,雷震童子,0,3
11105_die,Sound/dub/catimp_die,猫天师,3,3
11105_cute,Sound/dub/catimp_cute,猫天师,0,3
11106_die,Sound/dub/blackturtle_die,瞑木玄武,3,3
11106_cute,Sound/dub/blackturtle_cute,瞑木玄武,0,3
11107_die,Sound/dub/windmaster_die,六根道人,3,3
11107_cute,Sound/dub/windmaster_cute,六根道人,0,3
11108_die,Sound/dub/shenhuoshou_die,神火兽,3,3
11108_cute,Sound/dub/shenhuoshou_cute,神火兽,0,3
11109_die,Sound/dub/stonemister_dark_die,石矶,3,3
11109_cute,Sound/dub/stonemister_dark_cute,石矶,0,3
11110_die,Sound/dub/shujingling_die,古木山精,3,3
11110_cute,Sound/dub/shujingling_cute,古木山精,0,3
11111_die,Sound/dub/ghostkeeper_white_die,白无常,3,3
11111_cute,Sound/dub/ghostkeeper_white_cute,白无常,0,3
11112_die,Sound/dub/threeeyes_die,通天眼,3,3
11112_cute,Sound/dub/threeeyes_cute,通天眼,0,3
11113_die,Sound/dub/totie_die,吞天兽,3,3
11113_cute,Sound/dub/totie_cute,吞天兽,0,3
11114_die,Sound/dub/guanyu_light_die,战神武魂,3,3
11114_cute,Sound/dub/guanyu_light_cute,战神武魂,0,3
11115_die,Sound/dub/redbird_die,霞光朱雀,3,3
11115_cute,Sound/dub/,霞光朱雀,0,3
11116_die,Sound/dub/bluedragon_die,游云青龙,3,3
11116_cute,Sound/dub/,游云青龙,0,3
11117_die,Sound/dub/sworddancer_die,御火剑使,3,3
11117_cute,Sound/dub/sworddancer_cute,御火剑使,0,3
11118_die,Sound/dub/rainmaster_die,执伞浪人,3,3
11118_cute,Sound/dub/rainmaster_cute,执伞浪人,0,3
11120_die,Sound/dub/,佰钱蛋,0,3
11120_cute,Sound/dub/,佰钱蛋,0,3
90001_cute,Sound/dub/wushuang_cute,无双,0,3
90001_die,Sound/dub/wushuang_die,无双,0,3
90002_cute,Sound/dub/wushuang_cute,无双,0,3
90002_die,Sound/dub/wushuang_die,无双,0,3
90003_cute,Sound/dub/wushuang_cute,无双,0,3
90003_die,Sound/dub/wushuang_die,无双,0,3
90007_cute,Sound/dub/shangguan_cute,上官欢,0,3
90007_die,Sound/dub/shangguan_die,上官欢,0,3
90008_cute,Sound/dub/shangguan_cute,上官欢,0,3
90008_die,Sound/dub/shangguan_die,上官欢,0,3
90009_cute,Sound/dub/shangguan_cute,上官欢,0,3
90009_die,Sound/dub/shangguan_die,上官欢,0,3
11089_attack,Sound/attack/tianyi_atk_01,0,0,2
11021_attack,Sound/attack/tiger_atk_01,0,0,2
11079_attack_1,Sound/attack/tigerlord_atk_01,0,0,2
11113_attack_1,Sound/attack/totie_atk_01,0,0,2
11064_attack,Sound/attack/treeman_atk_01,0,0,2
11059_attack,Sound/attack/uncontrolmech_atk_01,0,0,2
11095_attack,Sound/attack/whitetirger_atk_01,0,0,2
11095_attack_1,Sound/attack/whitetirger_atk_02,0,0,2
11094_attack,Sound/attack/zhubeixianzi_atk_01,0,0,2
11052_attack,Sound/attack/zombie_atk_01,0,0,2
11107_attack,Sound/attack/windmaster_atk_01,0,0,2
11081_attack,Sound/attack/juqianxiejiang_atk_01,0,0,2
11077_attack,Sound/attack/jianke_atk_01,0,0,2
11054_attack,Sound/attack/evilfox_atk_01,0,0,2
11069_attack,Sound/attack/fairy_atk_01,0,0,2
11006_attack,Sound/attack/fox_atk_01,0,0,2
11099_attack,Sound/attack/ghostkeeper_heii_atk_01,0,0,2
11099_attack_1,Sound/attack/ghostkeeper_heii_atk_02,0,0,2
11111_attack,Sound/attack/ghostkeeper_bai_atk_01,0,0,2
11111_attack_1,Sound/attack/ghostkeeper_bai_atk_02,0,0,2
11098_attack,Sound/attack/goldenlion_heii_atk_01,0,0,2
11085_attack,Sound/attack/guainia_atk_01,0,0,2
11085_attack_1,Sound/attack/guainia_atk_02,0,0,2
11114_attack,Sound/attack/guanyu_light_atk_01,0,0,2
11091_attack,Sound/attack/horsehead_atk_01,0,0,2
11091_attack_1,Sound/attack/horsehead_atk_02,0,0,2
11092_attack,Sound/attack/huaqingting_atk_01,0,0,2
11100_attack,Sound/attack/hydra_atk_01,0,0,2
11049_attack,Sound/attack/butterfly_atk_01,0,0,2
11105_attack,Sound/attack/catimp_atk_01,0,0,2
11009_attack,Sound/attack/civet_atk_01,0,0,2
11082_attack,Sound/attack/deerlord_atk_01,0,0,2
11078_attack,Sound/attack/duopo_atk_01,0,0,2
11074_attack,Sound/attack/anjingling_atk_01,0,0,2
11075_attack,Sound/attack/binglingyuanshuai_atk_01,0,0,2
11075_attack_1,Sound/attack/binglingyuanshuai_atk_02,0,0,2
11106_attack,Sound/attack/blacktuitle_dark_atk_01,0,0,2
11106_attack_1,Sound/attack/blacktuitle_dark_atk_02,0,0,2
11106_attack_2,Sound/attack/blacktuitle_dark_atk_03,0,0,2
11116_attack,Sound/attack/bluedragon_atk_01,0,0,2
11116_attack_1,Sound/attack/bluedragon_atk_02,0,0,2
11116_attack_2,Sound/attack/bluedragon_atk_03,0,0,2
11080_attack,Sound/attack/bullhead_atk_01,0,0,2
11080_attack_1,Sound/attack/bullhead_atk_02,0,0,2
11090_attack,Sound/attack/coatlord_atk_01,0,0,2
11090_attack_1,Sound/attack/coatlord_atk_02,0,0,2
11096_attack,Sound/attack/dongxueshou_atk_01,0,0,2
11083_attack,Sound/attack/mingjiezhanjiang_atk_01,0,0,2
11083_attack_1,Sound/attack/mingjiezhanjiang_atk_02,0,0,2
11084_attack,Sound/attack/mohuawushi_atk_01,0,0,2
11103_attack,Sound/attack/monkey_atk_01,0,0,2
11103_attack_1,Sound/attack/monkey_atk_01_hit,0,0,2
11076_attack,Sound/attack/neza_atk_01,0,0,2
11076_attack_1,Sound/attack/neza_atk_01_hit,0,0,2
11087_attack,Sound/attack/qiuju_atk_01,0,0,2
11087_attack_1,Sound/attack/qiuju_atk_01,0,0,2
11118_attack,Sound/attack/rainmaster_atk_01,0,0,2
11115_attack,Sound/attack/redbirdboss_atk_01,0,0,2
11115_attack_1,Sound/attack/redbirdboss_atk_02,0,0,2
11115_attack_2,Sound/attack/redbirdboss_atk_03,0,0,2
11003_attack,Sound/attack/runeimp_atk_01,0,0,2
11110_attack,Sound/attack/shujingling_atk_01,0,0,2
11071_attack,Sound/attack/spider_atk_01,0,0,2
11112_attack,Sound/attack/threeeyes_atk_01,0,0,2
11112_attack_1,Sound/attack/threeeyes_atk_02,0,0,2
11109_attack,Sound/attack/yinji_atk_01,0,0,2
11044_attack,Sound/attack/spirit_atk_01,0,0,2
11039_attack,Sound/attack/panda_atk_01,0,0,2
11039_attack_1,Sound/attack/panda_atk_02,0,0,2
11086_attack,Sound/attack/sunwukong_atk_01,0,0,2
11086_attack_1,Sound/attack/sunwukong_atk_02,0,0,2
11067_attack,Sound/attack/shuangweiyouhun_atk_01,0,0,2
11097_attack,Sound/attack/kirin_atk_01,0,0,2
11117_attack,Sound/attack/sworddancer_atk_01,0,0,2
90001_attack,Sound/attack/female_atk_01,0,0,2
90001_attack_1,Sound/attack/female_atk_02,0,0,2
90001_attack_2,Sound/attack/female_atk_03,0,0,2
90007_attack,Sound/attack/male_atk_01,0,0,2
90007_attack_1,Sound/attack/male_atk_02,0,0,2
90007_attack_2,Sound/attack/male_atk_03,0,0,2
