WINDOW_NAME,WIN_POINT_COLOR,INFO
ROLE_DETAIL,FFFFFF#FF0000#FFFF00,角色信息
PVE_SUCCESS_WINDOW,FFFFFF#FF0000#0000FF,竞技场胜利窗口
PVE_FAILE_WINDOW,FFFFFF#FF0000#00FFFF,竞技场失败窗口
ARENA_RESULT_WINDOW,FFFFFF#FF0000#FF0000,竞技场结果窗口
ARENA_TREASURE_WINDOW,FFFFFF#FF0000#800080,竞技场领奖三选一
PVP_PRESTIGE_SHOP_WINDOW,FFFFFF#FF0000#008000,竞技场声望商店
MESSAGE,FFFFFF#FF0000#FF1493,提示窗(大多为错误)
GET_REWARDS_WINDOW,FFFFFF#FF0000#808080,声望商店奖励或购买成功后弹窗
ARENA_RECORD_WINDOW,FFFFFF#800080#FFFFFF,竞技场记录窗口
RULE_TIPS_WINDOW,FFFFFF#800080#000000,竞技场规则窗口
GRABTREASURE_FIGHT_WINDOW,FFFFFF#800080#FFFF00,夺宝之战玩家界面
GRABTREASURE_BATTLE_WIN_AWARD_WINDOW,FFFFFF#800080#800080,夺宝结算奖励界面
GRABTREASURE_BATTLE_RESULT_LOSE_WINDOW,FFFFFF#800080#008000,夺宝结算失败界面
GRABTREASURE_BATTLE_RESULT_WIN_WINDOW,FFFFFF#800080#FF1493,夺宝结算胜利界面
GRABTREASURE_MAGIC_EQUIP_DETAIL_WINDOW,FFFFFF#800080#808080,夺宝神器详情界面
GRABTREASURE_RECORD_WINDOW,FFFFFF#008000#FFFFFF,夺宝记录窗口
GRABTREASURE_SELECT_PEACE_WINDOW,FFFFFF#008000#000000,夺宝免战牌选择界面
GRABTREASURE_USE_PEACE_WINDOW,FFFFFF#008000#FFFF00,夺宝免战牌购买界面
ASTROLOGY_UI_WINDOW,FFFFFF#008000#0000FF,星相界面
ASTROLOGY_REWARD_WINDOW,FFFFFF#008000#00FFFF,星相奖励界面
RAMMBOCK_BATTLE_RESULT_WIN_WINDOW,FFFFFF#008000#FF0000,群魔乱舞战斗胜利界面
RAMMBOCK_SELECT_DIFFICULTY_WINDOW,FFFFFF#008000#800080,群魔乱舞关卡难度选择窗口
RAMMBOCK_BATTLE_RESULT_LOSE_WINDOW,FFFFFF#008000#008000,群魔乱舞战斗失败界面
RAMMBOCK_TREASURE_WINDOW,FFFFFF#008000#FF1493,群魔乱舞奖品购买界面(打折)
RAMMBOCK_OVER_WINDOW,FFFFFF#008000#808080,群魔乱舞关卡全部结束或战败后窗口
FATE_INFO_WINDOW,FFFFFF#FF1493#FFFFFF,天命界面
TEAM_RIGHT_ROLE_INFO_WINDOW,FFFFFF#FF1493#000000,队伍天命等的入口
SKILL_UPGRADE_WINDOW,FFFFFF#FF1493#FFFF00,技能升级窗口
TEAM_PET_PACKAGE_WINDOW,FFFFFF#FF1493#0000FF,灵将背包窗口
TIPS_PICTURE_WINDOW,FFFFFF#FF1493#00FFFF,带图提示框(带图)
PET_FRAGMENT_INFO_WINDOW,FFFFFF#FF1493#FF0000,灵将碎片信息窗口
EQUIP_FRAGMENT_INFO_WINDOW,FFFFFF#FF1493#800080,装备碎片信息窗口
MAGIC_FRAGMENT_INFO_WINDOW,FFFFFF#FF1493#008000,神器碎片信息窗口
RECOVER_PET_RESOLVE_WINDOW,FFFFFF#FF1493#FF1493,灵将分解
RECOVER_EQUIP_RESOLVE_WINDOW,FFFFFF#FF1493#808080,装备分解
RECOVER_PET_REBIRTH_WINDOW,FFFFFF#808080#FFFFFF,灵将重生
RECOVER_MAGIC_RECAST_WINDOW,FFFFFF#808080#000000,神器重铸
0,0,0
PACKAGE_CONSUME_WINDOW,FFFFFF#808080#FFFF00,消费品包裹窗口(主界面包裹)
BAG_EQUIP_WINDOW,FFFFFF#808080#0000FF,装备列表窗口
BAG_MAGIC_WINDOW,FFFFFF#808080#00FFFF,神器列表窗口
VIP_RECHARGE_UP_WINDOW,FFFFFF#808080#FF0000,去充值界面
PET_FRAGMENT_INFO_WINDOW,FFFFFF#808080#800080,灵将碎片信息窗口
PET_FRAGMENT_BAG,FFFFFF#808080#008000,灵将碎片背包
EQUIP_STRENGTHEN_INFO_WINDOW,FFFFFF#808080#FF1493,装备强化窗口
RANKLIST_MAIN_UI_LEVEL_WINDOW,FFFFFF#808080#808080,主界面等级排行
0,0,0
RANKLIST_ACTIVITY_UI_WINDOW,000000#FFFFFF#FFFFFF,活动界面排行
RANKLIST_ACTIVITY_REWARD_UI_WINDOW,000000#FFFFFF#000000,排名活动奖励说明
SEVEN_DAYS_CARNIVAL_WINDOW,000000#FFFFFF#FFFF00,七日狂欢
TASK_WINDOW,000000#FFFFFF#0000FF,任务成就窗口
GET_SCORE_AWARD_WINDOW,000000#FFFFFF#00FFFF,积分奖励窗口(日常任务)
AWARDS_TIPS_WINDOW,000000#FFFFFF#FF0000,奖励弹窗（自动消失）
ACCESS_TO_RES_WINDOW,000000#FFFFFF#800080,获取途径窗口
ACTIVITY_FIRST_RECHARGE_WINDOW,000000#FFFFFF#008000,首充礼包
ACTIVITY_SIGN_WINDOW,000000#FFFFFF#FF1493,每日签到
ACTIVITY_WELFARE_WINDOW,000000#FFFFFF#808080,VIP礼包
ACTIVITY_FUND_WINDOW,000000#000000#FFFFFF,开服基金
ACTIVITY_LUCKY_CARD_WINDOW,000000#000000#FFFF00,幸运抽牌
ACTIVITY_TIPS_LABEL_UP_WINDOW,000000#000000#0000FF,弹窗获得奖励的时候的弹窗
ACTIVE_DAILY_REWARD_FOR_MONTH_WINDOW,000000#000000#00FFFF,月卡
ACTIVITY_VITALITY_WINDOW,000000#000000#FF0000,摇钱树
ACTIVITY_GIFT_WINDOW,000000#000000#800080,礼品码
ACTIVITY_FLASH_SALE_WINDOW,000000#000000#008000,限时抢购
RECHARGE_WINDOW,000000#000000#FF1493,VIP特权、充值父窗口
VIP_WINDOW,000000#000000#808080,VIP窗口
CONSUMBLES_DETAILS_WINDOW,000000#FFFF00#FFFFFF,消耗品详情窗口
CHAT_WINDOW,000000#FFFF00#000000,聊天窗口
DAILY_STAGE_MAIN_WINDOW,000000#FFFF00#FFFF00,日常副本主界面
FAIRYLAND_WINDOW,000000#FFFF00#0000FF,灵将探险界面
FAIRYLAND_FRIEND_SEL_WINDOW,000000#FFFF00#FF0000,灵将探险好友仙境选择界面
FAIRYLAND_OP_WINDOW,000000#FFFF00#800080,灵将探险操作主界面
BOSS_AWARD_WINDOW,000000#FFFF00#008000,boss战绩奖励
RANKLIST_BOSSBATTLE_DAMAGE_WINDOW,000000#FFFF00#FF1493,天魔伤害排行
RANKLIST_BOSSBATTLE_FEATS_WINDOW,000000#FFFF00#808080,天魔战绩排行
RANKLIST_BOSSBATTLE_AWARD_WINDOW,000000#0000FF#FFFFFF,天魔奖励窗口
BOSS_STAGE_INFO_WINDOW,000000#0000FF#000000,boss战斗信息窗口
ADD_VITALITY_UP_WINDOW,000000#0000FF#FFFF00,资源提示购买和使用界面
FEATS_SHOP_WINDOW,000000#0000FF#0000FF,魔鳞商店
RANKLIST_GUILD_WINDOW,000000#0000FF#00FFFF,宗门排行窗口
UNION_SHOP_CLOTH_WINDOW,000000#0000FF#FF0000,工会商店时装
UNION_SHOP_PROP_WINDOW,000000#0000FF#800080,工会商店道具
UNION_SHOP_AWARD_WINDOW,000000#0000FF#008000,工会商店奖励
UNION_SHOP_LIMIT_WINDOW,000000#0000FF#FF1493,工会商店限时
UNION_WORSHIP_WINDOW,000000#0000FF#808080,工会动态
UNION_INFONEWS_WINDOW,000000#00FFFF#FFFFFF,工会审核
UNION_PK_ENTER_WINDOW,000000#00FFFF#000000,工会战入口
UNION_PK_PREPARE_WINDOW,000000#00FFFF#FFFF00,工会战准备界面
TEAM_PET_FRAGMENT_PACKAGE_WINDOW,000000#00FFFF#00FFFF,灵将碎片背包窗口
PVE_ACCOUNT_WIN_WINDOW,008000#008000#008000,PVE胜利结算窗口
PVE_ACCOUNT_LOSE_WINDOW,FF0000#FF0000#FF0000,PVE失败结算窗口
