INDEX,NAME,ANIMATION,BODY,BODY_TEX_1,IMPACT_RADIUS,SELECT_RADIUS,MODEL_ATTACK_SPEED,GUARD_TYPE,RIM_COLOR
11021,2星_虎_火,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_3/tiger_3,models/Monsters/tiger/Textures/tiger_3_red,0.5,1.5,1,1,0
11022,2星_虎_木,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_3/tiger_3,models/Monsters/tiger/Textures/tiger_3_green,0.5,1.5,1,1,0
11023,2星_虎_水,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_3/tiger_3,models/Monsters/tiger/Textures/tiger_3_blue,0.5,1.5,1,1,0
11024,2星_虎_阳,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_3/tiger_3,models/Monsters/tiger/Textures/tiger_3_gold,0.5,1.5,1,1,0
11025,2星_虎_阴,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_3/tiger_3,models/Monsters/tiger/Textures/tiger_3_shadow,0.5,1.5,1,1,0
11026,2星_妖猫_阳,models/Monsters/catimp/catimp_anim,models/Monsters/catimp/catimp_2/catimp_2,models/Monsters/catimp/Textures/catimp_2_gold,0.5,1.5,1,1,0
11027,2星_妖猫_阴,models/Monsters/catimp/catimp_anim,models/Monsters/catimp/catimp_2/catimp_2,models/Monsters/catimp/Textures/catimp_2_shadow,0.5,1.5,1,1,0
11028,2星_符鬼_火,models/Monsters/runeimp/runeimp_anim,models/Monsters/runeimp/runeimp_2/runeimp_light_2,models/Monsters/runeimp/Textures/runeimp_3_red,0.5,2,1,1,0
11029,2星_符鬼_水,models/Monsters/runeimp/runeimp_anim,models/Monsters/runeimp/runeimp_2/runeimp_light_2,models/Monsters/runeimp/Textures/runeimp_3_blue,0.5,2,1,1,0
11030,2星_符鬼_木,models/Monsters/runeimp/runeimp_anim,models/Monsters/runeimp/runeimp_2/runeimp_light_2,models/Monsters/runeimp/Textures/runeimp_3_green,0.5,2,1,1,0
11031,2星_符鬼_阳,models/Monsters/runeimp/runeimp_anim,models/Monsters/runeimp/runeimp_2/runeimp_light_2,models/Monsters/runeimp/Textures/runeimp_3_gold,0.5,2,1,1,0
11032,2星_符鬼_阴,models/Monsters/runeimp/runeimp_anim,models/Monsters/runeimp/runeimp_2/runeimp_light_2,models/Monsters/runeimp/Textures/runeimp_3_shadow,0.5,2,1,1,0
11033,2星_水龟_水,models/Monsters/blackturtle/blackturtle_anim,models/Monsters/blackturtle/blackturtle2/turtle_2,models/Monsters/blackturtle/Textures/turtle_blue_2,0.5,1.5,1,0,0
11034,2星_木龟_木,models/Monsters/blackturtle/blackturtle_anim,models/Monsters/blackturtle/blackturtle2/turtle_2,models/Monsters/blackturtle/Textures/turtle_green_2,0.5,1.5,1,0,0
11035,2星_火龟_火,models/Monsters/blackturtle/blackturtle_anim,models/Monsters/blackturtle/blackturtle2/turtle_2,models/Monsters/blackturtle/Textures/turtle_red_2,0.5,1.5,1,0,0
11036,2星_水雀_水,models/Monsters/redbird/redbird_anim,models/Monsters/redbird/redbird1/redbird,models/Monsters/redbird/Textures/bird_blue_2,0.5,2,1,1,0
11037,2星_木雀_木,models/Monsters/redbird/redbird_anim,models/Monsters/redbird/redbird1/redbird,models/Monsters/redbird/Textures/bird_green_2,0.5,2,1,1,0
11038,2星_火雀_火,models/Monsters/redbird/redbird_anim,models/Monsters/redbird/redbird1/redbird,models/Monsters/redbird/Textures/bird_red_2,0.5,2,1,1,0
11039,2星_浣熊精_水,models/Monsters/panda/panda_anim,models/Monsters/panda/panda_2/panda_2,models/Monsters/panda/Textures/panda_2_blue,0.5,1.5,1,1,0
11040,2星_浣熊精_木,models/Monsters/panda/panda_anim,models/Monsters/panda/panda_2/panda_2,models/Monsters/panda/Textures/panda_2_green,0.5,1.5,1,1,0
11041,2星_浣熊精_火,models/Monsters/panda/panda_anim,models/Monsters/panda/panda_2/panda_2,models/Monsters/panda/Textures/panda_2_red,0.5,1.5,1,1,0
11042,2星_浣熊精_阳,models/Monsters/panda/panda_anim,models/Monsters/panda/panda_2/panda_2,models/Monsters/panda/Textures/panda_2_gold,0.5,1.5,1,1,0
11043,2星_浣熊精_阴,models/Monsters/panda/panda_anim,models/Monsters/panda/panda_2/panda_2,models/Monsters/panda/Textures/panda_2_shadow,0.5,1.5,1,1,0
11044,3星_仙童_阳,models/Monsters/spirit/spirit_anim,models/Monsters/spirit/spirit_3/spirit_2,models/Monsters/spirit/Textures/spirit_3_gold,0.5,1.5,1,1,0
11045,3星_仙童_阴,models/Monsters/spirit/spirit_anim,models/Monsters/spirit/spirit_3/spirit_2,models/Monsters/spirit/Textures/spirit_3_shadow,0.5,1.5,1,1,0
11046,3星_猿猴_火,models/Monsters/monkey/monkey_anim,models/Monsters/monkey/monkey_3/monkey_3,models/Monsters/monkey/Textures/monkey_3_red,0.5,1.5,1,1,0
11047,3星_猿猴_水,models/Monsters/monkey/monkey_anim,models/Monsters/monkey/monkey_3/monkey_3,models/Monsters/monkey/Textures/monkey_3_blue,0.5,1.5,1,1,0
11048,3星_猿猴_木,models/Monsters/monkey/monkey_anim,models/Monsters/monkey/monkey_3/monkey_3,models/Monsters/monkey/Textures/monkey_3_green,0.5,1.5,1,1,0
11049,3星_蝴蝶精_水,models/Monsters/butterfly/butterfly_anim,models/Monsters/butterfly/butterfly_2/butterfly_2,models/Monsters/butterfly/Textures/butterfly_water_2,0.5,1.5,1,1,0
11050,3星_蝴蝶精_木,models/Monsters/butterfly/butterfly_anim,models/Monsters/butterfly/butterfly_2/butterfly_2,models/Monsters/butterfly/Textures/butterfly_wood_2,0.5,1.5,1,1,0
11051,3星_蝴蝶精_火,models/Monsters/butterfly/butterfly_anim,models/Monsters/butterfly/butterfly_2/butterfly_2,models/Monsters/butterfly/Textures/butterfly_fire_2,0.5,1.5,1,1,0
11052,3星_僵尸_阳,models/Monsters/zombie/zombie_anim,models/Monsters/zombie/zombie_light_1/zombie_light_1,models/Monsters/zombie/Textures/zombie_light_2,0.5,1.5,1,1,0
11053,3星_僵尸_阴,models/Monsters/zombie/zombie_anim,models/Monsters/zombie/zombie_dark_1/zombie_dark_1,models/Monsters/zombie/Textures/zombie_dark_2,0.5,1.5,1,1,0
11054,3星_狐妖_水,models/Monsters/evilfox/evilfox_anim,models/Monsters/evilfox/evilfox_4/evilfox_4,models/Monsters/evilfox/Textures/evilfox_4_blue,0.5,1.5,1,1,0
11055,3星_狐妖_木,models/Monsters/evilfox/evilfox_anim,models/Monsters/evilfox/evilfox_4/evilfox_4,models/Monsters/evilfox/Textures/evilfox_4_green,0.5,1.5,1,1,0
11056,3星_狐妖_火,models/Monsters/evilfox/evilfox_anim,models/Monsters/evilfox/evilfox_4/evilfox_4,models/Monsters/evilfox/Textures/evilfox_4_red,0.5,1.5,1,1,0
11057,3星_狐妖_阳,models/Monsters/evilfox/evilfox_anim,models/Monsters/evilfox/evilfox_4/evilfox_4,models/Monsters/evilfox/Textures/evilfox_4_gold,0.5,1.5,1,1,0
11058,3星_狐妖_阴,models/Monsters/evilfox/evilfox_anim,models/Monsters/evilfox/evilfox_4/evilfox_4,models/Monsters/evilfox/Textures/evilfox_4_shadow,0.5,1.5,1,1,0
11059,3星_失控机关_水,models/Monsters/uncontrolmech/uncontrolmech_anim,models/Monsters/uncontrolmech/uncontrolmech_3/uncontrolmech_5,models/Monsters/uncontrolmech/Textures/uncontrolmech_3_blue,0.5,1.5,1,0,0
11060,3星_失控机关_木,models/Monsters/uncontrolmech/uncontrolmech_anim,models/Monsters/uncontrolmech/uncontrolmech_3/uncontrolmech_5,models/Monsters/uncontrolmech/Textures/uncontrolmech_3_green,0.5,1.5,1,0,0
11061,3星_失控机关_火,models/Monsters/uncontrolmech/uncontrolmech_anim,models/Monsters/uncontrolmech/uncontrolmech_3/uncontrolmech_5,models/Monsters/uncontrolmech/Textures/uncontrolmech_3_red,0.5,1.5,1,0,0
11062,3星_蛇妖_阳,models/Monsters/evilsnake/evilsnake_anim,models/Monsters/evilsnake/evilsnake_3/evilsnake_2,models/Monsters/evilsnake/Textures/evilsnake_3_gold,0.5,1.5,1,1,0
11063,3星_蛇妖_阴,models/Monsters/evilsnake/evilsnake_anim,models/Monsters/evilsnake/evilsnake_3/evilsnake_2,models/Monsters/evilsnake/Textures/evilsnake_3_shadow,0.5,1.5,1,1,0
11064,3星_树妖_水,models/Monsters/treeman/treeman_anim,models/Monsters/treeman/treeman_4/treeman_2,models/Monsters/treeman/Textures/treeman_water_2,0.5,1.5,1,0,0
11065,3星_树妖_木,models/Monsters/treeman/treeman_anim,models/Monsters/treeman/treeman_4/treeman_2,models/Monsters/treeman/Textures/treeman_wood_2,0.5,1.5,1,0,0
11066,3星_树妖_火,models/Monsters/treeman/treeman_anim,models/Monsters/treeman/treeman_4/treeman_2,models/Monsters/treeman/Textures/treeman_fire_2,0.5,1.5,1,0,0
11067,3星_独眼_阳,models/Monsters/shuangweiyouhun/shuangweiyouhun_anim,models/Monsters/shuangweiyouhun/shuangweiyouhun/shuangweiyouhun,models/Monsters/shuangweiyouhun/Textures/shuangweiyouhun_shadow,0.5,1.5,1,1,0
11068,3星_独眼_阴,models/Monsters/shuangweiyouhun/shuangweiyouhun_anim,models/Monsters/shuangweiyouhun/shuangweiyouhun/shuangweiyouhun,models/Monsters/shuangweiyouhun/Textures/shuangweiyouhun_shadow,0.5,1.5,1,1,0
11069,3星_仙女_阳,models/Monsters/fairy/fairy_anim,models/Monsters/fairy/fairy_1/fairy_1,models/Monsters/fairy/Textures/fairy_1_gold,0.5,1.5,1,1,0
11070,3星_仙女_阴,models/Monsters/fairy/fairy_anim,models/Monsters/fairy/fairy_1/fairy_1,models/Monsters/fairy/Textures/fairy_1_shadow,0.5,1.5,1,1,0
11071,3星_蜘蛛精_水,models/Monsters/spider/spider_anim,models/Monsters/spider/spider_4/spider_fire_4,models/Monsters/spider/Textures/spider_water_4,0.5,1.5,1,1,0
11072,3星_蜘蛛精_木,models/Monsters/spider/spider_anim,models/Monsters/spider/spider_4/spider_fire_4,models/Monsters/spider/Textures/spider_wood_4,0.5,1.5,1,1,0
11073,3星_蜘蛛精_火,models/Monsters/spider/spider_anim,models/Monsters/spider/spider_4/spider_fire_4,models/Monsters/spider/Textures/spider_fire_4,0.5,1.5,1,1,0
11074,4星_暗精灵_阴,models/Monsters/anjingling/anjingling_anim,models/Monsters/anjingling/anjingling/anjingling,models/Monsters/anjingling/Textures/anjingling_shadow,0.5,1.5,1,1,0
11075,4星_冰凌元帅_水,models/Monsters/binglingyuanshuai/binglingyuanshuai_anim,models/Monsters/binglingyuanshuai/binglingyuanshuai/binglingyuanshuai,models/Monsters/binglingyuanshuai/Textures/binglingyuanshuai_blue,0.5,1.5,1,1,0
11076,4星_哪吒_阳,models/Monsters/neza/neza_anim,models/Monsters/neza/neza_5/neza_5,models/Monsters/neza/Textures/neza_5_gold,0.5,1.5,1,1,0
11077,4星_剑客_火,models/Monsters/jianke/jianke_anim,models/Monsters/jianke/jianke_5/jianke_5,models/Monsters/jianke/Textures/jianke_red_5,0.5,1.5,1,1,0
11078,4星_夺魄_阴,models/Monsters/duopo/duopo_anim,models/Monsters/duopo/duopo/duopo,models/Monsters/duopo/Textures/duopo_shadow,0.5,1.5,1,1,0
11079,4星_虎力大仙_火,models/Monsters/tigerlord/tigerlord_anim,models/Monsters/tigerlord/tigerlord_5/tigerlord_5,models/Monsters/tigerlord/Textures/tigerlord_5_red,0.5,1.5,1,1,0
11080,4星_牛头_火,models/Monsters/bullhead/bullhead_anim,models/Monsters/bullhead/bullhead_4/bullhead_fire_1,models/Monsters/bullhead/Textures/bullhead_5_red,0.5,1.5,1,1,0
11081,4星_巨钳蟹将_水,models/Monsters/juqianxiejiang/juqianxiejiang_anim,models/Monsters/juqianxiejiang/juqianxiejiang/juqianxiejiang,models/Monsters/juqianxiejiang/Textures/juqianxiejiang_blue,0.5,1.5,1,1,0
11082,4星_鹿力大仙_水,models/Monsters/deerlord/deerlord_anim,models/Monsters/deerlord/deerlord_5/deerlord_5,models/Monsters/deerlord/Textures/deerlord_5_blue,0.5,1.5,1,1,0
11083,4星_冥界战将_阴,models/Monsters/mingjiezhanjiang/mingjiezhanjiang_anim,models/Monsters/mingjiezhanjiang/mingjiezhanjiang/mingjiezhanjiang,models/Monsters/mingjiezhanjiang/Textures/mingjiezhanjiang_shadow,0.5,1.5,1,1,0
11084,4星_魔化武士_阴,models/Monsters/mohuawushi/mohuawushi_anim,models/Monsters/mohuawushi/mohuawushi/mohuawushi,models/Monsters/mohuawushi/Textures/mohuawushi_shadow,0.5,1.5,1,1,0
11085,4星_三头怪鸟_火,models/Monsters/guainia/guainia_anim,models/Monsters/guainia/guainia/guainia,models/Monsters/guainia/Textures/guainia_red,0.5,1.5,1,1,0
11086,4星_火悟空_木,models/Monsters/sunwukong/sunwukong_anim,models/Monsters/sunwukong/sunwukong/sunwukong,models/Monsters/sunwukong/Textures/sunwukong,0.5,1.5,1,1,0
11087,4星_天道医师_阳,models/Monsters/qiuju/qiuju_anim,models/Monsters/qiuju/qiuju/qiuju,models/Monsters/qiuju/Textures/qiuju_gold,0.5,1.5,1,1,0
11088,4星_天将_阳,models/Monsters/tianjiang/tianjiang_anim,models/Monsters/tianjiang/tianjiang/tianjiang,models/Monsters/tianjiang/Textures/tianjiang_gold,0.5,1.5,1,0,0
11089,4星_天翼隼_阳,models/Monsters/tianyi/tianyi_anim,models/Monsters/tianyi/tianyi/tianyi,models/Monsters/tianyi/Textures/tianyi_gold,0.5,1.5,1,1,0
11090,4星_羊力大仙_木,models/Monsters/coatlord/coatlord_anim,models/Monsters/coatlord/coatlord_5/coatlord_5,models/Monsters/coatlord/Textures/coatlord_5_green,0.5,1.5,1,1,0
11091,4星_马面_木,models/Monsters/horsehead/horsehead_anim,models/Monsters/horsehead/horsehead_4/horsehead_1,models/Monsters/horsehead/Textures/horsehead_5_green,0.5,1.5,1,1,0
11092,4星_诸乘射手_木,models/Monsters/huaqingting/huaqingting_anim,models/Monsters/huaqingting/huaqingting/huaqingting,models/Monsters/huaqingting/Textures/huaqingting_green,0.5,1.5,1,1,0
11093,4星_蝴蝶仙子_水,models/Monsters/butterfly/butterfly_anim,models/Monsters/butterfly/butterfly_5/butterfly_5,models/Monsters/butterfly/Textures/butterfly_water_5,0.5,1.5,1,1,0
11094,5星_珠贝仙子_水,models/Monsters/zhubeixianzi/zhubeixianzi_anim,models/Monsters/zhubeixianzi/zhubeixianzi/zhubeixianzi,models/Monsters/zhubeixianzi/Textures/zhubeixianzi_blue,0.5,1.5,1,1,0
11095,5星_白虎_木,models/Monsters/whitetirger/whitetirger_anim,models/Monsters/whitetirger/whitetirger/whitetriger_wood_1,models/Monsters/whitetirger/Textures/whitetirger_wood_1,0.5,1.5,1,1,0
11096,5星_洞雪兽_水,models/Monsters/dongxueshou/dongxueshou_anim,models/Monsters/dongxueshou/dongxueshou/dongxueshou,models/Monsters/dongxueshou/Textures/dongxueshou_blue,0.5,1.5,1,1,0
11097,5星_麒麟_阳,models/Monsters/kirin/kirin_anim,models/Monsters/kirin/kirin/kirin_light_1,models/Monsters/kirin/Textures/kirin_light_1,0.5,1.5,1,1,0
11098,5星_狻猊_火,models/Monsters/goldenlion_fire_1/goldenlion_fire_1_anim,models/Monsters/goldenlion_fire_1/goldenlion_fire_1/goldenlion_1,models/Monsters/goldenlion_fire_1/Textures/goldenlion_fire_1,0.5,1.5,1,1,0
11099,5星_黑无常_阴,models/Monsters/ghostkeeper/ghostkeeper2_anim,models/Monsters/ghostkeeper/ghostkeeper_5/ghostkeeper_2,models/Monsters/ghostkeeper/Textures/ghostkeeper_5_shadow,0.5,1.5,1,1,0
11100,5星_寒冰妖王_水,models/Monsters/hydra/hydra_anim,models/Monsters/hydra/hydra/hydra_water_1,models/Monsters/hydra/Textures/hydra_water_1,0.5,1.5,1,1,0
11101,5星_巨擎_木,models/Monsters/mech_giant_wood/mech_giant_wood_anim,models/Monsters/mech_giant_wood/mech_giant_wood_6/mech_giant_wood,models/Monsters/mech_giant_wood/Textures/mech_giant_wood_6_green,0.5,1.5,1,0,0
11102,5星_刑天_阴,models/Monsters/gintan/gintan_anim,models/Monsters/gintan/gintan_1/gintan_1,models/Monsters/gintan/Textures/gintan_1_dark,0.5,1.5,1,0,0
11103,5星_黑金刚_火,models/Monsters/monkey/monkey_anim,models/Monsters/monkey/monkey_5/monkey_water_5,models/Monsters/monkey/Textures/monkey_5_red,0.5,1.5,1,1,0
11104,5星_雷震子女_阳,models/Monsters/lightningmaster/lightningmaster_anim,models/Monsters/lightningmaster/lightningmaster_5/lightningmaster_2,models/Monsters/lightningmaster/Textures/lightningmaster_5_gold,0.5,1.5,1,0,0
11105,5星_猫天师_阳,models/Monsters/catimp/catimp_anim,models/Monsters/catimp/catimp_5/catimp_5,models/Monsters/catimp/Textures/catimp_light_5,0.5,1.5,1,1,0
11106,5星_玄武_阴,models/Monsters/blackturtle_dark/blackturtle_dark_anim,models/Monsters/blackturtle_dark/blackturtle_dark/blackturtle_dark,models/Monsters/blackturtle_dark/Textures/blackturtle_dark,0.5,1.5,1,0,0
11107,5星_风伯_木,models/Monsters/windmaster/windmaster_anim,models/Monsters/windmaster/windmaster_5/windmaster_wood_2,models/Monsters/windmaster/Textures/windmaster_5_green,0.5,1.5,1,0,0
11108,5星_神火兽_火,models/Monsters/shenhuoshou/shenhuoshou_anim,models/Monsters/shenhuoshou/shenhuoshou/shenhuoshou,models/Monsters/shenhuoshou/Textures/shenhuoshou_red,0.5,1.5,1,0,0
11109,5星_石矶_阴,models/Monsters/stonemister_dark/stonemister_dark_anim,models/Monsters/stonemister_dark/stonemister_dark_6/stonemister_dark,models/Monsters/stonemister_dark/Textures/stonemister_dark_6_shadow,0.5,1.5,1,1,0
11110,5星_树精灵_木,models/Monsters/shujingling/shujingling_anim,models/Monsters/shujingling/shujingling/shujingling,models/Monsters/shujingling/Textures/shujingling,0.5,1.5,1,1,0
11111,5星_白无常_阴,models/Monsters/ghostkeeper/ghostkeeper1_anim,models/Monsters/ghostkeeper/ghostkeeper_4/ghostkeeper_1,models/Monsters/ghostkeeper/Textures/ghostkeeper_5_gold,0.5,1.5,1,1,0
11112,5星_二郎神_阳,models/Monsters/threeeyes/threeeyes_anim,models/Monsters/threeeyes/threeeyes_5/threeeyes_5,models/Monsters/threeeyes/Textures/threeeyes_5_gold,0.5,1.5,1,0,0
11113,5星_饕餮_木,models/Monsters/totie/totie_anim,models/Monsters/totie/totie_5/totie_5,models/Monsters/totie/Textures/totie_5_green,0.5,1.5,1,1,0
11114,5星_武圣_阳,models/Monsters/guanyu_light/guanyu_light_anim,models/Monsters/guanyu_light/guanyu_light_6/guanyu_light_1,models/Monsters/guanyu_light/Textures/guanyu_light_6_gold,0.5,1.5,1,0,0
11115,5星_朱雀_火,models/Monsters/redbirdboss/redbirdboss_anim,models/Monsters/redbirdboss/redbirdboss/redbirdboss,models/Monsters/redbirdboss/Textures/redbirdboss,0.5,1.5,1,1,0
11116,5星_青龙_水,models/Monsters/bluedragon/bluedragon_anim,models/Monsters/bluedragon/bluedragon/bluedragon_water_1,models/Monsters/bluedragon/Textures/bluedragon_water_1,0.5,1.5,1,1,0
11117,5星_御剑魔_火,models/Monsters/sworddancer/sworddancer_anim,models/Monsters/sworddancer/sworddancer_4/sworddancer_6,models/Monsters/sworddancer/Textures/sworddancer_4_red,0.5,1.5,1,1,0
11118,5星_雨师_水,models/Monsters/rainmaster/rainmaster_anim,models/Monsters/rainmaster/rainmaster_5/rainmaster_2,models/Monsters/rainmaster/Textures/rainmaster_5_blue,0.5,1.5,1,0,0
11119,5星_钱蛋,models/Monsters/egg/egg_anim,models/Monsters/egg/egg/egg,models/Monsters/egg/Textures/money_egg_wan,0.5,1.5,1,0,0
11120,蛋_阳,models/Monsters/egg/egg_anim,models/Monsters/egg/egg/egg,models/Monsters/egg/Textures/exp_gold_egg,0.5,1.5,1,0,0
10001,1星_灵狐_火,models/Monsters/Spirit_Fox/Spirit_Fox_anim,models/Monsters/Spirit_Fox/Spirit_Fox_1/Spirit_Fox_1,models/Monsters/Spirit_Fox/Textures/Spirit_Fox_1_red,0.5,1.5,1,1,0
10002,1星_灵狐_阳,models/Monsters/Spirit_Fox/Spirit_Fox_anim,models/Monsters/Spirit_Fox/Spirit_Fox_1/Spirit_Fox_1,models/Monsters/Spirit_Fox/Textures/Spirit_Fox_1_gold,0.5,1.5,1,1,0
10003,1星_灵狐_阴,models/Monsters/Spirit_Fox/Spirit_Fox_anim,models/Monsters/Spirit_Fox/Spirit_Fox_1/Spirit_Fox_1,models/Monsters/Spirit_Fox/Textures/Spirit_Fox_1_shadow,0.5,1.5,1,1,0
10004,1星_花妖_水,models/Monsters/flower/flower_anim,models/Monsters/flower/flower_1/flower_1,models/Monsters/flower/Textures/flower_1_blue,0.5,1.5,1,1,0
10005,1星_花妖_木,models/Monsters/flower/flower_anim,models/Monsters/flower/flower_1/flower_1,models/Monsters/flower/Textures/flower_1_green,0.5,1.5,1,1,0
10006,1星_花妖_火,models/Monsters/flower/flower_anim,models/Monsters/flower/flower_1/flower_1,models/Monsters/flower/Textures/flower_1_red,0.5,1.5,1,1,0
10011,1星_小鬼_木,models/Monsters/goblin/goblin_anim,models/Monsters/goblin/goblin_1/goblin_1,models/Monsters/goblin/Textures/goblin_1_green,0.5,1.5,1,1,0
10012,1星_小鬼_水,models/Monsters/goblin/goblin_anim,models/Monsters/goblin/goblin_1/goblin_1,models/Monsters/goblin/Textures/goblin_1_blue,0.5,1.5,1,1,0
10013,1星_小鬼_火,models/Monsters/goblin/goblin_anim,models/Monsters/goblin/goblin_1/goblin_1,models/Monsters/goblin/Textures/goblin_1_red,0.5,1.5,1,1,0
10017,1星_虎_火,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_1/tiger_1,models/Monsters/tiger/Textures/tiger_1_red,0.5,1.5,1,1,0
10018,1星_虎_水,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_1/tiger_1,models/Monsters/tiger/Textures/tiger_1_blue,0.5,1.5,1,1,0
10019,1星_虎_阳,models/Monsters/tiger/tiger_anim,models/Monsters/tiger/tiger_1/tiger_1,models/Monsters/tiger/Textures/tiger_1_gold,0.5,1.5,1,1,0
10020,1星_战不败_水,models/Monsters/unbeaten/unbeaten_anim,models/Monsters/unbeaten/unbeaten_1/unbeaten_1,models/Monsters/unbeaten/Textures/unbeaten_1_blue,0.5,1.5,1,1,0
10021,1星_战不败_阳,models/Monsters/unbeaten/unbeaten_anim,models/Monsters/unbeaten/unbeaten_1/unbeaten_1,models/Monsters/unbeaten/Textures/unbeaten_1_gold,0.5,1.5,1,1,0
10022,1星_莫邪_火,models/Monsters/mo_ye/mo_ye_anim,models/Monsters/mo_ye/mo_ye_1/mo_ye_1,models/Monsters/mo_ye/Textures/mo_ye_1_red,0.5,1.5,1,1,0
10023,1星_莫邪_木,models/Monsters/mo_ye/mo_ye_anim,models/Monsters/mo_ye/mo_ye_1/mo_ye_1,models/Monsters/mo_ye/Textures/mo_ye_1_green,0.5,1.5,1,1,0
10024,1星_莫邪_阴,models/Monsters/mo_ye/mo_ye_anim,models/Monsters/mo_ye/mo_ye_1/mo_ye_1,models/Monsters/mo_ye/Textures/mo_ye_1_shadow,0.5,1.5,1,1,0
10025,1星_狐狸_水,models/Monsters/fox/fox_anim,models/Monsters/fox/fox_1/fox_1,models/Monsters/fox/Textures/fox_blue,0.5,1.5,1,1,0
10026,1星_狐狸_木,models/Monsters/fox/fox_anim,models/Monsters/fox/fox_1/fox_1,models/Monsters/fox/Textures/fox_green,0.5,1.5,1,1,0
10027,1星_狐狸_火,models/Monsters/fox/fox_anim,models/Monsters/fox/fox_1/fox_1,models/Monsters/fox/Textures/fox_red,0.5,1.5,1,1,0
