INDEX,LEVEL_EXP,SIGN_GROUP_ID,MONEY_TREE_COINS_MIN,MONEY_TREE_COINS_MAX,EXTRA_COINS_MIN,EXTRA_COINS_MAX,MONEY_TREE_TIME,LABOR,ENERGY,LEVEL_NOTICE
INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,STRING
41,43870,1000004#100|2000018#10,24000,35000,26000,40000,15,50,10,900|718|717
42,47880,1000004#100|2000018#10,24350,35500,26400,40500,15,50,10,900|718|717
43,52030,1000004#100|2000018#10,24700,36000,26800,41000,15,50,10,900|718|717
44,56320,1000004#100|2000018#10,25050,36500,27200,41500,15,50,10,900|718|717
45,60750,1000004#100|2000018#10,25400,37000,27600,42000,15,50,10,900|718|717
46,65320,1000004#100|2000018#10,25750,37500,28000,42500,15,50,10,900|718|717
47,70030,1000004#100|2000018#10,26100,38000,28400,43000,15,50,10,900|718|717
48,74880,1000004#100|2000018#10,26450,38500,28800,43500,15,50,10,900|718|717
49,80360,1000004#100|2000018#10,26800,39000,29200,44000,15,50,10,900|718|717
50,86000,1000004#100|2000018#10,27150,39500,29600,44500,15,50,10,718|717|1502
51,92820,1000004#100|2000018#10,27500,40000,30000,45000,15,50,10,718|717|1502
52,99840,1000004#100|2000018#10,27850,40500,30400,45500,15,50,10,718|717|1502
53,107060,1000004#100|2000018#10,28200,41000,30800,46000,15,50,10,718|717|1502
54,114480,1000004#100|2000018#10,28550,41500,31200,46500,15,50,10,718|717|1502
55,122100,1000004#100|2000018#10,28900,42000,31600,47000,15,50,10,718|717|1502
56,129920,1000004#100|2000018#10,29250,42500,32000,47500,15,50,10,718|717|1502
57,137940,1000004#100|2000018#10,29600,43000,32400,48000,15,50,10,718|717|1502
58,146160,1000004#100|2000018#10,29950,43500,32800,48500,15,50,10,718|717|1502
59,154580,1000004#100|2000018#10,30300,44000,33200,49000,15,50,10,718|717|1502
60,163200,1000004#100|2000018#10,30650,44500,33600,49500,15,50,10,718|717|1502
61,191540,1000004#100|2000018#10,31000,45000,34000,50000,15,50,10,718|717|1502
62,200880,1000004#100|2000018#10,31350,45500,34400,50500,15,50,10,718|717|1502
63,210420,1000004#100|2000018#10,31700,46000,34800,51000,15,50,10,718|717|1502
64,220160,1000004#100|2000018#10,32050,46500,35200,51500,15,50,10,718|717|1502
65,231400,1000004#100|2000018#10,32400,47000,35600,52000,15,50,10,718|717|1502
66,234960,1000004#100|2000018#10,32750,47500,36000,52500,15,50,10,718|717|1502
67,246560,1000004#100|2000018#10,33100,48000,36400,53000,15,50,10,718|717|1502
68,258400,1000004#100|2000018#10,33450,48500,36800,53500,15,50,10,718|717|1502
69,270480,1000004#100|2000018#10,33800,49000,37200,54000,15,50,10,718|717|1502
70,282800,1000004#100|2000018#10,34150,49500,37600,54500,15,50,10,718|717|1502
71,295360,1000004#100|2000018#10,34500,50000,38000,55000,15,50,10,718|717|1502
72,308160,1000004#100|2000018#10,34850,50500,38400,55500,15,50,10,718|717|1502
73,321200,1000004#100|2000018#10,35200,51000,38800,56000,15,50,10,718|717|1502
74,334480,1000004#100|2000018#10,35550,51500,39200,56500,15,50,10,718|717|1502
75,348000,1000004#100|2000018#10,35900,52000,39600,57000,15,50,10,718|717|1502
76,374680,1000004#100|2000018#10,36250,52500,40000,57500,15,50,10,718|717|1502
77,401940,1000004#100|2000018#10,36600,53000,40400,58000,15,50,10,718|717|1502
78,428220,1000004#100|2000018#10,36950,53500,40800,58500,15,50,10,718|717|1502
79,455040,1000004#100|2000018#10,37300,54000,41200,59000,15,50,10,718|717|1502
80,482400,1000004#100|2000018#10,37650,54500,41600,59500,15,50,10,718|717|1502
81,535410,1000004#100|2000018#10,38000,55000,42000,60000,15,50,10,718|717|1502
82,589580,1000004#100|2000018#10,38350,55500,42400,60500,15,50,10,718|717|1502
83,643250,1000004#100|2000018#10,38700,56000,42800,61000,15,50,10,718|717|1502
84,697200,1000004#100|2000018#10,39050,56500,43200,61500,15,50,10,718|717|1502
85,750550,1000004#100|2000018#10,39400,57000,43600,62000,15,50,10,718|717|1502
86,858280,1000004#100|2000018#10,39750,57500,44000,62500,15,50,10,718|717|1502
87,964830,1000004#100|2000018#10,40100,58000,44400,63000,15,50,10,718|717|1502
88,1072720,1000004#100|2000018#10,40450,58500,44800,63500,15,50,10,718|717|1502
89,1180140,1000004#100|2000018#10,40800,59000,45200,64000,15,50,10,718|717|1502
90,1287900,1000004#100|2000018#10,41150,59500,45600,64500,15,50,10,718|717|1502
91,1503320,1000004#100|2000018#10,41500,60000,46000,65000,15,50,10,718|717|1502
92,1717640,1000004#100|2000018#10,41850,60500,46400,65500,15,50,10,718|717|1502
93,1933470,1000004#100|2000018#10,42200,61000,46800,66000,15,50,10,718|717|1502
94,2148840,1000004#100|2000018#10,42550,61500,47200,66500,15,50,10,718|717|1502
95,2364550,1000004#100|2000018#10,42900,62000,47600,67000,15,50,10,718|717|1502
96,2484480,1000004#100|2000018#10,43250,62500,48000,67500,15,50,10,718|717|1502
97,2604450,1000004#100|2000018#10,43600,63000,48400,68000,15,50,10,718|717|1502
98,2725380,1000004#100|2000018#10,43950,63500,48800,68500,15,50,10,718|717|1502
99,2845260,1000004#100|2000018#10,44300,64000,49200,69000,15,50,10,718|717|1502
100,2966000,1000004#100|2000018#10,44650,64500,49600,69500,15,50,10,718|717|1502
101,3086560,1000004#100|2000018#10,45000,65000,50000,70000,15,50,10,718|717|1502
102,3206880,1000004#100|2000018#10,45350,65500,50400,70500,15,50,10,718|717|1502
103,3327930,1000004#100|2000018#10,45700,66000,50800,71000,15,50,10,718|717|1502
104,3448640,1000004#100|2000018#10,46050,66500,51200,71500,15,50,10,718|717|1502
105,3568950,1000004#100|2000018#10,46400,67000,51600,72000,15,50,10,718|717|1502
106,3689860,1000004#100|2000018#10,46750,67500,52000,72500,15,50,10,718|717|1502
107,3811340,1000004#100|2000018#10,47100,68000,52400,73000,15,50,10,718|717|1502
108,3932280,1000004#100|2000018#10,47450,68500,52800,73500,15,50,10,718|717|1502
109,4053710,1000004#100|2000018#10,47800,69000,53200,74000,15,50,10,718|717|1502
110,4174500,1000004#100|2000018#10,48150,69500,53600,74500,15,50,10,718|717|1502
111,4295700,1000004#100|2000018#10,48500,70000,54000,75000,15,50,10,718|717|1502
112,4417280,1000004#100|2000018#10,48850,70500,54400,75500,15,50,10,718|717|1502
113,4538080,1000004#100|2000018#10,49200,71000,54800,76000,15,50,10,718|717|1502
114,4660320,1000004#100|2000018#10,49550,71500,55200,76500,15,50,10,718|717|1502
115,4781700,1000004#100|2000018#10,49900,72000,55600,77000,15,50,10,718|717|1502
116,4489200,1000004#100|2000018#10,50250,72500,56000,77500,15,50,10,718|717|1502
117,4614480,1000004#100|2000018#10,50600,73000,56400,78000,15,50,10,718|717|1502
118,4738880,1000004#100|2000018#10,50950,73500,56800,78500,15,50,10,718|717|1502
119,4864720,1000004#100|2000018#10,51300,74000,57200,79000,15,50,10,718|717|1502
120,4989600,1000004#100|2000018#10,51650,74500,57600,79500,15,50,10,718|717|1502
