INDEX,NAME,DESC,PAGE_TYPE,START_TIME,END_TIME,GROUP_ID,PROTECT_NUM,PROTECT_GROUP_ID,EXTRACT_TIMES,MINIMUM_GUARANTEE_TIMES,BUY_ITEM_TYPE,BUY_ITEM_COUNT,ROLE_MODEL_INDEX,ITEM_ATLAS_NAME,ITEM_SPRITE_NAME,COST_ITEM_TYPE,COST_ITEM_COUNT,ITEM_DESCRIPTION,IS_HOT,IS_NEW,IS_SALE,IS_FREE,FREE_COUNT,FREE_INTERVAL,IS_DAILY_REFRESH,IS_DISCOUNT
6008,神秘商店8,价格800,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,500,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6009,神秘商店9,价格900,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,500,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6010,神秘商店10,价格1000,6,0,0,90001,0,0,2,0,0,0,103104,ShopSlotIconAtlas,0,17,1000,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6011,神秘商店11,价格1100,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,2000,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6012,神秘商店12,价格1200,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,100,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6013,神秘商店13,价格1300,6,0,0,90001,0,0,2,0,0,0,103104,ShopSlotIconAtlas,0,17,100,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6014,神秘商店14,价格1400,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,100,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6015,神秘商店15,价格1500,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,100,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6016,神秘商店16,价格1600,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,100,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6017,神秘商店17,价格1700,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,85,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6018,神秘商店18,价格1800,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,90,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6019,神秘商店19,价格1900,6,0,0,90001,0,0,2,0,0,0,103104,ShopSlotIconAtlas,0,17,95,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6020,神秘商店20,价格2000,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,100,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
1004,十连灵将炼化,获得2～4星的灵将十只,0,0,0,0,0,90001,1,1,0,0,204031,ShopSlotIconAtlas,ui_fl_3,4,280,提供[ffc579]高阶[FFFFFF]封灵与碎片,1,0,0,0,0,0,0,1
