INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
910201,BUFF910201,BUFF,10,300,3,30500,,,,,,
910301,BUFF910301,BUFF,10,300,3,30100,,,,,,
910401,BUFF910401,BUFF,10,1,,3000,,,,,,
910501,BUFF910501,BUFF,,,,,,,,,,
910601,BUFF910601,BUFF,,,,,,,,,,
910701,BUFF910701,BUFF,,,,,,,,,,
910801,BUFF910801,BUFF,,,,,,,,,,
910901,BUFF910901,BUFF,,,,,,,,,,
911001,BUFF911001,BUFF,50,150,,,,,,,,
911101,BUFF911101,BUFF,10,30500,,,,,,,,
911201,BUFF911201,BUFF,80,30,,,,,,,,
911301,BUFF911301,BUFF,10,5,,,,,,,,
911401,BUFF911401,BUFF,50,10,,,,,,,,
911501,BUFF911501,BUFF,10,1,1,,,,,,,
911601,BUFF911601,BUFF,10,3,30500,,,,,,,
911701,BUFF911701,BUFF,10,3,30100,,,,,,,
911801,BUFF911801,BUFF,50,230,,,,,,,,
911901,BUFF911901,BUFF,10,3050,,,,,,,,
912001,BUFF912001,BUFF,10,100,150,,,,,,,
912101,BUFF912101,BUFF,10,5,,,,,,,,
912201,BUFF912201,BUFF,10,5,5,,,,,,,
912301,BUFF912301,BUFF,10,2,52900,50,4,,,,,
912401,BUFF912401,BUFF,,,,,,,,,,
912501,BUFF912501,BUFF,3,20,2,,,,,,,
912601,BUFF912601,BUFF,30,3,5,5,,,,,,
912701,BUFF912701,BUFF,60,110,3,70400,,,,,,
912801,BUFF912801,BUFF,,,,,,,,,,
912901,BUFF912901,BUFF,,,,,,,,,,
913001,BUFF913001,BUFF,,,,,,,,,,
,,,,,,,,,,,,
91150101,BUFF91150101,,,,,,,,,,,
91200101,BUFF91200101,,100,150,,,,,,,,
91210101,BUFF91210101,,1,1,,,,,,,,
91220101,BUFF91220101,,1,1,,,,,,,,
91260101,BUFF91260101,,1,10,,,,,,,,
