ID,ACTIVE_ID,LEVEL,BREAK_LEVEL,ARMS,JEWELRY,CLOTHES,SHOES,ATT_MAGIC,DEF_MAGIC,ARMS_STRENGTHEN_LEVLE,JEWELRY_STRENGTHEN_LEVLE,CLOTHES_STRENGTHEN_LEVLE,SHOES_STRENGTHEN_LEVLE,ATT_MAGIC_STRENGTHEN_LEVLE,DEF_MAGIC_STRENGTHEN_LEVLE,ARMS_REFINE_LEVLE,JEWELRY_REFINE_LEVLE,CLOTHES_REFINE_LEVLE,SHOES_REFINE_LEVLE,ATT_MAGIC_REFINE_LEVLE,DEF_MAGIC_REFINE_LEVLE,FATE_LEVEL,SKILL_LEVEL1,SKILL_LEVEL2,SKILL_LEVEL3,SKILL_LEVEL4
2021,30094,100,10,14007,14107,14307,14207,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2022,30095,100,10,14008,14108,14308,14208,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2023,30096,100,10,14009,14109,14309,14209,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2024,30097,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2025,30098,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2026,30099,100,10,14009,14109,14309,14209,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2027,30100,100,10,14009,14109,14309,14209,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2028,30101,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2029,30102,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2030,30103,100,10,14009,14109,14309,14209,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2031,30104,100,10,14009,14109,14309,14209,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2032,30105,100,10,14007,14107,14307,14207,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2033,30106,100,10,14009,14109,14309,14209,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2034,30107,100,10,14009,14109,14309,14209,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2035,30108,100,10,14009,14109,14309,14209,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2036,30109,100,10,14009,14109,14309,14209,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2037,30110,100,10,14007,14107,14307,14207,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2038,30111,100,10,14007,14107,14307,14207,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2039,30112,100,10,14008,14108,14308,14208,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2040,30113,100,10,14007,14107,14307,14207,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2041,30114,100,10,14007,14107,14307,14207,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2042,30115,100,10,14009,14109,14309,14209,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2043,30116,100,10,14008,14108,14308,14208,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2044,30117,100,10,14009,14109,14309,14209,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2045,30118,100,10,14007,14107,14307,14207,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
3001,30074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3002,30075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3003,30076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3004,30077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3005,30078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3006,30079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3007,30080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3008,30081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3009,30082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3010,30083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3011,30084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3012,30085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3013,30086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3014,30087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3015,30088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3016,30089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3017,30090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3018,30091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3019,30092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3020,30093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3021,30094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3022,30095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3023,30096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3024,30097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3025,30098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3026,30099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3027,30100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3028,30101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3029,30102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3030,30103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3031,30104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3032,30105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3033,30106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3034,30107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3035,30108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3036,30109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3037,30110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3038,30111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3039,30112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3040,30113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3041,30114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3042,30115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3043,30116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3044,30117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3045,30118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4001,30098,25,3,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4002,30098,35,4,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4003,30098,55,6,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4004,30098,75,8,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4005,30098,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4006,30098,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4007,30098,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4008,30098,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4009,30117,25,3,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4010,30117,35,4,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4011,30117,55,6,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4012,30117,75,8,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4013,30117,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4014,30117,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4015,30117,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4016,30117,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4017,30105,25,3,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4018,30105,35,4,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4019,30105,55,6,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4020,30105,75,8,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4021,30105,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4022,30105,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4023,30105,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4024,30105,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4025,30108,25,3,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4026,30108,35,4,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4027,30108,55,6,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4028,30108,75,8,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4029,30108,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4030,30108,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4031,30108,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4032,30108,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4033,30103,25,3,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4034,30103,35,4,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4035,30103,55,6,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4036,30103,75,8,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4037,30103,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4038,30103,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4039,30103,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4040,30103,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4041,30116,25,3,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4042,30116,35,4,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4043,30116,55,6,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4044,30116,75,8,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4045,30116,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4046,30116,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4047,30116,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4048,30116,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4049,30100,25,3,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4050,30100,35,4,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4051,30100,55,6,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4052,30100,75,8,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4053,30100,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4054,30100,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4055,30100,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4056,30100,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4057,30094,25,3,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4058,30094,35,4,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4059,30094,55,6,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4060,30094,75,8,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4061,30094,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4062,30094,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4063,30094,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4064,30094,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4065,30096,25,3,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4066,30096,35,4,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4067,30096,55,6,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4068,30096,75,8,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4069,30096,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4070,30096,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4071,30096,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4072,30096,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4073,30093,25,3,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4074,30093,35,4,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4075,30093,55,6,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4076,30093,75,8,14007,14107,14307,14207,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4077,30093,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4078,30093,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4079,30093,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4080,30093,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4081,30097,25,3,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4082,30097,35,4,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4083,30097,55,6,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4084,30097,75,8,14008,14108,14308,14208,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4085,30097,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4086,30097,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4087,30097,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4088,30097,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4089,30104,25,3,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4090,30104,35,4,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4091,30104,55,6,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4092,30104,75,8,14009,14109,14309,14209,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4093,30104,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4094,30104,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4095,30104,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4096,30104,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4097,30115,25,3,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4098,30115,35,4,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4099,30115,55,6,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4100,30115,75,8,14009,14109,14309,14209,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4101,30115,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4102,30115,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4103,30115,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4104,30115,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4105,30112,25,3,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4106,30112,35,4,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4107,30112,55,6,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4108,30112,75,8,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4109,30112,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4110,30112,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4111,30112,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4112,30112,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4113,30118,25,3,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4114,30118,35,4,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4115,30118,55,6,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4116,30118,75,8,14007,14107,14307,14207,15005,15105,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4117,30118,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4118,30118,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4119,30118,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4120,30118,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4121,30095,25,3,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4122,30095,35,4,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4123,30095,55,6,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4124,30095,75,8,14008,14108,14308,14208,15006,15106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
4125,30095,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4126,30095,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
