INDEX,ITEM_NAME,ITEM_QUALITY,ITEM_ATLAS_NAME,ITEM_SPRITE_NAME,DESCRIBE,USEABLE,GUIDE_TIME,ITEM_GROUP_ID,CONDITION_GROUP_ID,ITEM_GROUP_TYPE,FUNCTION,FUNCTION_TIP,AWARD_NOTICE,USELEVEL
2000101,VIP0超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]经验巨蛋[-][/u]×10\n突破石×10\n[u][FF9900]金符令[-][/u]×1\n银币×5万\n体力丹×2,1,0,90100,0,1,0,0,0,0
2000102,VIP1超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][CC33FF]体力丹[-][/u]×5\n突破石×50\n[u][FF9900]金符令[-][/u]×1\n银币×10万\n精力丹×2,1,0,90101,0,1,0,0,0,0
2000103,VIP2超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][CC33FF]摘星剑[-][/u]×1\n突破石×100\n[u][FF9900]金符令[-][/u]×1\n银币×20万\n体力丹×5,1,0,90102,0,1,0,0,0,0
2000104,VIP3超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][CC33FF]摘星戒[-][/u]×1\n下品精炼仙露少量\n[u][FF9900]金符令[-][/u]×2\n银币×30万\n精力丹×5,1,0,90103,0,1,0,0,0,0
2000105,VIP4超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][CC33FF]摘星靴[-][/u]×1\n下品精炼仙露少量\n[u][FF9900]金符令[-][/u]×3\n银币×50万\n体力丹×5,1,0,90104,0,1,0,0,0,0
2000106,VIP5超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][CC33FF]摘星护甲[-][/u]×1\n突破石×500\n[u][FF9900]金符令[-][/u]×4\n银币×80万\n精力丹×5,1,0,90105,0,1,0,0,0,0
2000107,VIP6超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]五霞彩英梭[-][/u]×1\n[u][FF9900]九凝符[-][/u]×1\n[u][FF9900]金符令[-][/u]×4\n突破石×1000\n体力丹×10,1,0,90106,0,1,0,0,0,0
2000108,VIP7超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]橙色灵将福袋[-][/u]×2\n[u][FF9900]进阶神玉[-][/u]少量\n[u][FF9900]上品精炼仙露[-][/u]中量\n银币×100万\n精力丹×10,1,0,90107,0,1,0,0,0,0
2000109,VIP8超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]橙色灵将福袋[-][/u]×1\n[u][FF9900]炙焰刀[-][/u]×1\n[u][FF9900]上品精炼仙露[-][/u]中量\n[u][FF9900]进阶神玉[-][/u]中量\n刷新令×5,1,0,90108,0,1,0,0,0,0
2000110,VIP9超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]橙色灵将福袋[-][/u]×1\n[u][FF9900]炙焰灵珠[-][/u]×1\n[u][FF9900]上品精炼仙露[-][/u]大量\n[u][FF9900]进阶神玉[-][/u]大量\n刷新令×10,1,0,90109,0,1,0,0,0,0
2000111,VIP10超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]橙色灵将福袋[-][/u]×1\n[u][FF9900]炙焰靴[-][/u]×1\n[u][FF9900]上品精炼仙露[-][/u]大量\n[u][FF9900]进阶神玉[-][/u]大量\n刷新令×15,1,0,90110,0,1,0,0,0,0
2000112,VIP11超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]橙色灵将福袋[-][/u]×1\n[u][FF9900]炙焰服[-][/u]×1\n[u][FF9900]上品精炼仙露[-][/u]大量\n[u][FF9900]进阶神玉[-][/u]大量\n刷新令×20,1,0,90111,0,1,0,0,0,0
2000113,VIP12超值礼包,5,ResourceAtlas1,material_vipbaoxiang,[u][FF9900]橙色灵将福袋[-][/u]×3\n银币×500万\n技能卷轴大量\n[u][FF9900]进阶神玉[-][/u]超量,1,0,90112,0,1,0,0,0,0
2000114,VIP13超值礼包,5,ResourceAtlas1,material_vipbaoxiang,VIP13超值礼包，白菜价不能再低了，在背包中使用后获得大量稀有物品。,1,0,90113,0,1,0,0,0,0
2000115,VIP14超值礼包,5,ResourceAtlas1,material_vipbaoxiang,VIP14超值礼包，白菜价不能再低了，在背包中使用后获得大量稀有物品。,1,0,90114,0,1,0,0,0,0
2000116,VIP15超值礼包,5,ResourceAtlas1,material_vipbaoxiang,VIP15超值礼包，白菜价不能再低了，在背包中使用后获得大量稀有物品。,1,0,90115,0,1,0,0,0,0
2000121,6元充值红包,5,ResourceAtlas1_1,material_hongbao01,大吉大利，随机获得100-188元宝,1,0,90121,0,2,0,0,0,0
2000122,30元充值红包,5,ResourceAtlas1_1,material_hongbao01,大吉大利，随机获得200-288元宝,1,0,90122,0,2,0,0,0,0
2000123,50元充值红包,5,ResourceAtlas1_1,material_hongbao02,大吉大利，随机获得300-388元宝,1,0,90123,0,2,0,0,0,0
2000124,128元充值红包,5,ResourceAtlas1_1,material_hongbao02,大吉大利，随机获得500-660元宝,1,0,90124,0,2,0,0,0,0
2000125,288元充值红包,5,ResourceAtlas1_1,material_hongbao02,大吉大利，随机获得980-1180元宝,1,0,90125,0,2,0,0,0,0
2000126,548元充值红包,5,ResourceAtlas1_1,material_hongbao03,大吉大利，随机获得2280-2580元宝,1,0,90126,0,2,0,0,0,0
2000127,648元充值红包,5,ResourceAtlas1_1,material_hongbao03,大吉大利，随机获得3280-3580元宝,1,0,90127,0,2,0,0,0,0
2000201,紫装碎片箱,5,ResourceAtlas1,material_baoxiang3,在背包中使用，随机获得1~3枚紫色装备碎片。,1,0,90005,0,2,0,0,0,0
2000202,紫色灵将福袋,5,ResourceAtlas1,material_baoxiang4,在背包中使用，随机获得1只紫色灵将。,1,0,90006,0,2,0,0,0,0
2000203,橙色灵将福袋,5,ResourceAtlas1,material_baoxiang5,在背包中使用，随机获得1只橙色灵将,1,0,90007,0,2,0,0,0,0
2000204,橙色装备箱子,5,ResourceAtlas1,material_baoxiang6,在背包中使用，随机获得蓝色、紫色、橙色装备碎片。,1,0,90008,0,2,0,0,0,0
2000205,橙色神器碎片宝箱,5,ResourceAtlas1,material_baoxiang7,在背包中使用，随机获得蓝色、紫色、橙色神器碎片。,1,0,90009,1#0#90009,2,0,0,0,0
2000206,宗门初级宝箱,5,ResourceAtlas1,material_baoxiang1,在背包中使用，随机获得封灵秘笈、精炼石、进阶道具、紫装碎片。,1,0,90021,0,2,0,0,0,0
2000207,宗门中级宝箱,5,ResourceAtlas1,material_baoxiang3,在背包中使用，随机获得封灵秘笈、精炼石、进阶道具、紫装碎片、橙装碎片。,1,0,90022,0,2,0,0,0,0
2000208,宗门高级宝箱,5,ResourceAtlas1,material_baoxiang6,在背包中使用，随机获得封灵秘笈、精炼石、进阶道具、紫色宝物碎片。,1,0,90012,0,2,0,0,0,0
2000209,蓝色灵将碎片宝箱,5,ResourceAtlas1,material_baoxiang1,低概率获得紫色灵将碎片、橙色灵将碎片，高概率获得蓝色灵将碎片。,1,0,90013,0,2,0,0,0,0
2000210,紫色灵将碎片宝箱,5,ResourceAtlas1,material_baoxiang1,小概率获得橙色灵将碎片，高概率获得紫色灵将碎片。,1,0,90014,0,2,0,0,0,0
2000211,橙色灵将碎片宝箱,5,ResourceAtlas1,material_baoxiang1,随机获得橙色灵将碎片。,1,0,90015,0,2,0,0,0,0
2000212,封灵符宝箱,5,ResourceAtlas1,material_baoxiang1,随机获得一定数量的封灵符。,1,0,90016,0,2,0,0,0,0
2000213,蓝装碎片宝箱,5,ResourceAtlas1,material_baoxiang1,随机获得1~3个蓝装碎片。,1,0,90017,0,2,0,0,0,0
2000214,橙装碎片宝箱,5,ResourceAtlas1,material_baoxiang6,获得1橙装碎片。,1,0,90018,0,2,0,0,0,0
2000215,星相宝箱,5,ResourceAtlas1,material_vipbaoxiang,随机获得橙色灵将碎片20个。,1,0,90019,0,2,0,0,0,0
2000216,紫色灵将箱,5,ResourceAtlas1,material_vipbaoxiang,随机获得一个紫色灵将,1,0,90023,0,2,0,0,0,0
2000217,将魂精华,5,ResourceAtlas1,material_fulingjinghua,随机获得25-35点将魂,1,0,90024,0,2,0,0,0,0
2000218,蓝色乾坤套装,5,ResourceAtlas1,material_baoxiang2,内含蓝色品质乾坤装备一套,1,0,90025,0,1,0,0,0,0
2000219,橙色防御灵将宝箱,5,ResourceAtlas1,material_baoxiang7,可指定领取一个橙色防御灵将,1,0,90026,0,3,0,0,0,0
2000220,橙色辅助灵将宝箱,5,ResourceAtlas1,material_vipbaoxiang,可指定领取一个橙色辅助灵将,1,0,90027,0,3,0,0,0,0
2000221,玄辉套装四件,5,ResourceAtlas1,material_vipbaoxiang,领取可获得：玄辉飞星锤，玄辉战袍，玄辉飞星镜，玄辉龙靴,1,0,90028,0,1,0,0,0,0
2000222,玄辉套装三件,5,ResourceAtlas1,material_baoxiang6,领取可获得：玄辉飞星锤，玄辉战袍，玄辉飞星镜,1,0,90029,0,1,0,0,0,0
2000223,玄辉套装二件,5,ResourceAtlas1,material_baoxiang6,领取可获得：玄辉飞星锤，玄辉飞星镜,1,0,90030,0,1,0,0,0,0
2000224,橙色攻击神器礼包,5,ResourceAtlas1,material_baoxiang7,可以从橙色神器：五霞彩英梭\天火灵幡中任选一个,1,0,90031,0,3,0,0,0,0
2000225,橙色防御神器礼包,5,ResourceAtlas1,material_baoxiang7,可以从橙色神器：九凝符\金龙符中任选一个,1,0,90032,0,3,0,0,0,0
2000226,橙色神器礼包,5,ResourceAtlas1,material_baoxiang7,可以从橙色神器：五霞彩英梭\天火灵幡\九凝符\金龙符中任选一个,1,0,90033,0,3,0,0,0,0
2000901,灵将测试宝箱,5,ResourceAtlas1,material_baoxiang2,灵将测试宝箱,1,0,95001,0,1,0,0,0,0
2000902,装备测试宝箱,5,ResourceAtlas1,material_baoxiang3,装备测试宝箱,1,0,95002,0,1,0,0,0,0
2000903,技能书测试宝箱,5,ResourceAtlas1,material_baoxiang4,技能书测试宝箱,1,0,95003,0,1,0,0,0,0
2000904,银币测试宝箱,5,ResourceAtlas1,material_baoxiang5,银币测试宝箱,1,0,95004,0,1,0,0,0,0
2000905,装备精炼石测试宝箱,5,ResourceAtlas1,material_baoxiang6,装备精炼石测试宝箱,1,0,95005,0,1,0,0,0,0
2000906,货币测试宝箱,5,ResourceAtlas1,material_baoxiang7,货币测试宝箱,1,0,95006,0,1,0,0,0,0
2000907,神器测试宝箱,5,ResourceAtlas1,material_baoxiang7,神器测试宝箱,1,0,95007,0,1,0,0,0,0
2000908,神器碎片测试宝箱,5,ResourceAtlas1,material_baoxiang7,神器碎片测试宝箱,1,0,95008,0,1,0,0,0,0
2000909,装备碎片测试宝箱,5,ResourceAtlas1,material_baoxiang7,装备碎片测试宝箱,1,0,95009,0,1,0,0,0,0
2000910,灵将碎片测试宝箱,5,ResourceAtlas1,material_baoxiang7,灵将碎片测试宝箱,1,0,95010,0,1,0,0,0,0
2000911,测试宝箱2,5,ResourceAtlas1,material_baoxiang7,测试宝箱2,1,0,95011,0,1,0,0,0,0
2000912,8灵将测试宝箱,5,ResourceAtlas1,material_baoxiang7,8灵将测试宝箱,1,0,95012,0,1,0,0,0,0
2000913,主角经验100礼包,5,ResourceAtlas1,material_baoxiang7,主角经验100礼包,1,0,95013,0,1,0,0,0,0
2000914,主角经验1000礼包,5,ResourceAtlas1,material_baoxiang7,主角经验1000礼包,1,0,95014,0,1,0,0,0,0
2000915,主角经验10000礼包,5,ResourceAtlas1,material_baoxiang7,主角经验10000礼包,1,0,95015,0,1,0,0,0,0
2000916,主角经验100000礼包,5,ResourceAtlas1,material_baoxiang7,主角经验100000礼包,1,0,95016,0,1,0,0,0,0
2000917,宗门经验1000,5,ResourceAtlas1,material_baoxiang7,宗门经验1000,1,0,95017,0,1,0,0,0,0
2000918,宗门经验10000,5,ResourceAtlas1,material_baoxiang7,宗门经验10000,1,0,95018,0,1,0,0,0,0
2000919,宗门经验50000,5,ResourceAtlas1,material_baoxiang7,宗门经验50000,1,0,95019,0,1,0,0,0,0
2000920,宗门经验100000,5,ResourceAtlas1,material_baoxiang7,宗门经验100000,1,0,95020,0,1,0,0,0,0
2000921,首冲礼包,5,ResourceAtlas1,material_baoxiang7,首冲礼包,1,0,95021,0,1,0,0,0,0
2000922,核心橙色灵将宝箱,5,ResourceAtlas1,material_baoxiang7,核心橙色灵将宝箱,1,0,95022,0,3,0,0,0,0
2000997,橙色辅助灵将宝箱,5,ResourceAtlas1,material_vipbaoxiang,测试2选1,1,0,98804,0,3,0,0,0,0
2000998,橙色辅助灵将宝箱,5,ResourceAtlas1,material_vipbaoxiang,测试3选1,1,0,90029,0,3,0,0,0,0
2000999,橙色辅助灵将宝箱,5,ResourceAtlas1,material_vipbaoxiang,测试5选1,1,0,90023,0,3,0,0,0,0
2001000,1级新手礼包,2,ResourceAtlas1_1,material_baoxiang8,1级新手礼包,1,0,93504,0,1,0,0,0,1
2001001,5级新手礼包,2,ResourceAtlas1_1,material_baoxiang8,5级新手礼包,1,0,93505,0,1,0,0,0,5
2001002,10级新手礼包,2,ResourceAtlas1_1,material_baoxiang9,10级新手礼包,1,0,93506,0,1,0,0,0,10
2001003,15级新手礼包,3,ResourceAtlas1_1,material_baoxiang9,15级新手礼包,1,0,93507,0,1,0,0,0,15
2001004,20级新手礼包,3,ResourceAtlas1_1,material_baoxiang9,20级新手礼包,1,0,93508,0,1,0,0,0,20
2001005,25级新手礼包,3,ResourceAtlas1_1,material_baoxiang9,25级新手礼包,1,0,93509,0,1,0,0,0,25
2001006,30级新手礼包,3,ResourceAtlas1_1,material_baoxiang10,30级新手礼包,1,0,93510,0,1,0,0,0,30
2001007,35级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,35级新手礼包,1,0,93511,0,1,0,0,0,35
2001008,40级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,40级新手礼包,1,0,93512,0,1,0,0,0,40
2001009,45级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,45级新手礼包,1,0,93513,0,1,0,0,0,45
2001010,50级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,50级新手礼包,1,0,93514,0,1,0,0,0,50
2001011,55级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,55级新手礼包,1,0,93515,0,1,0,0,0,55
2001012,60级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,60级新手礼包,1,0,93516,0,1,0,0,0,60
2001013,65级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,65级新手礼包,1,0,93517,0,1,0,0,0,65
2001014,70级新手礼包,4,ResourceAtlas1_1,material_baoxiang10,70级新手礼包,1,0,93518,0,1,0,0,0,70
