INT,STRING,STRING
10140,2015/5/3,5
10141,2015/5/4,1
10142,2015/5/5,2
10143,2015/5/6,3
10144,2015/5/7,4
10145,2015/5/8,5
10146,2015/5/9,1
10147,2015/5/10,2
10148,2015/5/11,3
10149,2015/5/12,4
10150,2015/5/13,5
10151,2015/5/14,1
10152,2015/5/15,2
10153,2015/5/16,3
10154,2015/5/17,4
10155,2015/5/18,5
10156,2015/5/19,1
10157,2015/5/20,2
10158,2015/5/21,3
10159,2015/5/22,4
10160,2015/5/23,5
10161,2015/5/24,1
10162,2015/5/25,2
10163,2015/5/26,3
10164,2015/5/27,4
10165,2015/5/28,5
10166,2015/5/29,1
10167,2015/5/30,2
10168,2015/5/31,3
10169,2015/6/1,4
10170,2015/6/2,5
10171,2015/6/3,1
10172,2015/6/4,2
10173,2015/6/5,3
10174,2015/6/6,4
10175,2015/6/7,5
10176,2015/6/8,1
10177,2015/6/9,2
10178,2015/6/10,3
10179,2015/6/11,4
10180,2015/6/12,5
10181,2015/6/13,1
10182,2015/6/14,2
10183,2015/6/15,3
10184,2015/6/16,4
10185,2015/6/17,5
10186,2015/6/18,1
10187,2015/6/19,2
10188,2015/6/20,3
10189,2015/6/21,4
10190,2015/6/22,5
10191,2015/6/23,1
10192,2015/6/24,2
10193,2015/6/25,3
10194,2015/6/26,4
10195,2015/6/27,5
10196,2015/6/28,1
10197,2015/6/29,2
10198,2015/6/30,3
10199,2015/7/1,4
10200,2015/7/2,5
10201,2015/7/3,1
10202,2015/7/4,2
10203,2015/7/5,3
10204,2015/7/6,4
10205,2015/7/7,5
10206,2015/7/8,1
10207,2015/7/9,2
10208,2015/7/10,3
10209,2015/7/11,4
10210,2015/7/12,5
10211,2015/7/13,1
10212,2015/7/14,2
10213,2015/7/15,3
10214,2015/7/16,4
10215,2015/7/17,5
10216,2015/7/18,1
10217,2015/7/19,2
10218,2015/7/20,3
10219,2015/7/21,4
10220,2015/7/22,5
10221,2015/7/23,1
10222,2015/7/24,2
10223,2015/7/25,3
10224,2015/7/26,4
10225,2015/7/27,5
10226,2015/7/28,1
10227,2015/7/29,2
10228,2015/7/30,3
10229,2015/7/31,4
10230,2015/8/1,5
10231,2015/8/2,1
10232,2015/8/3,2
10233,2015/8/4,3
10234,2015/8/5,4
10235,2015/8/6,5
10236,2015/8/7,1
10237,2015/8/8,2
10238,2015/8/9,3
10239,2015/8/10,4
10240,2015/8/11,5
10241,2015/8/12,1
10242,2015/8/13,2
10243,2015/8/14,3
10244,2015/8/15,4
10245,2015/8/16,5
10246,2015/8/17,1
10247,2015/8/18,2
10248,2015/8/19,3
10249,2015/8/20,4
10250,2015/8/21,5
10251,2015/8/22,1
10252,2015/8/23,2
10253,2015/8/24,3
10254,2015/8/25,4
10255,2015/8/26,5
10256,2015/8/27,1
10257,2015/8/28,2
10258,2015/8/29,3
10259,2015/8/30,4
10260,2015/8/31,5
10261,2015/9/1,1
10262,2015/9/2,2
10263,2015/9/3,3
10264,2015/9/4,4
10265,2015/9/5,5
10266,2015/9/6,1
10267,2015/9/7,2
10268,2015/9/8,3
10269,2015/9/9,4
10270,2015/9/10,5
10271,2015/9/11,1
10272,2015/9/12,2
10273,2015/9/13,3
10274,2015/9/14,4
10275,2015/9/15,5
10276,2015/9/16,1
10277,2015/9/17,2
10278,2015/9/18,3
10279,2015/9/19,4
10280,2015/9/20,5
10281,2015/9/21,1
10282,2015/9/22,2
10283,2015/9/23,3
10284,2015/9/24,4
10285,2015/9/25,5
10286,2015/9/26,1
10287,2015/9/27,2
10288,2015/9/28,3
10289,2015/9/29,4
10290,2015/9/30,5
10291,2015/10/1,1
10292,2015/10/2,2
10293,2015/10/3,3
10294,2015/10/4,4
10295,2015/10/5,5
10296,2015/10/6,1
10297,2015/10/7,2
10298,2015/10/8,3
10299,2015/10/9,4
10300,2015/10/10,5
10301,2015/10/11,1
10302,2015/10/12,2
10303,2015/10/13,3
10304,2015/10/14,4
10305,2015/10/15,5
10306,2015/10/16,1
10307,2015/10/17,2
10308,2015/10/18,3
10309,2015/10/19,4
10310,2015/10/20,5
10311,2015/10/21,1
10312,2015/10/22,2
10313,2015/10/23,3
10314,2015/10/24,4
10315,2015/10/25,5
10316,2015/10/26,1
10317,2015/10/27,2
10318,2015/10/28,3
10319,2015/10/29,4
10320,2015/10/30,5
10321,2015/10/31,1
10322,2015/11/1,2
10323,2015/11/2,3
10324,2015/11/3,4
10325,2015/11/4,5
10326,2015/11/5,1
10327,2015/11/6,2
10328,2015/11/7,3
10329,2015/11/8,4
10330,2015/11/9,5
10331,2015/11/10,1
10332,2015/11/11,2
10333,2015/11/12,3
10334,2015/11/13,4
10335,2015/11/14,5
10336,2015/11/15,1
10337,2015/11/16,2
10338,2015/11/17,3
10339,2015/11/18,4
10340,2015/11/19,5
10341,2015/11/20,1
10342,2015/11/21,2
10343,2015/11/22,3
10344,2015/11/23,4
10345,2015/11/24,5
10346,2015/11/25,1
10347,2015/11/26,2
10348,2015/11/27,3
10349,2015/11/28,4
10350,2015/11/29,5
10351,2015/11/30,1
10352,2015/12/1,2
10353,2015/12/2,3
10354,2015/12/3,4
10355,2015/12/4,5
10356,2015/12/5,1
10357,2015/12/6,2
10358,2015/12/7,3
10359,2015/12/8,4
10360,2015/12/9,5
10361,2015/12/10,1
10362,2015/12/11,2
10363,2015/12/12,3
10364,2015/12/13,4
10365,2015/12/14,5
10366,2015/12/15,1
10367,2015/12/16,2
10368,2015/12/17,3
10369,2015/12/18,4
10370,2015/12/19,5
10371,2015/12/20,1
10372,2015/12/21,2
10373,2015/12/22,3
10374,2015/12/23,4
10375,2015/12/24,5
10376,2015/12/25,1
10377,2015/12/26,2
10378,2015/12/27,3
10379,2015/12/28,4
10380,2015/12/29,5
10381,2015/12/30,1
10382,2015/12/31,2
10383,2016/1/1,3
10384,2016/1/2,4
10385,2016/1/3,5
10386,2016/1/4,1
10387,2016/1/5,2
10388,2016/1/6,3
10389,2016/1/7,4
10390,2016/1/8,5
10391,2016/1/9,1
10392,2016/1/10,2
10393,2016/1/11,3
10394,2016/1/12,4
10395,2016/1/13,5
10396,2016/1/14,1
10397,2016/1/15,2
10398,2016/1/16,3
10399,2016/1/17,4
10400,2016/1/18,5
10401,2016/1/19,1
10402,2016/1/20,2
10403,2016/1/21,3
10404,2016/1/22,4
10405,2016/1/23,5
10406,2016/1/24,1
10407,2016/1/25,2
