INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT
557,,191001,13,4,13,4,12,4,14
558,,191002,12,4,12,4,13,3,11
559,,190000,11,4,11,3,14,3,13
560,,190001,10,3,10,3,15,3,12
561,,190002,15,4,15,4,10,4,15
562,,191000,14,4,14,4,11,3,10
563,,191001,13,4,13,3,12,3,14
564,,191002,12,3,12,3,13,3,11
565,,190000,11,4,11,4,14,4,13
566,,190001,10,4,10,4,15,3,12
567,,190002,15,4,15,3,10,3,15
568,,191000,14,3,14,3,11,3,10
569,,191001,13,4,13,4,12,4,14
570,,191002,12,4,12,4,13,3,11
571,,190000,11,4,11,3,14,3,13
572,,190001,10,3,10,3,15,3,12
573,,190002,15,4,15,4,10,4,15
574,,191000,14,4,14,4,11,3,10
575,,191001,13,4,13,3,12,3,14
576,,191002,12,3,12,3,13,3,11
577,,190000,11,4,11,4,14,4,13
578,,190001,10,4,10,4,15,3,12
579,,190002,15,4,15,3,10,3,15
580,,191000,14,3,14,3,11,3,10
581,,191001,13,4,13,4,12,4,14
582,,191002,12,4,12,4,13,3,11
583,,190000,11,4,11,3,14,3,13
584,,190001,10,3,10,3,15,3,12
585,,190002,15,4,15,4,10,4,15
586,,191000,14,4,14,4,11,3,10
587,,191001,13,4,13,3,12,3,14
588,,191002,12,3,12,3,13,3,11
589,,190000,11,4,11,4,14,4,13
590,,190001,10,4,10,4,15,3,12
591,,190002,15,4,15,3,10,3,15
592,,191000,14,3,14,3,11,3,10
593,,191001,13,4,13,4,12,4,14
594,,191002,12,4,12,4,13,3,11
595,,190000,11,4,11,3,14,3,13
596,,190001,10,3,10,3,15,3,12
597,,190002,15,4,15,4,10,4,15
598,,191000,14,4,14,4,11,3,10
599,,191001,13,4,13,3,12,3,14
600,,191002,12,3,12,3,13,3,11
601,,190000,11,4,11,4,14,4,13
602,,190001,10,4,10,4,15,3,12
603,,190002,15,4,15,3,10,3,15
604,,191000,14,3,14,3,11,3,10
605,,191001,13,4,13,4,12,4,14
606,,191002,12,4,12,4,13,3,11
607,,190000,11,4,11,3,14,3,13
608,,190001,10,3,10,3,15,3,12
609,,190002,15,4,15,4,10,4,15
610,,191000,14,4,14,4,11,3,10
611,,191001,13,4,13,3,12,3,14
612,,191002,12,3,12,3,13,3,11
613,,190000,11,4,11,4,14,4,13
614,,190001,10,4,10,4,15,3,12
615,,190002,15,4,15,3,10,3,15
616,,191000,14,3,14,3,11,3,10
617,,191001,13,4,13,4,12,4,14
618,,191002,12,4,12,4,13,3,11
619,,190000,11,4,11,3,14,3,13
620,,190001,10,3,10,3,15,3,12
621,,190002,15,4,15,4,10,4,15
622,,191000,14,4,14,4,11,3,10
623,,191001,13,4,13,3,12,3,14
624,,191002,12,3,12,3,13,3,11
625,,190000,11,4,11,4,14,4,13
626,,190001,10,4,10,4,15,3,12
627,,190002,15,4,15,3,10,3,15
628,,191000,14,3,14,3,11,3,10
629,,191001,13,4,13,4,12,4,14
630,,191002,12,4,12,4,13,3,11
631,,190000,11,4,11,3,14,3,13
632,,190001,10,3,10,3,15,3,12
633,,190002,15,4,15,4,10,4,15
634,,191000,14,4,14,4,11,3,10
635,,191001,13,4,13,3,12,3,14
636,,191002,12,3,12,3,13,3,11
637,,190000,11,4,11,4,14,4,13
638,,190001,10,4,10,4,15,3,12
639,,190002,15,4,15,3,10,3,15
640,,191000,14,3,14,3,11,3,10
641,,191001,13,4,13,4,12,4,14
642,,191002,12,4,12,4,13,3,11
643,,190000,11,4,11,3,14,3,13
644,,190001,10,3,10,3,15,3,12
645,,190002,15,4,15,4,10,4,15
646,,191000,14,4,14,4,11,3,10
647,,191001,13,4,13,3,12,3,14
648,,191002,12,3,12,3,13,3,11
649,,190000,11,4,11,4,14,4,13
650,,190001,10,4,10,4,15,3,12
651,,190002,15,4,15,3,10,3,15
652,,191000,14,3,14,3,11,3,10
653,,191001,13,4,13,4,12,4,14
654,,191002,12,4,12,4,13,3,11
655,,190000,11,4,11,3,14,3,13
656,,190001,10,3,10,3,15,3,12
657,,190002,15,4,15,4,10,4,15
658,,191000,14,4,14,4,11,3,10
659,,191001,13,4,13,3,12,3,14
660,,191002,12,3,12,3,13,3,11
661,,190000,11,4,11,4,14,4,13
662,,190001,10,4,10,4,15,3,12
663,,190002,15,4,15,3,10,3,15
664,,191000,14,3,14,3,11,3,10
665,,191001,13,4,13,4,12,4,14
666,,191002,12,4,12,4,13,3,11
667,,190000,11,4,11,3,14,3,13
668,,190001,10,3,10,3,15,3,12
669,,190002,15,4,15,4,10,4,15
670,,191000,14,4,14,4,11,3,10
671,,191001,13,4,13,3,12,3,14
672,,191002,12,3,12,3,13,3,11
673,,190000,11,4,11,4,14,4,13
674,,190001,10,4,10,4,15,3,12
675,,190002,15,4,15,3,10,3,15
676,,191000,14,3,14,3,11,3,10
677,,191001,13,4,13,4,12,4,14
678,,191002,12,4,12,4,13,3,11
679,,190000,11,4,11,3,14,3,13
680,,190001,10,3,10,3,15,3,12
681,,190002,15,4,15,4,10,4,15
682,,191000,14,4,14,4,11,3,10
683,,191001,13,4,13,3,12,3,14
684,,191002,12,3,12,3,13,3,11
685,,190000,11,4,11,4,14,4,13
686,,190001,10,4,10,4,15,3,12
687,,190002,15,4,15,3,10,3,15
688,,191000,14,3,14,3,11,3,10
689,,191001,13,4,13,4,12,4,14
690,,191002,12,4,12,4,13,3,11
691,,190000,11,4,11,3,14,3,13
