INDEXNAME,FILENAME,FILETYPE,INFO
CostEvent,Config/CostEvent.csv,UNICODE,累计消费活动
RechargeEvent,Config/RechargeEvent.csv,UNICODE,充值送礼
ChargeConfig,Config/ChargeConfig.csv,UNICODE,充值表
OpenTime,Config/OpenTime.csv,UNICODE,活动开放时间
RankActivity,Config/RankActivity.csv,UNICODE,排名活动
GuildBossPrice,Config/GuildBossPrice.csv,UNICODE,宗门副本购买次数
BreakAttribute,Config/BreakAttribute.csv,UNICODE,突破后升级属性表
LimitTimeSale,Config/LimitTimeSale.csv,UNICODE,限时购买
DailyStageConfig,Config/DailyStageConfig.csv,UNICODE,日常副本配置
BattleProve,Config/BattleProve.csv,UNICODE,战力验证
FailGuide,Config/FailGuide.csv,UNICODE,失败引导
IosCheck,Config/IosCheck.csv,UNICODE,IOS送审表
Agreement,Config/Agreement.csv,UNICODE,用户协议
IosCheck,Config/IosCheck.csv,UNICODE,IOS审核
Conduit,Config/Conduit.csv,UNICODE,渠道价格表
PowerEnergy,Config/PowerEnergy.csv,UNICODE,经验价格区分表
WorShip,Config/WorShip.csv,UNICODE,膜拜奖励表
WorshipConfig,Config/WorshipConfig.csv,UNICODE,膜拜进度表
BeginnerSend,Config/BeginnerSend.csv,UNICODE,初始赠送表
EquipPostion,Config/EquipPostion.csv,UNICODE,装备位置表
SufferingTrigger,Config/SufferingTrigger.csv,UNICODE,历练事件触发表
MailMax,Config/MailMax.csv,UNICODE,邮件发送数量上限
VipWeek,Config/VipWeek.csv,UNICODE,vip周礼包
StageGroupPlot,Config/StageGroupPlot.csv,UNICODE,关卡掉落保底
IndianaDraw,Config/IndianaDraw.csv,UNICODE,夺宝翻盘掉落
StageFather,Config/StageFather.csv,UNICODE,关卡章节名称
WindowPoint,Config/WindowPoint.csv,UNICODE,邱峰需求
AnnouncementConfig,Config/AnnouncementConfig.csv,UNICODE,走马灯玩家信息
WeekGiftEvent,Config/WeekGiftEvent.csv,UNICODE,新~周礼包功能配置
BossBirth,Config/BossBirth.csv,UNICODE,天魔刷新
DefaultRole,Config/DefaultRole.csv,UNICODE,创建角色默认配置
TipiconConfig,Config/TipiconConfig.csv,UNICODE,折扣角标
ClimbingBuff,Config/ClimbingBuff.csv,UNICODE,爬塔增加BUFF
SingleRechargeEvent,Config/SingleRechargeEvent.csv,UNICODE,单充福利
TeamData,Config/TeamData.csv,UNICODE,队伍数据
Team,Config/Team.csv,UNICODE,队伍
TeamBattle,Config/TeamBattle.csv,UNICODE,队伍战斗
FlashSaleEvent,Config/FlashSaleEvent.csv,UNICODE,限时抢购活动
KingdomDescribe,Config/KingdomDescribe.csv,UNICODE,图鉴阵营介绍配置
MainUiNotice,Config/MainUiNotice.csv,UNICODE,主界面气泡提示
FightUiNotice,Config/FightUiNotice.csv,UNICODE,竞技场对话表
PowerReword,Config/PowerReword.csv,UNICODE,好友精力领取
FightUi,Config/FightUi.csv,UNICODE,战斗UI按钮出现等级表
HiddenRule,Config/HiddenRule.csv,UNICODE,潜规则配置表
SoundManage,Config/SoundManage.csv,UNICODE,声音类型管理配置
ServerStatus,Config/ServerStatus.csv,UNICODE,服务器状态表
MaxNum,Config/MaxNum.csv,UNICODE,临时最大上限
MailString,Config/MailString.csv,UNICODE,邮件表
FundEventRule,Config/FundEventRule.csv,UNICODE,全民福利潜规则表
