INDEX,ISLEFT,DIALOG,NEXT,MODEL,SCALE,OFFSET,BACKUP,SOUND
11101,1,说得好好的怎么打起来了，这儿的家伙都莫名其妙的。,11102,190000,1.7,0,0,0
11102,0,嗯？刚才好像踩到了什么。,11103,101011,1.6,0,0,0
11103,1,警报！警报！有敌人入侵！各方做好战斗准备！,11104,190000,1.7,0,0,0
11104,0,嘘嘘~别吵别吵！,0,101011,1.6,0,0,0
11201,0,站住！你骗得了水鬼可骗不了我。明明知道这是那位大人的家乡才来的不是吗？,11202,101011,1.6,0,0,0
11202,1,你是谁？听不懂你说什么。我还要赶路，请让开。,11203,190000,1.7,0,0,0
11203,0,哼，继续装。,11204,101011,1.6,0,0,0
11204,0,悬赏一出，不知有多少人自作聪明来这儿找槐夙的灵魄，也不动脑子想想，要是真在这，她哪儿还会出悬赏。,11205,101011,1.6,0,0,0
11205,0,不过有一点那水鬼倒是没错，你很危险，所以我不会让你过去。,0,101011,1.6,0,0,0
11301,1,到底怎么回事。槐夙……好像在哪儿听过，悬赏……火鬼说新妖王要找的妖魂名字貌似就是这个。,11302,190000,1.7,0,0,0
11302,1,难道……要买封灵师灵魄的也是妖王？！,11303,190000,1.7,0,0,0
11303,1,如果是这样，就都能解释通了。不行，我得赶紧阻止她！虽不知她在盘算什么，但肯定不是好事！,11304,190000,1.7,0,0,0
11304,0,站住。,11305,101011,1.6,0,0,0
11305,0,你仔细看看我的脸，可觉得眼熟？,11306,101011,1.6,0,0,0
11306,1,似乎……见过……跟那个哑巴很像！,11307,190000,1.7,0,0,0
11307,0,很好，我就留你全尸。,0,101011,1.6,0,0,0
11401,1,终于知道师父为什么说要学会分辨妖中善恶，这一路下来我都快糊涂了。,11402,190000,1.7,0,0,0
11402,0,不管那些，得赶紧赶路拦下那货物，阻止妖王。可我怎么到了这儿？,11403,101011,1.6,0,0,0
11403,0,光明越盛暗影越浓，世间事大多如此。你终于来了。,11404,101011,1.6,0,0,0
11404,1,你知道我？,11405,190000,1.7,0,0,0
11405,0,上仙无所不知，自你下山便命我在此等候。既已到了，赶快开始吧。,0,101011,1.6,0,0,0
11501,0,猫就是猫，只会小打小闹，连个凡人都打不过，真是丢尽了家族颜面。,11502,101011,1.6,0,0,0
11502,1,……,11503,190000,1.7,0,0,0
11503,0,年轻人别发呆，爷爷的铁爪可不是装饰！,0,101011,1.6,0,0,0
11601,0,啊哈！占卜说我今天大吉果然没错！终于有人闯到这关了，我早就手痒难耐，今天一定要打个痛快！,11602,101011,1.6,0,0,0
11602,1,等、等等……我有问题想问……,0,190000,1.7,0,0,0
11701,0,大姐姐你真好看。,11702,101011,1.6,0,0,0
11702,1,哈……哈哈，你这小不点嘴真甜，说得我都不好意思了。,11703,190000,1.7,0,0,0
11703,0,你这么好看，要是死了就太糟蹋了。,11704,101011,1.6,0,0,0
11704,0,即使你现在胜了也说明不了什么，我们只是功力非~常非常浅薄的，后面卧虎藏龙的高手多得不胜枚举，你还是趁早多找几个同伴才是。,11705,101011,1.6,0,0,0
11705,1,呃……谢、谢谢小朋友忠告……,11706,190000,1.7,0,0,0
11706,0,我要开始攻击了，可要集中精神哦。,11707,101011,1.6,0,0,0
11707,1,能不能让我歇会……,0,190000,1.7,0,0,0
11801,1,好累，要是能睡一觉就好了,11802,190000,1.7,0,0,0
11802,0,嘿，现在可没空让你休息。小爷我可等半天了，速战速决，我后边还要带娃娃去放风筝呢。,11803,101011,1.6,0,0,0
11803,0,啧啧，话说连他那么可爱的脸你都下得了手，真是铁石心肠。,11804,101011,1.6,0,0,0
11804,1,（明明是你们逼的）说起来……我跟你们素无瓜葛，为何如此担心我的安危？,11805,190000,1.7,0,0,0
11805,0,阳境有维护五境同一的责任。故开设试炼，考验往来年轻的封灵师们。,11806,101011,1.6,0,0,0
11806,0,说多无益，还是直接用身体感受差距吧。,0,101011,1.6,0,0,0
11901,1,阳境的人真是小心眼，不过输了而已，竟然往饭菜里下巴豆，害我跑了一天的茅厕，到现在……哦哟，腿还有点使不上劲。,11902,190000,1.7,0,0,0
11902,1,咦，那边怎么有哭声？似乎……还有鞭子的声音，我得去看看。,11903,190000,1.7,0,0,0
11903,0,哟，这不是最爱管妖事的封灵师大人嘛。来得正好，我正有气没出撒，不能弄死它们我还不能弄死你么！,0,101011,1.6,0,0,0
12001,1,你没事吧？,12002,190000,1.7,0,0,0
12002,0,你在干什么！,12003,101011,1.6,0,0,0
12003,1,我、我在救你啊。,12004,190000,1.7,0,0,0
12004,0,谁要你救了！这下完了……,12005,101011,1.6,0,0,0
12005,0,不行……我得想法子。对了，你是封灵师肯定有不少灵将吧？能不能送我几只？,12006,101011,1.6,0,0,0
12006,1,那怎么行，它们都是我的伙伴，不能送人。不过你要灵将做什么？,12007,190000,1.7,0,0,0
12007,0,这儿的居民大多是老弱病残，大王征兵一直招不到合适的。,12008,101011,1.6,0,0,0
12008,1,（征兵？难道妖王打算血洗五境？!）,0,190000,1.7,0,0,0
12101,1,哪位是这里管事的，快出来见我！,12102,190000,1.7,0,0,0
12102,0,我就是~听说有不要命的捣乱，还真是。脾气比我的还大。,12103,101011,1.6,0,0,0
12103,1,你脚下这块门板可价值不菲，你是准备命偿还是……,12104,190000,1.7,0,0,0
12104,0,呸！我不仅拆你的门，拆了这练兵场，你们妖王的脑袋我也拆定了！,0,101011,1.6,0,0,0
12201,0,唉哟唉哟，我的这个心肝颤的哟。动静这么大，是要全境上下都知道吗？都说了要秘密进行，不知道什么是秘密行动吗？要安静，嘘嘘。,12202,101011,1.6,0,0,0
12202,0,你是谁？,12203,101011,1.6,0,0,0
12203,1,别废话，带我去见你们妖王！我要问问她，又悬赏又招兵，到底有什么阴谋！,12204,190000,1.7,0,0,0
12204,0,这位兄弟，你是不是误会什么了？,12205,101011,1.6,0,0,0
12205,1,你们虐待自己的民众，不顾它们死活，我误会什么了？,12206,190000,1.7,0,0,0
12206,0,你也一样不是？选择某些伙伴的同时便需放弃另一部分。成大事不拘小节，咱们半斤八两。,12207,101011,1.6,0,0,0
12207,1,我跟你们才不一样！废话少说，把妖王叫出来！,0,190000,1.7,0,0,0
12301,0,谁在吵闹？,12302,101011,1.6,0,0,0
12302,1,怎么……是男的，听说妖王是个女的啊。,12303,190000,1.7,0,0,0
12303,0,哈哈哈哈~当然不是，因为你要找的妖王还远在这片土地的最深处。,12304,101011,1.6,0,0,0
12304,1,虽然弄错了人，但征兵这事总是你做的，我要你放了它们。,12305,190000,1.7,0,0,0
12305,0,嗯~也不是不可以，但你得为我做件事，杀了妖王。,12306,101011,1.6,0,0,0
12306,1,别耍花招，是她的部下，我才不信你。,12307,190000,1.7,0,0,0
12307,0,错，我是旧王的部下。,12308,101011,1.6,0,0,0
12308,0,妖王发出两道悬赏，找一个叫槐夙的妖灵，据说此人是她的恋人。另一个就是收集大量封灵师的灵魄，知道干什么用吗？,12309,101011,1.6,0,0,0
12309,0,在找不到槐夙的情况下用来替代他的妖灵，她要复活恋人。而且一日不成功，封灵师们便永无宁日。,0,101011,1.6,0,0,0
12401,1,咳咳，这空气的味道好难闻，咳咳。我得抓紧时间了，之前那批货追丢了许久，说不定已经快到魔头手上了……那就真的糟了。,12402,190000,1.7,0,0,0
12402,0,嘎、达、嘎、达……嘎……,12403,101011,1.6,0,0,0
12403,1,嗯？你想告诉我什么？,12404,190000,1.7,0,0,0
12404,0,嘎、达、嘎、达、嘎、哒……,12405,101011,1.6,0,0,0
12405,1,你眼珠怎么突然红了？,0,190000,1.7,0,0,0
12501,0,嘘，小声点！附近有人监视。杀、杀、杀……,12502,101011,1.6,0,0,0
12502,1,这里发生了什么事？,12503,190000,1.7,0,0,0
12503,0,杀、杀、杀……我和那符人原本都是封灵师，被妖怪擒住后醒来就变成了这副样子。具体发生了什么我也不清楚。,12504,101011,1.6,0,0,0
12504,1,那其他人在什么地方？,12505,190000,1.7,0,0,0
12505,0,大家所在不同，但都从一个地方醒来，你可以查探一下。,0,101011,1.6,0,0,0
12601,0,嗅嗅~嗯，有老鼠溜进来了。出来吧。,12602,101011,1.6,0,0,0
12602,1,鼻子比眼睛还灵嘛，说，你到底对他们做了什么？,12603,190000,1.7,0,0,0
12603,0,这是我新近调配的灵药，你要不要来点？这是我为妖王准备的，可以重塑他人灵魄，使人完全成为另一个人哈哈哈哈，我真是天才！,12604,101011,1.6,0,0,0
12604,1,哼！我叫你炼药害人！,0,190000,1.7,0,0,0
12701,0,小子！你打伤我的药师就想一走了之？,12702,101011,1.6,0,0,0
12702,1,想得美，不把你这儿的药都毁了我才不离开呢。,12703,190000,1.7,0,0,0
12703,0,我非把你撕了不可！吼——,12704,101011,1.6,0,0,0
12704,1,臭猴子，还不知道谁撕谁呢，放马过来！,0,190000,1.7,0,0,0
12801,0,站住。此路不通，回头吧。,12802,101011,1.6,0,0,0
12802,1,请先生让开。如今妖王为祸，残害生灵，我一定要阻止她。,12803,190000,1.7,0,0,0
12803,0,百年来我的职责便是看守这座山门，谁作恶了，谁要干什么，都与我无关。门在我在，回去吧。,12804,101011,1.6,0,0,0
12804,1,妖王想复生恋人本不难理解，但她因此残害众生，先生难道不觉得太过荒唐？,12805,190000,1.7,0,0,0
12805,0,荒唐？何谓荒唐？世间种种，谁又说得清。还是那句话，一切与我无关，你回去吧。,12806,101011,1.6,0,0,0
12806,1,你这死脑筋怎么说不通。我今天就是要过去！,0,190000,1.7,0,0,0
12901,0,槐叶荫荫，拒霜娇娇……你是谁？,12902,101011,1.6,0,0,0
12902,1,我想问路，请问你知道……,12903,190000,1.7,0,0,0
12903,0,姐姐说最近坏人多，碰到陌生人要先抓起来。所以我什么都不知道。,0,101011,1.6,0,0,0
13001,0,槐叶荫荫，拒霜娇娇，忽然槐花随溪去，独留拒霜尽相思。,13002,101011,1.6,0,0,0
13002,1,这小调……你认识那只疯狐狸？,13003,190000,1.7,0,0,0
13003,0,认识。这小调是我家乡的名调，人人都会唱。,13004,101011,1.6,0,0,0
13004,1,听说他的恋人在这，你可曾见过？,13005,190000,1.7,0,0,0
13005,0,呵，就在你眼前。,13006,101011,1.6,0,0,0
13006,0,欸！！！你、你跟我想的有点不太一样……,13007,101011,1.6,0,0,0
13007,0,爱情哪有种族之分。你可知这小调的意思？,13008,101011,1.6,0,0,0
13008,0,说的是从前河岸边的一棵槐树爱上了身旁的拒霜花，两人互相爱慕，而有一日槐树突然消失不见，拒霜花便一个人日日对着溪水思念他。,13009,101011,1.6,0,0,0
13009,0,槐树……这莫非是妖王跟槐夙的故事？,0,101011,1.6,0,0,0
13101,0,尽管跟那位大人再怎么像，果然不是每个人都能达到那位大人的境界。,13102,101011,1.6,0,0,0
13102,1,……,13103,190000,1.7,0,0,0
13103,0,刚才的女子，估计是把自己的经历跟妖王重合了，也希望变得更她一样强大吧。,13104,101011,1.6,0,0,0
13104,0,来自同一地方，又都历经离别之苦，而且妖王的仇人也是这儿以前的魔头。所以她才会把自己代入妖王。但……仅经历相似看来还是不够。,0,101011,1.6,0,0,0
13201,1,虽我奔波一路辛苦了，你们还好吗？,13202,190000,1.7,0,0,0
13202,0,……,13203,101011,1.6,0,0,0
13203,1,过了这一关，我们便找个地方休息休息。,0,190000,1.7,0,0,0
13301,1,穿岩浆渡清河的邪鬼大叔嘛,13302,190000,1.7,0,0,0
13302,0,有点眼力劲。不过卖乖也没用，我是断然不会送你的，我可不想惹麻烦。,13303,101011,1.6,0,0,0
13303,1,可是您三弟也让我通过了,13304,190000,1.7,0,0,0
13304,0,只能怪他自己技不如人。你若胜我我也送你一程，怕只怕你会被我烧成秃子！,13305,101011,1.6,0,0,0
13305,1,到底谁是秃子这可不好说。,0,190000,1.7,0,0,0
13401,1,呼……总算甩开他们了。,13402,190000,1.7,0,0,0
13402,0,站~住~此河是我开，此桥是我搭，要从此路过，留下买路财。,13403,101011,1.6,0,0,0
13403,1,可是我没钱。,13404,190000,1.7,0,0,0
13404,0,此财非彼财。什么东西又轻盈又贵重？,13405,101011,1.6,0,0,0
13405,1,果然你也是来抓我的。,0,190000,1.7,0,0,0
13501,0,今天天气不错，我劝你知难而退，别做无谓挣扎。,13502,101011,1.6,0,0,0
13502,1,我一定要过去。,13503,190000,1.7,0,0,0
13503,0,那你是敬酒不吃吃罚酒了。,13504,101011,1.6,0,0,0
13504,0,等下！是狂魔让我来找你的，说你会帮我通过此处。,13505,101011,1.6,0,0,0
13505,1,他？哈哈，想不到他竟会告诉外人我的存在。看来，我小瞧你了。,0,190000,1.7,0,0,0
13601,0,你们的小伎俩也想骗过我的眼睛！我早就觉得她不对劲，原来存了二心啊。我要报告上头去。,13602,101011,1.6,0,0,0
13602,1,不许走！,0,190000,1.7,0,0,0
13701,1,他说老头就在后面，可这路上有个猿猴挡着怎么办……有了！,13702,190000,1.7,0,0,0
13702,1,这是你喜欢的香蕉，多吃点，对对对，前面还有，就是这样，走远点……,13703,190000,1.7,0,0,0
13703,0,吼——,13704,101011,1.6,0,0,0
13704,1,不是把香蕉都丢给你了嘛，怎么还回头啊——,0,190000,1.7,0,0,0
13801,0,那两个不中用的真是丢脸丢到家了。连个人都看不住。,13802,101011,1.6,0,0,0
13802,1,你不用这么生气，他们都很认真的在履行职责。嘻嘻，你看我们这么熟了就让我过去吧。,13803,190000,1.7,0,0,0
13803,0,哼，可以，只是咱们赌得一局，赢了你就过去。,13804,101011,1.6,0,0,0
13804,1,赌什么？,13805,190000,1.7,0,0,0
13805,0,我身后有两扇门，一扇通往你想去的地方，另一扇则通往另一个地方，你随便选一个进去。,13806,101011,1.6,0,0,0
13806,1,不用~,0,190000,1.7,0,0,0
13901,0,那个臭老头一把年纪了还耍赖，把我丢进了另一个门！再见他非得拔光他的胡子。,13902,101011,1.6,0,0,0
13902,0,何人在此吵嚷？,13903,101011,1.6,0,0,0
13903,1,抱歉抱歉，我这就离开。,13904,190000,1.7,0,0,0
13904,0,嗯？里面那位童子端的是什么？怎么有点像……我得过去看看。,13905,101011,1.6,0,0,0
13905,1,大胆凡人，竟敢私闯禁地，还不站住！,0,190000,1.7,0,0,0
14001,1,这位小哥请留步，能让我看下你这净瓶中的东西吗？,14002,190000,1.7,0,0,0
14002,0,啊！凡人怎么会在这里出现！这净魂岂是你的凡俗之身能碰的？,14003,101011,1.6,0,0,0
14003,1,我只是觉得它跟外面大家都在找的东西很像……,14004,190000,1.7,0,0,0
14004,0,我不知道外面在找什么，你让开！,0,101011,1.6,0,0,0
14101,0,阳境乃祥和之地，岂容你胡来。,14102,101011,1.6,0,0,0
14102,1,那净瓶中的灵魄是槐夙对吧，怎么会在这里？,14103,190000,1.7,0,0,0
14103,0,是又与你何干。,14104,101011,1.6,0,0,0
14104,1,听闻妖王是因遍寻阴境死魂之地未果而一念成魔的。而且万物生灵死后都应是魂归死地，怎么会出现在这儿？,14105,190000,1.7,0,0,0
14105,0,这妖灵乃难得的至纯至净之物，留在此处，也不是稀奇事，只怪那妖自己想不到。,0,101011,1.6,0,0,0
14201,0,发现入侵者！,0,101011,1.6,0,0,0
14301,0,哼，单凭一把剑就想阻止我？太小瞧人了。,0,101011,1.6,0,0,0
14401,0,站住站住，走那么快干什么。嗬，这瓶子倒是漂亮，只怕里面装的是假货吧。走走走，别一个个的都来骗赏金，净增加工作量。,14402,101011,1.6,0,0,0
14402,1,我不是冲悬赏来的，但这东西是货真价实的，快让妖王出来见我。,14403,190000,1.7,0,0,0
14403,0,胡说！我每天在这看了假货无数还分辨不出你这破东西的真伪？,14404,101011,1.6,0,0,0
14404,0,快走快走，不抓你已经算走运了。,14405,101011,1.6,0,0,0
14405,1,跟你说不通，让开。,0,190000,1.7,0,0,0
14501,0,有什么事，跟我说吧。,14502,101011,1.6,0,0,0
14502,1,槐夙的妖灵我带来了，让我见妖王。,14503,190000,1.7,0,0,0
14503,0,欧？可每个来的人都这样说，我怎么知道真假。,14504,101011,1.6,0,0,0
14504,1,我不要赏金，只要你们撤销对封灵师灵魄的悬赏。,14505,190000,1.7,0,0,0
14505,0,哈哈哈哈~真是浩然正气啊。,0,101011,1.6,0,0,0
14601,0,想不到那家伙竟敢违逆娘娘的意思。你把东西交给我就行了。,14602,101011,1.6,0,0,0
14602,1,哼，鬼才会相信你，我要亲自去见魔头。,0,190000,1.7,0,0,0
14701,0,娘娘正在施法，谁都不许通行！,14702,101011,1.6,0,0,0
14702,1,施法？槐夙还在我这里，她施的什么法？！难道……,14703,190000,1.7,0,0,0
14703,1,你给我滚开！,0,190000,1.7,0,0,0
14801,0,你有些本事，竟能走到这里。不过不会再让你上前一步。,14802,101011,1.6,0,0,0
14802,1,妖王，槐夙的妖灵就在这里，你给我出来！,14803,190000,1.7,0,0,0
14803,0,住口！,0,101011,1.6,0,0,0
99001,0,无双妹子，这里就是木之境了！往前就会很危险了，要我保护喵？,0,190000,1.7,0,0,0
99002,0,色猫一边去！看本姑娘闯他一闯！,0,190000,1.7,0,0,0
99003,0,咕叽叽！！咕叽！！！,0,190000,1.7,0,0,0
99004,0,僵僵：慢一点！我跳的好累啊～,0,190000,1.7,0,0,0
99005,0,猫道长：我就说带你不行喵！,0,190000,1.7,0,0,0
99006,0,无双：额，这么丑的房子是什么时候建在这里的？简直有碍镇容。,0,190000,1.7,0,新手引导用于引导抽卡,0
30001,1,一个好汉三个帮，在这里能炼化出很多强劲的灵将帮手哦！,0,102064,1.6,0,新手引导用于战斗准备,0
30002,0,人手已经足够啦，只是你这个身手嘛……,30003,102064,1.6,0,0,0
30003,1,你那是什么嫌弃的眼神？,30004,190000,1.7,0,0,0
30004,0,嘛，我看还是先从小事做起吧，比如最近镇上频发的少年失踪事件，你怎么看？,30005,102064,1.6,0,0,0
30005,1,不会是妖怪作祟吧？,30006,190000,1.7,0,0,0
30006,0,那很难说。,30007,102064,1.6,0,0,0
30007,0,据说有人在村外神秘小屋周围发现了奇怪的痕迹，可能和这件事有关。,30008,102064,1.6,0,0,0
30008,0,你准备准备，前去查探一番吧！,0,102064,1.6,0,新手引导用于一键上阵,0
30009,0,出发前可以调整队伍阵容。,30010,102064,1.6,0,0,0
30010,0,五境属性相生相克，压制阵容将使你的战力提升一个等级哦！,0,102064,1.6,0,新手引导用于移动,0
30011,0,喂！你是守门的妖怪，尽职一点好不好？跑什么跑！,30012,190000,1.6,0,新手引导用于释放技能,0
30012,0,只要点击对应的位置就可以移动或者发起攻击了！！,0,102064,1.6,0,0,0
30013,0,逃得倒是利落！看招！,30014,190000,1.6,0,0,0
30014,0,只要点击对应的技能图标就可以向目标释放技能攻击了！！,0,102064,1.6,0,新手引导用于任务领奖,0
30015,0,怎么样？有什么发现？,30016,102064,1.6,0,0,0
30016,1,嗯 ，发现自己果然还有进步的空间。,30017,190000,1.7,0,0,0
30017,0,（这是被虐了么？）,30018,102064,1.6,0,0,0
30018,0,虽然还没有功劳，但是也有苦劳，这是给你的奖励！,0,102064,1.6,0,新手引导用于宠物升级,0
30019,1,有机括却没有操纵者，会不会是某个封灵师的灵将呢？,30020,190000,1.7,0,0,0
30020,0,不会，灵将是不能脱离主人战斗的。,30021,102064,1.6,0,0,0
30021,0,但是封灵可以通过吞噬增加灵力，灵力越强的封灵等级越高，越是强大。,0,102064,1.6,0,对话用户第一关结束,0
30022,0,咦？奇怪，这怎么是个机关藤缠鸟？,30023,190000,1.7,0,0,0
30023,0,究竟是何人在操控…,0,190000,1.7,0,第二关开始前引导对话,0
30024,0,好！整装完毕！这一次必要进屋查看！,30025,190000,1.6,0,0,0
30025,1,（原来上次都没能进屋啊...）,0,102064,1.7,0,自动战斗引导,0
30026,1,只要打开自动战斗，就不用一只操作了，灵将会帮你扫除障碍,0,102064,1.6,0,第二关战斗结束对话,0
30027,0,明明是机括，却有了灵魂…,30028,190000,1.7,0,0,0
30028,0,让人感觉很不安啊…,30029,190000,1.7,0,0,0
