INT,INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,INT,FLOAT,FLOAT,INT,FLOAT,FLOAT,INT,FLOAT,FLOAT,INT,FLOAT,FLOAT
11,2,碧鳞甲,AvatarAtlas,icon_spirit_fox_2_shadow,太极甲,AvatarAtlas,icon_spirit_fox_2_shadow,青龙甲,AvatarAtlas,icon_tiger_immortal_5_glod,云纹细鳞甲,AvatarAtlas,icon_tiger_immortal_5_glod,青灵辟魔铠,AvatarAtlas,icon_tiger_immortal_5_glod,7,hp上限数值,960,0.02,9.6,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
12,2,玄铁护腕,AvatarAtlas,icon_spirit_fox_3_red,摘星护腕,AvatarAtlas,icon_spirit_fox_3_red,狂狮战腕,AvatarAtlas,icon_deer_immortal_5_green,乾坤护腕,AvatarAtlas,icon_deer_immortal_5_green,腾龙护腕,AvatarAtlas,icon_deer_immortal_5_green,8,hp上限百分比,0.2873,0.02,28.73,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
13,2,残影腰带,AvatarAtlas,icon_spirit_fox_3_green,金丝腰带,AvatarAtlas,icon_spirit_fox_3_green,仙圣腰带,AvatarAtlas,icon_deer_immortal_5_blue,龙鳞腰带,AvatarAtlas,icon_deer_immortal_5_blue,雷灵天火腰带,AvatarAtlas,icon_deer_immortal_5_blue,29,闪避,57,0.02,0.57,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
14,2,辟邪披风,AvatarAtlas,icon_spirit_fox_3_shadow,虎啸披风,AvatarAtlas,icon_spirit_fox_3_shadow,白狐披风,AvatarAtlas,icon_deer_immortal_5_gold,驭凤披风,AvatarAtlas,icon_deer_immortal_5_gold,天龙披风,AvatarAtlas,icon_deer_immortal_5_gold,8,hp上限百分比,0.2873,0.02,28.73,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
15,3,墨玉戒,AvatarAtlas,icon_taoist_adv_3_blue,冰晶戒,AvatarAtlas,icon_taoist_adv_3_blue,辟邪戒,AvatarAtlas,icon_deer_immortal_5_shadow,麒麟戒,AvatarAtlas,icon_deer_immortal_5_shadow,天火戒,AvatarAtlas,icon_deer_immortal_5_shadow,16,暴击率,0.0569,0.02,5.69,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
16,3,狼齿链,AvatarAtlas,icon_taoist_adv_3_green,软玉链,AvatarAtlas,icon_taoist_adv_3_green,紫晶链,AvatarAtlas,icon_spirit_fox_5_red,白龙玉凤链,AvatarAtlas,icon_spirit_fox_5_red,狱火赤光链,AvatarAtlas,icon_spirit_fox_5_red,17,暴击伤害,0.2278,0.02,22.78,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
17,3,玉耳环,AvatarAtlas,icon_taoist_adv_3_gold,碧磷耳环,AvatarAtlas,icon_taoist_adv_3_gold,天灵耳环,AvatarAtlas,icon_spirit_fox_5_green,玄天耳环,AvatarAtlas,icon_spirit_fox_5_green,磐龙耳环,AvatarAtlas,icon_spirit_fox_5_green,16,暴击率,0.0569,0.02,5.69,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
18,4,照妖镜,AvatarAtlas,icon_taoist_expert_3_red,落魂镜,AvatarAtlas,icon_taoist_expert_3_red,昊天宝镜,AvatarAtlas,icon_spirit_fox_5_shadow,阴阳乾坤镜,AvatarAtlas,icon_spirit_fox_5_shadow,六阳神火镜,AvatarAtlas,icon_spirit_fox_5_shadow,24,伤害减免,0.0569,0.02,5.69,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
19,4,定海珠,AvatarAtlas,icon_taoist_expert_3_green,雷玉珠,AvatarAtlas,icon_taoist_expert_3_green,浴血灵珠,AvatarAtlas,icon_spirit_fox_6_red,混元宝珠,AvatarAtlas,icon_spirit_fox_6_red,乾坤火灵珠,AvatarAtlas,icon_spirit_fox_6_red,31,暴击伤害减免,0.2278,0.02,22.78,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
20,4,五行图,AvatarAtlas,icon_taoist_expert_3_blue,太极图,AvatarAtlas,icon_taoist_expert_3_blue,诛仙图,AvatarAtlas,icon_spirit_fox_6_green,山河社稷图,AvatarAtlas,icon_spirit_fox_6_green,四象乾坤图,AvatarAtlas,icon_spirit_fox_6_green,24,伤害减免,0.0569,0.02,5.69,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
21,4,搜魂符,AvatarAtlas,icon_taoist_expert_3_shadow,灵光符,AvatarAtlas,icon_taoist_expert_3_shadow,血影神符,AvatarAtlas,icon_spirit_fox_6_shadow,离合五云符,AvatarAtlas,icon_spirit_fox_6_shadow,封灵灭法符,AvatarAtlas,icon_spirit_fox_6_shadow,31,暴击伤害减免,0.2278,0.02,22.78,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
22,3,心灯,AvatarAtlas,icon_spirit_fox_4_red,落魂灯,AvatarAtlas,icon_spirit_fox_4_red,宝莲灯,AvatarAtlas,icon_taoist_expert_4_red,七星续命灯,AvatarAtlas,icon_taoist_expert_4_red,乾坤昊日灯,AvatarAtlas,icon_taoist_expert_4_red,17,暴击伤害,0.2278,0.02,22.78,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
