INT,STRING,STRING,STRING,STRING,INT
120404,缠雷杖图谱,MaterialAtlas,material_wqtz_07,合成所需要的图纸,
120504,雷神弓图谱,MaterialAtlas,material_wqtz_09,合成所需要的图纸,
120604,破霞鞭图谱,MaterialAtlas,material_wqtz_11,合成所需要的图纸,
130104,琉璃靴图谱,MaterialAtlas,material_fjtz_01,合成所需要的图纸,
130204,天龙冠图谱,MaterialAtlas,material_fjtz_03,合成所需要的图纸,
130304,修罗披风图谱,MaterialAtlas,material_fjtz_05,合成所需要的图纸,
130404,奔雷服图谱,MaterialAtlas,material_fjtz_07,合成所需要的图纸,
130504,雷神护腕图谱,MaterialAtlas,material_fjtz_09,合成所需要的图纸,
130604,破霞腰带图谱,MaterialAtlas,material_fjtz_11,合成所需要的图纸,
140104,琉璃符图谱,MaterialAtlas,material_sptz_01,合成所需要的图纸,
140204,天龙戒图谱,MaterialAtlas,material_sptz_03,合成所需要的图纸,
140304,修罗链图谱,MaterialAtlas,material_sptz_05,合成所需要的图纸,
140404,幻雷图图谱,MaterialAtlas,material_sptz_07,合成所需要的图纸,
140504,雷神灵珠图谱,MaterialAtlas,material_sptz_09,合成所需要的图纸,
140604,破霞宝镜图谱,MaterialAtlas,material_sptz_11,合成所需要的图纸,
120105,金龙铳图谱,MaterialAtlas,material_wqtz_02,合成所需要的图纸,
120205,九幽剑图谱,MaterialAtlas,material_wqtz_04,合成所需要的图纸,
120305,麟火吞月刀图谱,MaterialAtlas,material_wqtz_06,合成所需要的图纸,
120405,上清玄辉杖图谱,MaterialAtlas,material_wqtz_08,合成所需要的图纸,
120505,摘星弓图谱,MaterialAtlas,material_wqtz_10,合成所需要的图纸,
120605,陨日龙骨鞭图谱,MaterialAtlas,material_wqtz_12,合成所需要的图纸,
130105,金龙鞋图谱,MaterialAtlas,material_fjtz_02,合成所需要的图纸,
130205,九幽冠图谱,MaterialAtlas,material_fjtz_04,合成所需要的图纸,
130305,麟火披风图谱,MaterialAtlas,material_fjtz_06,合成所需要的图纸,
130405,上清玄辉战袍图谱,MaterialAtlas,material_fjtz_08,合成所需要的图纸,
130505,摘星护腕图谱,MaterialAtlas,material_fjtz_10,合成所需要的图纸,
130605,陨日龙骨腰带图谱,MaterialAtlas,material_fjtz_12,合成所需要的图纸,
140105,金龙符图谱,MaterialAtlas,material_sptz_02,合成所需要的图纸,
140205,九幽戒图谱,MaterialAtlas,material_sptz_04,合成所需要的图纸,
140305,麟火链图谱,MaterialAtlas,material_sptz_06,合成所需要的图纸,
140405,上清玄辉图图谱,MaterialAtlas,material_sptz_08,合成所需要的图纸,
140505,摘星宝珠图谱,MaterialAtlas,material_sptz_10,合成所需要的图纸,
140605,陨日龙骨镜图谱,MaterialAtlas,material_sptz_12,合成所需要的图纸,
11301,锆石,MaterialAtlas,material_wqcl_01,合成所需要的材料,11301
11402,晶石,MaterialAtlas,material_wqcl_02,合成所需要的材料,11402
11503,圣痕石,MaterialAtlas,material_wqcl_03,合成所需要的材料,11503
11304,生铁,MaterialAtlas,material_wqcl_04,合成所需要的材料,11304
11405,陨铁,MaterialAtlas,material_wqcl_05,合成所需要的材料,11405
11506,金刚石,MaterialAtlas,material_wqcl_06,合成所需要的材料,11506
11307,圆木,MaterialAtlas,material_wqcl_07,合成所需要的材料,11307
11408,古藤木,MaterialAtlas,material_wqcl_08,合成所需要的材料,11408
11509,上古仙木,MaterialAtlas,material_wqcl_09,合成所需要的材料,11509
12301,蛇皮,MaterialAtlas,material_fjcl_01,合成所需要的材料,12301
12402,虎皮,MaterialAtlas,material_fjcl_02,合成所需要的材料,12402
12503,龙鳞,MaterialAtlas,material_fjcl_03,合成所需要的材料,12503
12304,粗布,MaterialAtlas,material_fjcl_04,合成所需要的材料,12304
12405,丝绸,MaterialAtlas,material_fjcl_05,合成所需要的材料,12405
12506,锦缎,MaterialAtlas,material_fjcl_06,合成所需要的材料,12506
12307,羊角,MaterialAtlas,material_fjcl_07,合成所需要的材料,12307
12408,蛮牛角,MaterialAtlas,material_fjcl_08,合成所需要的材料,12408
12509,麒麟角,MaterialAtlas,material_fjcl_09,合成所需要的材料,12509
13301,珍珠,MaterialAtlas,material_spcl_01,合成所需要的材料,13301
13402,玛瑙,MaterialAtlas,material_spcl_02,合成所需要的材料,13402
13503,翡翠,MaterialAtlas,material_spcl_03,合成所需要的材料,13503
13304,黑曜石,MaterialAtlas,material_spcl_04,合成所需要的材料,13304
13405,海蓝石,MaterialAtlas,material_spcl_05,合成所需要的材料,13405
13506,红晶石,MaterialAtlas,material_spcl_06,合成所需要的材料,13506
13307,露水,MaterialAtlas,material_spcl_07,合成所需要的材料,13307
13408,阴阳水,MaterialAtlas,material_spcl_08,合成所需要的材料,13408
13509,仙灵水,MaterialAtlas,material_spcl_09,合成所需要的材料,13509
14301,大地之灵,MaterialAtlas,material_fqcl_01,合成所需要的材料,14301
14402,元神之灵,MaterialAtlas,material_fqcl_02,合成所需要的材料,14402
14503,玄天之灵,MaterialAtlas,material_fqcl_03,合成所需要的材料,14503
15301,下级元素结晶,MaterialAtlas,material_tscl_01,合成所需要的材料,15301
15402,中级元素结晶,MaterialAtlas,material_tscl_02,合成所需要的材料,15402
15503,上级元素结晶,MaterialAtlas,material_tscl_03,合成所需要的材料,15503
