INT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
130504,15,130504,雷神护腕图谱,5000,16,230504,20,,,,,,,,,,,,,
130604,15,130604,破霞腰带图谱,5000,16,230604,20,,,,,,,,,,,,,
140104,15,140104,琉璃符图谱,5000,16,240104,20,,,,,,,,,,,,,
140204,15,140204,天龙戒图谱,5000,16,240204,20,,,,,,,,,,,,,
140304,15,140304,修罗链图谱,5000,16,240304,20,,,,,,,,,,,,,
140404,15,140404,幻雷图图谱,5000,16,240404,20,,,,,,,,,,,,,
140504,15,140504,雷神灵珠图谱,5000,16,240504,20,,,,,,,,,,,,,
140604,15,140604,破霞宝镜图谱,5000,16,240604,20,,,,,,,,,,,,,
120105,15,120105,金龙铳图谱,5000,16,220105,20,,,,,,,,,,,,,
120205,15,120205,九幽剑图谱,5000,16,220205,20,,,,,,,,,,,,,
120305,15,120305,麟火吞月刀图谱,5000,16,220305,20,,,,,,,,,,,,,
120405,15,120405,上清玄辉杖图谱,5000,16,220405,20,,,,,,,,,,,,,
120505,15,120505,摘星弓图谱,5000,16,220505,20,,,,,,,,,,,,,
120605,15,120605,陨日龙骨鞭图谱,5000,16,220605,20,,,,,,,,,,,,,
130105,15,130105,金龙鞋图谱,5000,16,230105,20,,,,,,,,,,,,,
130205,15,130205,九幽冠图谱,5000,16,230205,20,,,,,,,,,,,,,
130305,15,130305,麟火披风图谱,5000,16,230305,20,,,,,,,,,,,,,
130405,15,130405,上清玄辉战袍图谱,5000,16,230405,20,,,,,,,,,,,,,
130505,15,130505,摘星护腕图谱,5000,16,230505,20,,,,,,,,,,,,,
130605,15,130605,陨日龙骨腰带图谱,5000,16,230605,20,,,,,,,,,,,,,
140105,15,140105,金龙符图谱,5000,16,240105,20,,,,,,,,,,,,,
140205,15,140205,九幽戒图谱,5000,16,240205,20,,,,,,,,,,,,,
140305,15,140305,麟火链图谱,5000,16,240305,20,,,,,,,,,,,,,
140405,15,140405,上清玄辉图图谱,5000,16,240405,20,,,,,,,,,,,,,
140505,15,140505,摘星宝珠图谱,5000,16,240505,20,,,,,,,,,,,,,
140605,15,140605,陨日龙骨镜图谱,5000,16,240605,20,,,,,,,,,,,,,
20103,6,20103,炙焰铳,5000,15,11301,10,15,15301,10,,,,,,,,,,
20203,6,20203,紫阳剑,5000,15,11304,10,15,15301,10,,,,,,,,,,
20303,6,20303,流云刀,5000,15,11304,10,15,15301,10,,,,,,,,,,
20403,6,20403,灵韵杖,5000,15,11307,10,15,15301,10,,,,,,,,,,
20503,6,20503,神臂弓,5000,15,11307,10,15,15301,10,,,,,,,,,,
20603,6,20603,紫麟鞭,5000,15,11301,10,15,15301,10,,,,,,,,,,
30103,6,30103,炙焰靴,5000,15,12301,10,15,15301,10,,,,,,,,,,
30203,6,30203,紫阳冠,5000,15,12307,10,15,15301,10,,,,,,,,,,
30303,6,30303,流云披风,5000,15,12304,10,15,15301,10,,,,,,,,,,
30403,6,30403,灵韵服,5000,15,12304,10,15,15301,10,,,,,,,,,,
30503,6,30503,神臂护腕,5000,15,12307,10,15,15301,10,,,,,,,,,,
30603,6,30603,紫麟腰带,5000,15,12301,10,15,15301,10,,,,,,,,,,
40103,6,40103,炙焰符,5000,15,13307,10,15,15301,10,,,,,,,,,,
40203,6,40203,紫阳戒,5000,15,13304,10,15,15301,10,,,,,,,,,,
40303,6,40303,流云链,5000,15,13304,10,15,15301,10,,,,,,,,,,
40403,6,40403,灵韵图,5000,15,13307,10,15,15301,10,,,,,,,,,,
40503,6,40503,神心珠,5000,15,13301,10,15,15301,10,,,,,,,,,,
40603,6,40603,紫灵镜,5000,15,13301,10,15,15301,10,,,,,,,,,,
20104,6,20104,琉璃铳,5000,15,11402,20,15,15402,20,15,120104,1,,,,,,,
20204,6,20204,天龙剑,5000,15,11405,20,15,15402,20,15,120204,1,,,,,,,
20304,6,20304,修罗刀,5000,15,11405,20,15,15402,20,15,120304,1,,,,,,,
20404,6,20404,缠雷杖,5000,15,11408,20,15,15402,20,15,120404,1,,,,,,,
20504,6,20504,雷神弓,5000,15,11408,20,15,15402,20,15,120504,1,,,,,,,
20604,6,20604,破霞鞭,5000,15,11402,20,15,15402,20,15,120604,1,,,,,,,
30104,6,30104,琉璃靴,5000,15,12402,20,15,15402,20,15,130104,1,,,,,,,
30204,6,30204,天龙冠,5000,15,12408,20,15,15402,20,15,130204,1,,,,,,,
30304,6,30304,修罗披风,5000,15,12405,20,15,15402,20,15,130304,1,,,,,,,
30404,6,30404,奔雷服,5000,15,12405,20,15,15402,20,15,130404,1,,,,,,,
30504,6,30504,雷神护腕,5000,15,12408,20,15,15402,20,15,130504,1,,,,,,,
30604,6,30604,破霞腰带,5000,15,12402,20,15,15402,20,15,130604,1,,,,,,,
40104,6,40104,琉璃符,5000,15,13408,20,15,15402,20,15,140104,1,,,,,,,
40204,6,40204,天龙戒,5000,15,13405,20,15,15402,20,15,140204,1,,,,,,,
40304,6,40304,修罗链,5000,15,13405,20,15,15402,20,15,140304,1,,,,,,,
40404,6,40404,幻雷图,5000,15,13408,20,15,15402,20,15,140404,1,,,,,,,
40504,6,40504,雷神灵珠,5000,15,13402,20,15,15402,20,15,140504,1,,,,,,,
40604,6,40604,破霞宝镜,5000,15,13402,20,15,15402,20,15,140604,1,,,,,,,
20105,6,20105,金龙铳,5000,15,11503,30,15,15503,30,15,120105,1,,,,,,,
20205,6,20205,九幽剑,5000,15,11506,30,15,15503,30,15,120205,1,,,,,,,
20305,6,20305,麟火吞月刀,5000,15,11506,30,15,15503,30,15,120305,1,,,,,,,
20405,6,20405,上清玄辉杖,5000,15,11509,30,15,15503,30,15,120405,1,,,,,,,
20505,6,20505,摘星弓,5000,15,11509,30,15,15503,30,15,120505,1,,,,,,,
20605,6,20605,陨日龙骨鞭,5000,15,11503,30,15,15503,30,15,120605,1,,,,,,,
30105,6,30105,金龙鞋,5000,15,12503,30,15,15503,30,15,130105,1,,,,,,,
30205,6,30205,九幽冠,5000,15,12509,30,15,15503,30,15,130205,1,,,,,,,
30305,6,30305,麟火披风,5000,15,12506,30,15,15503,30,15,130305,1,,,,,,,
30405,6,30405,上清玄辉战袍,5000,15,12506,30,15,15503,30,15,130405,1,,,,,,,
30505,6,30505,摘星护腕,5000,15,12509,30,15,15503,30,15,130505,1,,,,,,,
30605,6,30605,陨日龙骨腰带,5000,15,12503,30,15,15503,30,15,130605,1,,,,,,,
40105,6,40105,金龙符,5000,15,13509,30,15,15503,30,15,140105,1,,,,,,,
40205,6,40205,九幽戒,5000,15,13506,30,15,15503,30,15,140205,1,,,,,,,
40305,6,40305,麟火链,5000,15,13506,30,15,15503,30,15,140305,1,,,,,,,
40405,6,40405,上清玄辉图,5000,15,13509,30,15,15503,30,15,140405,1,,,,,,,
40505,6,40505,摘星宝珠,5000,15,13503,30,15,15503,30,15,140505,1,,,,,,,
40605,6,40605,陨日龙骨镜,5000,15,13503,30,15,15503,30,15,140605,1,,,,,,,
10111,6,10111,紫云障,5000,15,14301,10,15,15301,10,,,,,,,,,,
10211,6,10211,雪魂珠,5000,15,14301,10,15,15301,10,,,,,,,,,,
10311,6,10311,金乌神障,5000,15,14301,10,15,15301,10,,,,,,,,,,
10411,6,10411,天火灵珠,5000,15,14301,10,15,15301,10,,,,,,,,,,
10511,6,10511,神木剑,5000,15,14301,10,15,15301,10,,,,,,,,,,
10611,6,10611,冰魄寒光剑,5000,15,14301,10,15,15301,10,,,,,,,,,,
10711,6,10711,修罗刀,5000,15,14301,10,15,15301,10,,,,,,,,,,
10811,6,10811,五火神雷,5000,15,14301,10,15,15301,10,,,,,,,,,,
10911,6,10911,玄女针,5000,15,14301,10,15,15301,10,,,,,,,,,,
11011,6,11011,天蝉灵叶,5000,15,14301,10,15,15301,10,,,,,,,,,,
11111,6,11111,天遁镜,5000,15,14301,10,15,15301,10,,,,,,,,,,
11211,6,11211,心灯,5000,15,14301,10,15,15301,10,,,,,,,,,,
11311,6,11311,天心环,5000,15,14301,10,15,15301,10,,,,,,,,,,
11411,6,11411,九疑鼎,5000,15,14301,10,15,15301,10,,,,,,,,,,
11511,6,11511,天蓝神砂,5000,15,14301,10,15,15301,10,,,,,,,,,,
11611,6,11611,神禹令,5000,15,14301,10,15,15301,10,,,,,,,,,,
10121,6,10121,紫云障,5000,15,14402,20,15,15402,20,15,110121,1,,,,,,,
10221,6,10221,雪魂珠,5000,15,14402,20,15,15402,20,15,110221,1,,,,,,,
10321,6,10321,金乌神障,5000,15,14402,20,15,15402,20,15,110321,1,,,,,,,
10421,6,10421,天火灵珠,5000,15,14402,20,15,15402,20,15,110421,1,,,,,,,
10521,6,10521,神木剑,5000,15,14402,20,15,15402,20,15,110521,1,,,,,,,
10621,6,10621,冰魄寒光剑,5000,15,14402,20,15,15402,20,15,110621,1,,,,,,,
10721,6,10721,修罗刀,5000,15,14402,20,15,15402,20,15,110721,1,,,,,,,
10821,6,10821,五火神雷,5000,15,14402,20,15,15402,20,15,110821,1,,,,,,,
10921,6,10921,玄女针,5000,15,14402,20,15,15402,20,15,110921,1,,,,,,,
11021,6,11021,天蝉灵叶,5000,15,14402,20,15,15402,20,15,111021,1,,,,,,,
11121,6,11121,天遁镜,5000,15,14402,20,15,15402,20,15,111121,1,,,,,,,
11221,6,11221,心灯,5000,15,14402,20,15,15402,20,15,111221,1,,,,,,,
11321,6,11321,天心环,5000,15,14402,20,15,15402,20,15,111321,1,,,,,,,
11421,6,11421,九疑鼎,5000,15,14402,20,15,15402,20,15,111421,1,,,,,,,
11521,6,11521,天蓝神砂,5000,15,14402,20,15,15402,20,15,111521,1,,,,,,,
11621,6,11621,神禹令,5000,15,14402,20,15,15402,20,15,111621,1,,,,,,,
10131,6,10131,紫云障,5000,15,14503,30,15,15503,30,15,110131,1,,,,,,,
10231,6,10231,雪魂珠,5000,15,14503,30,15,15503,30,15,110231,1,,,,,,,
10331,6,10331,金乌神障,5000,15,14503,30,15,15503,30,15,110331,1,,,,,,,
10431,6,10431,天火灵珠,5000,15,14503,30,15,15503,30,15,110431,1,,,,,,,
10531,6,10531,神木剑,5000,15,14503,30,15,15503,30,15,110531,1,,,,,,,
10631,6,10631,冰魄寒光剑,5000,15,14503,30,15,15503,30,15,110631,1,,,,,,,
10731,6,10731,修罗刀,5000,15,14503,30,15,15503,30,15,110731,1,,,,,,,
10831,6,10831,五火神雷,5000,15,14503,30,15,15503,30,15,110831,1,,,,,,,
10931,6,10931,玄女针,5000,15,14503,30,15,15503,30,15,110931,1,,,,,,,
11031,6,11031,天蝉灵叶,5000,15,14503,30,15,15503,30,15,111031,1,,,,,,,
11131,6,11131,天遁镜,5000,15,14503,30,15,15503,30,15,111131,1,,,,,,,
11231,6,11231,心灯,5000,15,14503,30,15,15503,30,15,111231,1,,,,,,,
11331,6,11331,天心环,5000,15,14503,30,15,15503,30,15,111331,1,,,,,,,
11431,6,11431,九疑鼎,5000,15,14503,30,15,15503,30,15,111431,1,,,,,,,
11531,6,11531,天蓝神砂,5000,15,14503,30,15,15503,30,15,111531,1,,,,,,,
11631,6,11631,神禹令,5000,15,14503,30,15,15503,30,15,111631,1,,,,,,,
