INDEX,NAME,TXT,DESCRIBE,PET_TYPE,FIRST_SHOW,RENDER_TYPE,CLASS,INFO,MODEL,POS_Y,ROTATION_Y,HEAD_ATLAS_NAME,HEAD_SPRITE_NAME,IS_TUJIAN_SHOW,SCALE,UI_SCALE,STAR_LEVEL,APTITUDE_LEVEL,ELEMENT_INDEX,MOVE_SPEED,LOOKBOUND,AI_TIME,SKILL_COOLDOWN,ATTACK_SKILL,BASE_ATTACK,ADD_ATTACK,BASE_BREAK_ATTACK,BREAK_ATTACK,BASE_HP,ADD_HP,BASE_BREAK_HP,BREAK_HP,BASE_MP,ADD_MP,BASE_BREAK_MP,BREAK_MP,BASE_PHYSICAL_DEFENCE,ADD_PHYSICAL_DEFENCE,BASE_BREAK_PHYSICAL_DEFENCE,BREAK_PHYSICAL_DEFENCE,BASE_MAGIC_DEFENCE,ADD_MAGIC_DEFENCE,BASE_BREAK_MAGIC_DEFENCE,BREAK_MAGIC_DEFENCE,HIT,DODGE,CRITICAL_STRIKE,CRITICAL_DERATE,ATTACK_DAMAGE,MITIGATIONG,PET_SKILL_1,PET_SKILL_2,PET_SKILL_3,PET_SKILL_4,SKILL_ACTIVE_LEVEL_1,SKILL_ACTIVE_LEVEL_2,SKILL_ACTIVE_LEVEL_3,SKILL_ACTIVE_LEVEL_4,SKILL_DESCRIPTOR,DROP_EXP,MODEL_2,MAXMANA,MATTACK_DAMAGE,SKILL,EFFECT,UI_EFFECT,SKILLPOINTS,MAX_LEVEL,MAX_LEVEL_BREAK,MAX_STRENGTH,EXP_MULRIPLE,EXP_ELEMENT_MULRIPLE,SUMMON_TIME,ACTIVE_TIME,PUNISH_TIME,LEVEL_BERAK_FLAG,ATTACK_TYPE,BASE_MAGIC_DEF,ADD_MAGIC_DEF,RELATE_ID_1,RELATE_ID_2,RELATE_ID_3,RELATE_ID_4,RELATE_ID_5,RELATE_ID_6,RELATE_ID_7,RELATE_ID_8,RELATE_ID_9,RELATE_ID_10,RELATE_ID_11,RELATE_ID_12,RELATE_ID_13,RELATE_ID_14,RELATE_ID_15,SELL_PRICE,AUTO_HP,AUTO_MP,CRITICAL_STRIKE_DAMAGE,CRITICAL_DAMAGE_DERATE,CHARM_DEF,FEAR_DEF,FREEZE_DEF,STUN_DEF,BEATBACK_DEF,KNOCKDOWN_DEF,GREEN_REDUCTION,RED_REDUCTION,BLUE_REDUCTION,SHADOW_REDUCTION,GOLD_REDUCTION,DROP_HP_MAX_NUM,DROP_HP,DROP_MP_MAX_NUM,DROP_MP,ATTACKSPEED,ATTACK_STATE_1,ATTACK_STATE_2,ATTACK_STATE_3,AFFECT_BUFFER_1,AFFECT_BUFFER_2,AFFECT_BUFFER_3,GROUP_ID,EVOLUTION_ID,EVOLUTION_GET,STORE_GET
30005,栖岸龟,栖岸龟,喜欢趴在水岸边装石头。,1,0,0,PET,1星水,11005,0,0,AvatarAtlas,icon_wugui_1_shui,0,0.9,0.9,1,6,1,5.58,11,0.05,1,400005,68,0,0,0,628,0,0,0,0,0,0,0,42,0,0,0,35,0,0,0,10000,100,100,0,0,0,101005,301005,301073,301072,0,0,3,4,0,1120,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,20000,25000,15000,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30006,清水灵狐,清水灵狐,沐水而生灵狐，心智未开，常藏匿于湖畔中。,0,0,0,PET,2星阳,11006,0,0,AvatarAtlas,icon_fox_2_yang,1,0.9,0.9,2,6,3,5.58,11,0.2,1,400006,65,0,0,0,972,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,10000,100,100,0,0,0,101006,301006,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,15000,10000,1027,0,0,0,62061,62068,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30007,攀树灵狐,攀树灵狐,伴树成长的灵狐，灵敏而胆小，是森林中最常见的灵兽。,1,0,0,PET,2星阴,11007,0,0,AvatarAtlas,icon_fox_2_yin,1,0.9,0.9,2,6,4,5.58,11,0.05,1,400006,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101007,301007,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,20000,25000,15000,1030,0,0,0,62071,62078,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30008,戏火小狐,戏火小狐,熔岩洞窟中的灵狐，以火为食。,2,0,0,PET,2星火,11008,0,30,AvatarAtlas,icon_fox_2_huo,1,0.9,0.9,2,6,0,6.3,11,0.05,0.95,400006,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101008,301008,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1049,0,0,0,62081,62088,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30009,涴沙浣熊,涴沙浣熊,溪边浣熊，藏于河沙中狩猎，爆发力很强。,1,0,0,PET,2星水,11009,0,0,AvatarAtlas,icon_civet_2_shui,1,0.8,0.8,2,6,1,5.58,11,0.05,1,400007,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101009,301009,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,20000,25000,15000,1030,0,0,0,62091,62098,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30010,柘木浣熊,柘木浣熊,附于大树树冠的浣熊，树下休息的时候需要注意，它们喜欢在树冠排便。,2,0,0,PET,2星火,11010,0,0,AvatarAtlas,icon_civet_2_huo,1,0.8,0.8,2,6,0,6.3,11,0.05,0.95,400007,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101010,301010,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1049,0,0,0,62101,62108,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30011,吐火浣熊,吐火浣熊,山地浣熊，利用山火御敌，是极为聪明的灵兽。,0,0,0,PET,2星木,11011,0,0,AvatarAtlas,icon_civet_2_mu,1,0.8,0.8,2,6,2,5.58,11,0.2,1,400007,65,0,0,0,729,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,10000,100,100,0,0,0,101011,301011,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,15000,10000,1025,0,0,0,62111,62118,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30012,灵镜鸟,灵镜鸟,以寒冰制作而成的机关鸟，在高温下会融化。,1,0,0,PET,2星水,11012,0,0,AvatarAtlas,icon_mechbird_2_shui,1,1,1,2,6,1,5.58,11,0.05,1,400008,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101012,301012,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,20000,25000,15000,1028,0,0,0,62121,62128,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30013,缠藤鸟,缠藤鸟,齿轮拼接的木偶鸟，需要经常上机油，不然会卡壳。,2,0,0,PET,2星木,11013,0,0,AvatarAtlas,icon_mechbird_2_mu,1,1,1,2,6,2,6.3,11,0.05,0.95,400008,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101013,301013,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1047,0,0,0,62131,62138,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30014,撒烬鸟,撒烬鸟,以赤碳制造的机关鸟，会发出噼噼啪啪的爆裂声。,1,0,0,PET,2星火,11014,0,30,AvatarAtlas,icon_mechbird_2_huo,1,1,1,2,6,0,5.58,11,0.05,1,400008,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101014,301014,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,20000,25000,15000,1028,0,0,0,62141,62148,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30015,水机人偶,水机人偶,冰晶制造的人形机偶，夏日好伴侣。,2,0,0,PET,2星水,11015,0,0,AvatarAtlas,icon_jiguan_2_shui,1,0.7,0.7,2,6,1,6.3,11,0.05,0.95,400009,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101015,301015,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1047,0,0,0,62151,62158,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30016,木机人偶,木机人偶,匹诺曹的远方兄弟，但他可长可短的似乎不是鼻子。,2,0,0,PET,2星木,11016,0,0,AvatarAtlas,icon_jiguan_2_mu,1,0.7,0.7,2,6,2,6.3,11,0.2,0.7,400009,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101016,301016,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1037,0,0,0,62161,62168,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30017,火机人偶,火机人偶,只可远观不可亵玩的火焰人偶，无论何时都被烈火包围。,0,0,0,PET,2星火,11017,0,0,AvatarAtlas,icon_jiguan_2_huo,1,0.7,0.7,2,6,0,5.9399999999999995,11,0.05,0.8,400009,65,0,0,0,972,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,10000,100,100,0,0,0,101017,301017,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,15000,15000,1039,0,0,0,62171,62178,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30018,江洋大盗,江洋大盗,河道作乱的人形花精，水性极佳，难以缉捕。,2,0,0,PET,3星水,11018,0,0,AvatarAtlas,icon_flower_3_shui,1,0.9,0.9,3,8,1,5.9399999999999995,11,0.05,1,400010,110,0,0,0,1289,0,0,0,0,0,0,0,54,0,0,0,51,0,0,0,10000,100,100,0,0,0,101018,301018,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1041,0,0,0,63181,63188,63189,0,0,0,0,0,0,0,0,0,0,0,0,1000002#3000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30019,采花大盗,采花大盗,纵情花丛的人形花精，无节操，闺阁少女的天敌。,1,0,0,PET,3星木,11019,0,0,AvatarAtlas,icon_flower_3_mu,1,0.9,0.9,3,8,2,5.58,11,0.05,1,400010,110,0,0,0,1289,0,0,0,0,0,0,0,54,0,0,0,51,0,0,0,10000,100,100,0,0,0,101019,301019,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,20000,25000,15000,1043,0,0,0,63191,63198,63199,0,0,0,0,0,0,0,0,0,0,0,0,1000002#3000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30020,纵火大盗,纵火大盗,为祸民宅的人形花精，喜欢四处放火，天干物燥时期更为活跃。,2,0,0,PET,3星火,11020,0,0,AvatarAtlas,icon_flower_3_huo,1,0.9,0.9,3,8,0,6.3,11,0.05,1,400010,110,0,0,0,1289,0,0,0,0,0,0,0,54,0,0,0,51,0,0,0,10000,100,100,0,0,0,101020,301020,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,10000,15000,1045,0,0,0,63201,63208,63209,0,0,0,0,0,0,0,0,0,0,0,0,1000002#3000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30021,炙热虎,炙热虎,赤红的皮毛犹如腾腾燃烧的火焰。,2,0,0,PET,2星火,11021,0,30,AvatarAtlas,icon_hu_2_huo,1,0.9,0.9,2,6,0,6.3,11,0.2,0.7,400011,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101021,301021,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1038,0,0,0,62211,62218,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30022,盘根虎,盘根虎,以盘根的老树做窝。,0,0,0,PET,2星木,11022,0,0,AvatarAtlas,icon_hu_2_mu,1,0.9,0.9,2,6,2,5.9399999999999995,11,0.05,0.8,400011,65,0,0,0,972,0,0,0,0,0,0,0,41,0,0,0,50,0,0,0,10000,100,100,0,0,0,101022,301022,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,15000,15000,1040,0,0,0,62221,62228,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30023,怒浪虎,怒浪虎,在激流中拍鱼而食。,2,0,0,PET,2星水,11023,0,0,AvatarAtlas,icon_hu_2_shui,1,0.9,0.9,2,6,1,5.9399999999999995,11,0.05,1,400011,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101023,301023,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1042,0,0,0,62231,62238,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30024,冲天虎,冲天虎,生于崖之巅，云之上，生性向往光。,1,0,0,PET,2星阳,11024,0,0,AvatarAtlas,icon_hu_2_yang,1,0.9,0.9,2,6,3,5.58,11,0.05,1,400011,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101024,301024,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,20000,25000,15000,1044,0,0,0,62241,62248,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30025,幽冥虎,幽冥虎,藏于黑暗里，匿于幽冥中，喜欢邪恶的味道。,2,0,0,PET,2星阴,11025,0,0,AvatarAtlas,icon_hu_2_yin,1,0.9,0.9,2,6,4,6.3,11,0.05,1,400011,83,0,0,0,729,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0,10000,100,100,0,0,0,101025,301025,301073,301072,0,0,3,4,0,1000,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,10000,15000,1046,0,0,0,62251,62258,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
