INDEX,DAY,PAGE,PAGENAME,TYPE,TASK_TIP,NUMBER,REWARD,PRICE,SERVER_LIMIT
74,4,3,天魔降临,26,在商城中购买降魔令10个,10,2000015#10,0,0
75,4,3,天魔降临,28,天魔最高伤害到达800000,800000,2000001#30,0,0
76,4,3,天魔降临,28,天魔最高伤害到达1000000,1000000,2000001#40,0,0
77,4,3,天魔降临,28,天魔最高伤害到达1500000,1500000,2000001#60,0,0
78,4,3,天魔降临,28,天魔最高伤害到达2500000,2500000,2000001#80,0,0
79,4,3,天魔降临,28,天魔最高伤害到达5000000,5000000,2000001#100,0,0
80,4,3,天魔降临,28,天魔最高伤害到达10000000,10000000,2000001#120,0,0
81,4,3,天魔降临,28,天魔最高伤害到达20000000,20000000,2000001#150,0,0
82,4,3,天魔降临,27,天魔每日累计战绩到达20000,20000,2000001#30,0,0
83,4,3,天魔降临,27,天魔每日累计战绩到达30000,30000,2000001#40,0,0
84,4,3,天魔降临,27,天魔每日累计战绩到达50000,50000,2000001#60,0,0
85,4,3,天魔降临,27,天魔每日累计战绩到达100000,100000,2000001#80,0,0
86,4,3,天魔降临,27,天魔每日累计战绩到达200000,200000,2000001#100,0,0
87,4,3,天魔降临,27,天魔每日累计战绩到达500000,500000,2000001#120,0,0
88,4,3,天魔降临,27,天魔每日累计战绩到达1000000,1000000,2000001#150,0,0
89,5,2,商店刷新,25,灵将商店刷新10次,10,2000018#5,0,0
90,5,2,商店刷新,25,灵将商店刷新20次,20,2000018#10,0,0
91,5,2,商店刷新,25,灵将商店刷新30次,30,2000018#15,0,0
92,5,2,商店刷新,25,灵将商店刷新40次,40,2000018#20,0,0
93,5,2,商店刷新,25,灵将商店刷新50次,50,2000018#25,0,0
94,5,2,商店刷新,25,灵将商店刷新80次,80,2000018#25,0,0
95,5,2,商店刷新,25,灵将商店刷新120次,120,2000018#25,0,0
96,5,3,商店购买,24,灵将商店中购买5次商品,5,1000004#100,0,0
97,5,3,商店购买,24,灵将商店中购买10次商品,10,1000004#200,0,0
98,5,3,商店购买,24,灵将商店中购买15次商品,15,1000004#300,0,0
99,5,3,商店购买,24,灵将商店中购买20次商品,20,1000004#400,0,0
100,5,3,商店购买,24,灵将商店中购买30次商品,30,1000004#500,0,0
101,5,3,商店购买,24,灵将商店中购买50次商品,50,1000004#500,0,0
102,6,2,神器精炼,15,全身8件神器精炼到1级,1,2000003#100|2000205#1,0,0
103,6,2,神器精炼,15,全身8件神器精炼到2级,2,2000003#200|2000205#2,0,0
104,6,2,神器精炼,15,全身8件神器精炼到3级,3,2000003#300|2000205#5,0,0
105,6,2,神器精炼,15,全身8件神器精炼到4级,4,2000003#400|2000205#6,0,0
106,6,2,神器精炼,18,穿戴神器中精炼最高等级到达3级,3,2000003#100|2000205#2,0,0
107,6,2,神器精炼,18,穿戴神器中精炼最高等级到达4级,4,2000003#200|2000205#4,0,0
108,6,3,封灵塔,9,封灵塔达到40星,40,2000204#1,0,0
109,6,3,封灵塔,9,封灵塔达到45星,45,2000204#2,0,0
110,6,3,封灵塔,9,封灵塔达到50星,50,2000204#2,0,0
111,6,3,封灵塔,9,封灵塔达到55星,55,2000204#2,0,0
112,6,3,封灵塔,9,封灵塔达到60星,60,2000204#3,0,0
113,6,3,封灵塔,9,封灵塔达到65星,65,2000204#5,0,0
114,6,3,封灵塔,9,封灵塔达到70星,70,2000204#8,0,0
115,7,2,等级突破,3,玩家等级35,35,1000001#200,0,0
116,7,2,等级突破,3,玩家等级39,39,1000001#200,0,0
117,7,2,等级突破,3,玩家等级42,42,1000001#300,0,0
118,7,2,等级突破,3,玩家等级45,45,1000001#300,0,0
119,7,2,等级突破,3,玩家等级48,48,1000001#500,0,0
120,7,2,等级突破,3,玩家等级50,50,1000001#1000,0,0
121,7,2,等级突破,3,玩家等级53,53,1000001#1000,0,0
122,7,2,等级突破,3,玩家等级55,55,1000001#1000,0,0
123,7,3,战力突破,14,玩家战力,30000,1000001#200,0,0
124,7,3,战力突破,14,玩家战力,50000,1000001#200,0,0
125,7,3,战力突破,14,玩家战力,80000,1000001#300,0,0
126,7,3,战力突破,14,玩家战力,100000,1000001#300,0,0
127,7,3,战力突破,14,玩家战力,150000,1000001#500,0,0
128,7,3,战力突破,14,玩家战力,200000,1000001#1000,0,0
129,7,3,战力突破,14,玩家战力,300000,1000001#1000,0,0
130,7,3,战力突破,14,玩家战力,500000,1000001#1000,0,0
131,1,4,半价抢购,0,0,0,2000218#1,1000001#1000|1000001#400,6000
132,2,4,半价抢购,0,0,0,2000205#10,1000001#1200|1000001#600,4500
133,3,4,半价抢购,0,0,0,2000007#100,1000001#2000|1000001#1000,3500
134,4,4,半价抢购,0,0,0,2000001#500,1000001#7500|1000001#2500,3000
135,5,4,半价抢购,0,0,0,1000004#1000,1000001#2000|1000001#1000,2500
136,6,4,半价抢购,0,0,0,2000003#1000,1000001#5000|1000001#2500,2000
137,7,4,半价抢购,0,0,0,1000002#5000000,1000001#5000|1000001#2500,1500
