INDEX,TYPE,DIFFICULTY,NAME,DESC,SCENE_NAME,ROLE_BIRTH_POINT,MODEL_COLOR,BACK_MUSIC,MUSIC_VOLUME,START_SOUND,WIN_SOUND,LOST_SOUND,BOSS_SOUND,START_X,START_Z,END_X,END_Z,MINIMAP_TEXTURE,MINIMAP_TEXTURE_W,MINIMAP_TEXTURE_H,STAGENUMBER,DROP_FRIST,DROPGROUPID,GROUP_PLOT,LOOT_PREVEIW,DROPMIN,DROPMAX,FRONT_INDEX,FRONT_INDEX_1,FRONT_INDEX_2,AFTER_INDEX_1,AFTER_INDEX_2,DIALOG,CHECK_TIME,CHECK_BATTLE,RENFERENCE_BATTLE,BOSS_ACTIVE_RATE,HEADICON,BOSS_MONEY,ADDSTAR_0,ADDSTAR_1,ADDSTAR_2,CHALLENGE_NUM,SWEEP_TIME,CAMERA_PATH,DRAMA_PARAM,STAGE_TIME,AWARD_TYPE_1,AWARD_1,AWARD_TYPE_2,AWARD_2,AWARD_TYPE_3,AWARD_3,KEEPLINE,MONSTER_MONEY,MONSTER_EXP,BOSS_EXP,MONSTER_COUNT,DIFFICULT,STATUS,OPENTIME,OPENDAY,OPENMONTH,STAGELIMIT,EVENT_OPEN_COST,EVENT_EXTRA_COST,STAGE_TYPE,DESC_MJ,PLAYER_EXP,EXP_TIME,NEED_BATTLE,DIFFICULTY_NUM,ROLE_BIRTH_DIRECTION
38001,1,0,新手起始战斗,这是新手装逼战斗,arena_6v6_1a,-12.5 -4 -6,60 130 190 160,0,0.7,0,Sound/new/GK_win,0,0,-55.4,-27.6,41.1,32.7,textures/minimap/arena_6v6_1a,1062,664,五行之战,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,3,1000,0,0
38002,1,0,新手教程,这是新手教程,newbeeguild_2,0,0 0 0 255,Sound/Stage/boss_stage_bgm,0.7,0,Sound/new/GK_win,0,0,-99.4,-56.2,85.1,53.8,textures/minimap/newbeeguild_2,944,563,1,0,98003,0,30001#1|30001#1,1,1,0,0,0,0,0,0,10,100,1000,2000,11101,0,0,0,0,99,1,0,0,0,0,102002,0,102012,0,102022,1,12,7,23,25,1,0,0,0,0,0,0,0,0,0,10,3,1000,0,0
20001,1,1,佑安镇外【1-1】,木境边界的一个小镇名为佑安，相传成出过一对十分厉害的封灵师夫妻。,loyalismwood_3,26.87 -2 6.33,0 0 0 255,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-80.3,-38.6,66,43.7,textures/minimap/loyalismwood_1,1136,639,1-1,2000012#1,98001,6092811,30001#1|30001#1,1,1,0,0,0,20002,0,0,1,100,660,2000,70004,0,0,2001,2002,99,1,0,replace_monster=1|assist_pet=30204#30205#30206#0|end_dialog=5000015#5000515|astrology_tip=集齐一百零八块星相石碎片，就能窥探五境本源秘密！|astrology_num=星相石碎片*1,0,0,0,0,0,0,0,1,5,6,50,25,1,0,0,0,0,0,0,0,1,0,15,3,660,0,-100
20002,1,1,追入树林【1-2】,镇外有座不大的树林，是镇民采木之所，不过近期妖魔作乱，已无人敢入。,loyalismwood_2,5 0 33,0 0 0 255,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/totie_boss_cute,-93.9,-46.2,79.6,51.3,textures/minimap/loyalismwood_2,1136,639,1-2,0,98002,6092811,30001#1|30001#1,1,1,20001,20001,0,20003,0,0,1,100,1410,2000,70006,0,0,2001,2002,99,1,0,,0,0,0,0,0,0,0,1,5,2,50,25,1,0,0,0,0,0,0,0,1,0,15,3,1410,0,0
20003,1,1,树林深处【1-3】,树林树林深处虽然有不少成年巨树，镇民却不敢深入树林。,loyalismwood_2,5 0 33,0 0 0 255,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/windmaster_boss_cute,-93.9,-46.2,79.6,51.3,textures/minimap/loyalismwood_2,1136,639,1-3,0,98003,6092811,30001#1|30001#1,1,1,20002,20002,0,20004,0,0,2,200,1420,2000,70010,0,0,2001,2002,99,1,0,begin_dialog=5000055#5000555,0,0,0,0,0,0,0,1,8,3,50,25,1,0,0,0,0,0,0,0,1,0,15,3,1420,0,0
20004,1,1,深处密林【1-4】,佑安镇外树林连接的密林，传说十分危险，极少有人进入。,loyalismwood_2,5 0 33,0 0 0 255,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/coatlord_boss_cute,-93.9,-46.2,79.6,51.3,textures/minimap/loyalismwood_2,1136,639,1-4,2000012#1,98004,6092811,30001#1|30001#1,5,5,20003,20003,0,20011,0,0,2,300,1840,2000,70014,0,0,2001,2002,99,1,0,replace_monster=1|assist_pet=30207#30208#30209#0|begin_dialog=5000068#5000568|end_dialog=5000074#5000574|astrology_tip=二人在[FF9900]橙色灵将[FFFFFF]的协助下终于封印了镇中妖魔，并获得了一枚[FF9900]星相石碎片[FFFFFF]！|astrology_num=星相石碎片*1,0,0,0,0,0,0,0,1,8,2,50,25,1,0,0,0,0,0,0,0,1,0,15,3,1840,0,0
20011,1,1,深谷入口【2-1】,在密林深处有一个深谷入口，谷内热气扑面，似乎十分炎热。,lava_core_1,56 0 1,255 0 0 200,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/zhubeixianzi_boss_cute,-114.2,-57.7,99.9,62.7,textures/minimap/lava_core_1,1136,639,2-1,,98011,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20004,20004,0,20012,0,40026,3,800,1850,2000,70036,0,0,2001,2002,99,1,0,begin_dialog=5003001|end_dialog=5003008,180,0,0,0,0,0,0,1,10,3,50,25,1,2,0,0,0,0,0,0,1,0,15,3,1850,0,0
20012,1,1,火岩深谷【2-2】,密林之中掩盖着一条幽深的火岩深谷，极少有镇民知道。,lava_core_3,70 5 28,255 0 0 200,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-121.6,-61.8,107.3,66.9,textures/minimap/lava_core_3,1136,639,2-2,,98012,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20011,20011,0,20013,0,0,3,800,1860,2000,70040,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,10,3,50,25,1,2,0,0,0,0,0,0,1,0,15,3,1860,0,0
20013,1,1,赤壁谷道【2-3】,深谷中两壁多为赤色火岩，隐隐有着阵阵灼热。,lava_core_2,-74 5 35,255 0 0 200,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/dongxueshou_boss_cute,-120.6,-61.3,106.4,66.3,textures/minimap/lava_core_2,854,480,2-3,,98013,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,4,4,20012,20012,0,20014,0,0,3,800,2110,2000,70042,0,0,2001,2002,99,1,0,begin_dialog=5003012,180,0,0,0,0,0,0,1,13,4,50,25,1,2,0,0,0,0,0,0,1,0,15,3,2110,0,0
20014,1,1,赤炎火谷【2-4】,沿着深谷深入到腹地，这里的热气更加浓烈，充满了硫磺之气。,lava_core_3,-4 0 -33,255 0 0 200,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/spider_boss_cute,-121.6,-61.8,107.3,66.9,textures/minimap/lava_core_3,1136,639,2-4,,98014,6092821|6092822|6092201|6092821|6092701|6092823|6092822|6092823|6092201|6092701,14001#1|2000002#1|30003#1|30002#1|30001#1,2,2,20013,20013,0,20015,0,0,3,800,2130,2000,70046,0,0,2001,2002,10,1,0,,180,0,0,0,0,0,0,1,13,3,50,25,1,2,0,0,0,0,0,0,1,0,15,3,2130,0,0
20015,1,1,谷内岩洞【2-5】,一个火岩之洞，即使站在洞外也能感到里面炽热的气息。,lava_core_2,-24 6.4 40,255 0 0 200,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/spider_boss_cute,-120.6,-61.3,106.4,66.3,textures/minimap/lava_core_2,854,480,2-5,2000012#1,98015,6092821|6092822|6092204|6092701|6092822|6092823|6092822|6092701|6092204|6092821,14301#1|2000002#1|30003#1|30002#1|30001#1,2,2,20014,20014,0,20021,0,40035,3,800,2140,2000,70048,0,0,2001,2002,10,1,0,replace_monster=1|assist_pet=30210#30211#30212#0|begin_dialog=5003017|end_dialog=5003024|astrology_tip=救世小队终于汇合，在封灵盟的援助下，二人封印了藏身火岩谷内的魔化妖物，获得了一枚[FF9900]星相石碎片[FFFFFF]！|astrology_num=星相石碎片*1,180,0,0,0,0,0,0,1,15,4,50,25,1,2,0,0,0,0,0,0,1,0,15,3,2140,0,0
20021,1,1,迷幻瀑布【3-1】,密林中的一处瀑布，相传会在阳光下产生数道彩虹。,Lonng_Water03,19,60 130 190 160,Sound/Stage/shadow_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/deerlord_boss_cute,-73.5,-34.8,59.2,39.9,textures/minimap/Lonng_Water03,1136,639,3-1,,98021,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20015,20015,0,20022,0,40067,3,1100,2160,2000,70066,0,0,2001,2002,99,1,0,begin_dialog=5003030,180,0,0,0,0,0,0,1,15,4,50,25,1,3,0,0,0,0,0,0,1,0,15,3,2160,0,0
20022,1,1,神秘深潭【3-2】,瀑布之下的水潭深不见底，镇中的百姓都不敢来此处取水捕鱼。,Lonng_Water02,31,0 0 0 255,Sound/Stage/red_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/evilsnake_boss_cute,-117,-59.2,102.7,64.3,textures/minimap/Lonng_Water02,1136,639,3-2,,98022,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20021,20021,0,20023,0,0,3,1100,2170,2000,70070,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,18,5,50,25,1,3,0,0,0,0,0,0,1,0,15,3,2170,0,0
20023,1,1,水底世界【3-3】,深潭之下是条秘密水道，似乎年代久远。,Lonng_Water03,19,60 130 190 160,Sound/Stage/shadow_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/mingjiezhanjiang_boss_cute,-73.5,-34.8,59.2,39.9,textures/minimap/Lonng_Water03,1136,639,3-3,,98023,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,4,4,20022,20022,0,20024,0,0,3,1100,2190,2000,70074,0,0,2001,2002,99,1,0,replace_monster=1|assist_pet=30213#30214#30215#0|begin_dialog=5003036|end_dialog=5003040,180,0,0,0,0,0,0,1,21,7,50,25,1,3,0,0,0,0,0,0,1,0,15,3,2190,0,0
20024,1,1,崎岖河道【3-4】,水道连接一条浅浅的河道，蜿蜒崎岖。,Lonng_Water01,16,0 0 0 255,Sound/Stage/red_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/duopo_boss_cute,-90,-44.1,75.7,49.1,textures/minimap/Lonng_Water01,1136,639,3-4,,98024,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20023,20023,0,20025,0,0,3,1100,2360,2000,70076,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,23,6,50,25,1,3,0,0,0,0,0,0,1,0,15,3,2360,0,0
20025,1,1,沼泽之地【3-5】,河道的尽头是片沼泽之地，水气弥漫，无法一眼看透。,Lonng_Water02,31,0 0 0 255,Sound/Stage/red_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/deerlord_boss_cute,-117,-59.2,102.7,64.3,textures/minimap/Lonng_Water02,1136,639,3-5,,98025,6092821|6092822|6092203|6092701|6092822|6092823|6092701|6092823|6092203|6092821,14201#1|2000002#1|30003#1|30002#1|30001#1,2,2,20024,20024,0,20026,0,40072,3,1100,3330,2000,70080,0,0,2001,2002,10,1,0,,180,0,0,0,0,0,0,1,28,7,50,25,1,3,0,0,0,0,0,0,1,0,15,3,3330,0,0
20026,1,1,潭底洞府【3-6】,沼泽中心是个小小的水潭，而水潭之下是个粗糙的洞府，似乎是很久之前建造的。现在却成了妖魔的藏身之处。,Lonng_Water01,16,0 0 0 255,Sound/Stage/shadow_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-90,-44.1,75.7,49.1,textures/minimap/Lonng_Water01,1136,639,3-6,2000012#1,98026,6092821|6092822|6092202|6092821|6092701|6092823|6092822|6092701|6092202|6092821,14101#1|2000002#1|30003#1|30002#1|30001#1,4,4,20025,20025,0,20031,0,40080,3,1200,3740,2000,70082,0,0,2001,2002,10,1,0,begin_dialog=5003045|end_dialog=5003049|astrology_tip=首次依靠自身力量，封印了魔化妖物，得到其体内的[FF9900]星相石碎片[FFFFFF]一枚！|astrology_num=星相石碎片*1,180,0,0,0,0,0,0,1,15,4,50,25,1,0,0,0,0,0,0,0,1,0,15,3,3740,0,0
20031,1,1,古镇夜色【4-1】,深夜下的佑安镇冷清安静。,thebot_door03,-22 0 -12,60 130 190 160,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-142.2,-73.4,127.9,78.5,textures/minimap/thebot_door03,1136,639,4-1,,98031,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20026,20026,0,20032,0,40097,3,1400,3820,2000,70096,0,0,2001,2002,99,1,0,begin_dialog=5003054,180,0,0,0,0,0,0,1,15,5,50,25,1,1,0,0,0,0,0,0,1,0,15,3,3820,0,0
20032,1,1,月下民居【4-2】,镇中百姓日出而作日落而息，月下民居一片黑暗。,thebot_door02,-2 5 -38,60 130 190 160,Sound/Stage/red_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/deerlord_boss_cute,-129.2,-66.1,114.9,71.2,textures/minimap/thebot_door02,1136,639,4-2,,98032,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20031,20031,0,20033,0,0,3,1400,3830,2000,70100,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,18,4,50,25,1,1,0,0,0,0,0,0,1,0,15,3,3830,0,0
20033,1,1,空旷街道【4-3】,街道上空无一人，一眼望去很难藏身。,thebot_door03,-13 0 53,60 130 190 160,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/guainia_boss_cute,-142.2,-73.4,127.9,78.5,textures/minimap/thebot_door03,1136,639,4-3,,98033,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,4,4,20032,20032,0,20034,0,0,3,1500,3840,2000,70104,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,21,5,50,25,1,1,0,0,0,0,0,0,1,0,15,3,3840,0,0
20034,1,1,青石路口【4-4】,镇中最大的一个路口，平日是集市之地，夜间就成了妖魔的乐土。,thebot_door03,-13 0 53,60 130 190 160,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-142.2,-73.4,127.9,78.5,textures/minimap/thebot_door03,1136,639,4-4,,98034,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20033,20033,0,20035,0,0,3,1500,3850,2000,70106,0,0,2001,2002,99,1,0,begin_dialog=5003058,180,0,0,0,0,0,0,1,23,5,50,25,1,1,0,0,0,0,0,0,1,0,15,3,3850,0,0
20035,1,1,镇中建筑【4-5】,佑安镇历史悠久，有不少古建筑都被保留下来。,thebot_door02,50 0 34,60 130 190 160,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/tigerlord_boss_cute,-129.2,-66.1,114.9,71.2,textures/minimap/thebot_door02,1136,639,4-5,,98035,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,2,2,20034,20034,0,20036,0,40101,3,1500,4430,2000,70108,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,28,7,50,25,1,1,0,0,0,0,0,0,1,0,15,3,4430,0,0
20036,1,1,古旧城楼【4-6】,城楼历经风雨，显得十分古旧，但是依然结实。,thebot_door01,-78 0 -28,60 130 190 160,Sound/Stage/light_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/flower_boss_cute,-109.7,-55.2,95.4,60.2,textures/minimap/thebot_door01,1136,639,4-6,,98036,6092821|6092822|6092823|6092821|6092822|6092823|6092822|6092823|6092821|6092821,30003#1|30002#1|30001#1,4,4,20035,20035,0,20037,0,40113,3,1600,4530,2000,70112,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,15,4,50,25,1,2,0,0,0,0,0,0,1,0,15,3,4530,0,0
20037,1,1,城门以外【4-7】,城门外不远便是树林，一条官道绕林消失在视线中。,thebot_door02,-44 0 -22,60 130 190 160,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/deerlord_boss_cute,-129.2,-66.1,114.9,71.2,textures/minimap/thebot_door02,1136,639,4-7,,98037,6092841|6092831|6092301|6092843|6092851|6092841|6092851|6092301|6092843|6092831|6092842|6092843|6092831|6092851|6092301|6092841|6092851|6092842|6092701|6092831,16002#1|2000002#1|30003#1|30002#1|30001#1,2,2,20036,20036,0,20038,0,0,3,1600,4710,2000,70116,0,0,2001,2002,10,1,0,,180,0,0,0,0,0,0,1,18,5,50,25,1,2,0,0,0,0,0,0,1,0,15,3,4710,0,0
20038,1,1,护城之河【4-8】,在城门之外是护城河，但是已经久无战火，河水干涸。,thebot_door01,-78 0 -28,60 130 190 160,Sound/Stage/light_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-109.7,-55.2,95.4,60.2,textures/minimap/thebot_door01,1136,639,4-8,2000012#1,98038,6092841|6092831|6092842|6092304|6092851|6092841|6092304|6092842|6092843|6092831|6092842|6092304|6092831|6092851|6092841|6092841|6092831|6092701|6092843|6092851,16302#1|2000002#1|30003#1|30002#1|30001#1,2,2,20037,20037,0,20041,0,0,3,1600,5560,2000,70118,0,0,2001,2002,10,1,0,begin_dialog=5003062|end_dialog=5003066|astrology_tip=干涸许久的护城河居然藏了一只妖物，众人灭了此獠后，顺利的拿到一枚[FF9900]星相石碎片[FFFFFF]！|astrology_num=星相石碎片*1,180,0,0,0,0,0,0,1,21,6,50,25,1,2,0,0,0,0,0,0,1,0,15,3,5560,0,0
20041,1,1,山野之林【5-1】,佑安镇前往青松镇的山路上郁郁葱葱都是参天之木。,loyalismwood_2,-15 -2 -3,0 0 0 255,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-93.9,-46.2,79.6,51.3,textures/minimap/loyalismwood_2,1136,639,5-1,,98041,6092831|6092823|6092833|6092832|6092841|6092831|6092823|6092832|6092832|6092841,30005#1|30004#1|30003#1|30002#1|30001#1,2,2,20038,20038,0,20042,0,40125,3,1600,5550,2000,70126,0,0,2001,2002,99,1,0,begin_dialog=5003071,180,0,0,0,0,0,0,1,23,7,50,25,1,4,0,0,0,0,0,0,1,0,15,3,5550,0,0
20042,1,1,盘山小道【5-2】,山路蜿蜒，在高山上犹如盘山之道。,loyalismwood_3,-61 0 -10,60 130 190 160,Sound/Stage/green_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/monkey_boss_cute,-92.2,-50.7,78,55.8,textures/minimap/loyalismwood_3,854,480,5-2,,98042,6092831|6092823|6092833|6092832|6092841|6092831|6092823|6092832|6092832|6092841,30005#1|30004#1|30003#1|30002#1|30001#1,2,2,20041,20041,0,20043,0,0,3,1700,5560,2000,70130,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,26,8,50,25,1,4,0,0,0,0,0,0,1,0,15,3,5560,0,0
20043,1,1,鞍山之北【5-3】,两镇之中最高的山被称为鞍山。相传此乃上古大神手臂所化，高耸入云。,loyalismwood_3,-61 0 -10,60 130 190 160,Sound/Stage/blue_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,Sound/dub/tianyi_boss_cute,-92.2,-50.7,78,55.8,textures/minimap/loyalismwood_3,854,480,5-3,,98043,6092833|6092701|6092832|6092831|6092044,40044#1|2000002#1|30005#1|30004#1|30003#1|30002#1|30001#1,4,4,20042,20042,0,20044,0,0,3,1700,5570,2000,70132,0,0,2001,2002,99,1,0,,180,0,0,0,0,0,0,1,28,8,50,25,1,4,0,0,0,0,0,0,1,0,15,3,5570,0,0
