INDEX,NAME,CLASS,INFO,MODEL,RENDER_TYPE,HEAD_ATLAS_NAME,HEAD_SPRITE_NAME,ELEMENT_INDEX,STAR_LEVEL,SCALE,UI_SCALE,MOVE_SPEED,LOOKBOUND,AI_TIME,SKILL_COOLDOWN,ATTACK_SKILL,BASE_ATTACK,BASE_HP,PHYSICAL_DEFENCE,MAGIC_DEFENCE,HIT,DODGE,ATTACKSPEED,CRITICAL_STRIKE,CHARM_DEF,FEAR_DEF,FREEZE_DEF,STUN_DEF,BEATBACK_DEF,KNOCKDOWN_DEF,HIT_RATE,MITIGATIONG,DROP_HP_MAX_NUM,DROP_HP,DROP_MP_MAX_NUM,DROP_MP,PET_SKILL_1,PET_SKILL_2,PET_SKILL_3,PET_SKILL_4,EFFECT,GREEN_REDUCTION,RED_REDUCTION,BLUE_REDUCTION,SHADOW_REDUCTION,GOLD_REDUCTION,DEFENCE_CRITICAL_STRIKE,CRITICAL_STRIKE_DAMAGE,CRITICAL_DAMAGE_DERATE,AUTO_HP,AUTO_MP,ATTACK_STATE_1,ATTACK_STATE_2,ATTACK_STATE_3,AFFECT_BUFFER_1,AFFECT_BUFFER_2,AFFECT_BUFFER_3,BELOW_HP_RATE,HP_SKILL,SKILL,PET_CD_1,PET_CD_2,PET_CD_3,PET_CD_4,FULING_ID
74010,滚木龟,MONSTER,2星木,11034,0,AvatarAtlas,icon_wugui_2_mu,3,2,0.9,0.9,4.680000000000001,13,0.2,0.9,400005,329542,425941,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,192,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30034
74011,缠藤鸟,MONSTER,2星木,11013,0,AvatarAtlas,icon_mechbird_2_mu,2,2,1,1,6.3,15,0.05,0.95,400008,219697,1892920,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,131,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30013
74012,爆木符人,MONSTER,3星木,11060,0,AvatarAtlas,icon_uncontrolmech_3_mu,2,3,0.8,0.8,4.680000000000001,13,0.2,1,400024,219697,1892925,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,131,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30060
74013,藏树狐妖,MONSTER,3星木,11055,0,AvatarAtlas,icon_evilfox_3_mu,2,3,0.9,0.9,5.9399999999999995,15,0.05,1,400023,329544,425956,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,194,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30055
74014,藏树狐妖,MONSTER,3星木,11055,0,AvatarAtlas,icon_evilfox_3_mu,2,3,0.9,0.9,5.9399999999999995,15,0.05,1,400023,362497,532435,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,242,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30055
74015,承旭猿,BOSS,3星木,11048,0,AvatarAtlas,icon_monkey_3_mu,2,3,1.4,0.9,5.4,13,0.2,0.8,400020,486990,9464418,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,211,1,76,109048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30048
74016,承旭猿,MONSTER,3星木,11048,0,AvatarAtlas,icon_monkey_3_mu,2,3,0.9,0.9,5.4,13,0.2,0.8,400020,329545,425971,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,200,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30048
74017,密林熊哥,MONSTER,2星木,11040,0,AvatarAtlas,icon_panda_2_mu,2,2,0.9,1,5.58,13,0.05,1,400016,329546,425976,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,201,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30040
74018,青叶雀,MONSTER,2星木,11037,0,AvatarAtlas,icon_maque_2_mu,2,2,0.6,0.6,5.04,15,0.2,1.5,400013,311238,1183129,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,185,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30037
74019,诸乘射手,MONSTER,4星木,11092,0,AvatarAtlas,icon_huaqingting_4_mu,2,4,0.9,0.9,5.04,15,0.2,0.8,400070,342362,1478894,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,230,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30092
74020,神木大圣,BOSS,4星木,11086,0,AvatarAtlas,icon_sunwukong_5_mu,2,5,1.4,1.1,6.3,13,0.05,1,400056,486992,9464443,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,218,1,76,109086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30095
74021,黑寡妇,MONSTER,3星木,11072,0,AvatarAtlas,icon_spider_3_mu,2,3,0.9,0.9,5.9399999999999995,15,0.05,1,400029,329548,425996,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,208,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30072
74022,纵火大盗,MONSTER,3星火,11020,0,AvatarAtlas,icon_flower_3_huo,0,3,0.9,0.9,6.3,13,0.05,1,400010,311240,1183149,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,205,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30020
74023,烈烈雀,MONSTER,2星火,11038,0,AvatarAtlas,icon_maque_2_huo,0,2,0.6,0.6,5.9399999999999995,15,0.05,0.8,400013,311241,1183154,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,206,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30038
74024,光明闪蝶,MONSTER,3星火,11051,0,AvatarAtlas,icon_butterfly_3_huo,0,3,0.8,0.8,6.3,15,0.05,1.3,400021,311241,1183159,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,206,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30051
74025,揽月猿,MONSTER,3星火,11046,0,AvatarAtlas,icon_monkey_3_huo,0,3,0.9,0.9,6.3,13,0.05,1.3,400020,311242,1183164,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,207,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30046
74026,惹火狐妖,MONSTER,3星火,11056,0,AvatarAtlas,icon_evilfox_3_huo,0,3,0.9,0.9,6.3,15,0.05,0.9,400023,311242,1183169,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,207,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30056
74027,独孤求败,MONSTER,4星火,11077,0,AvatarAtlas,icon_jianke_4_huo,0,4,0.9,0.9,5.4,15,0.2,1,400037,362504,532500,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,279,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30077
74028,虎力大仙,BOSS,4星火,11079,0,AvatarAtlas,icon_tigerlord_4_huo,0,4,1.4,1,4.680000000000001,13,0.2,1,400041,486996,9464483,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,243,1,51,109079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30079
74029,火机人偶,MONSTER,2星火,11017,0,AvatarAtlas,icon_jiguan_2_huo,0,2,0.7,0.7,5.9399999999999995,15,0.05,0.8,400009,311244,1183184,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,222,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30017
74030,烈碳符人,MONSTER,3星火,11061,0,AvatarAtlas,icon_uncontrolmech_3_huo,0,3,0.8,0.8,6.3,13,0.05,0.9,400024,342367,1478949,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,274,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30061
74031,霞光朱雀,BOSS,5星火,11115,0,AvatarAtlas,icon_redbird_5_yang,0,5,1.4,0.7,6.3,15,0.05,1,400109,486998,9464498,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,261,1,51,109115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30115
74032,烈碳符人,MONSTER,3星火,11061,0,AvatarAtlas,icon_uncontrolmech_3_huo,0,3,0.8,0.8,6.3,13,0.05,0.9,400024,311245,1183199,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,236,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30061
74033,惹火狐妖,MONSTER,3星火,11056,0,AvatarAtlas,icon_evilfox_3_huo,0,3,0.9,0.9,6.3,15,0.05,0.9,400023,311246,1183204,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,237,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30056
74034,姬鬼狼蛛,MONSTER,3星火,11073,0,AvatarAtlas,icon_spider_3_huo,0,3,0.9,0.9,4.680000000000001,15,0.2,0.8,400029,219708,1893035,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,177,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30073
74035,星火符妖,MONSTER,2星火,11028,0,AvatarAtlas,icon_runeimp_2_huo,0,2,0.6,0.6,5.9399999999999995,13,0.05,0.7,400003,311247,1183214,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,238,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30028
74036,柘木浣熊,MONSTER,2星火,11010,0,AvatarAtlas,icon_civet_2_huo,0,2,0.8,0.8,6.3,15,0.05,0.95,400007,311247,1183219,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,238,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30010
74037,撒烬鸟,MONSTER,2星火,11014,0,AvatarAtlas,icon_mechbird_2_huo,0,2,1,1,5.58,15,0.05,1,400008,311248,1183224,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,239,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30014
74038,揽月猿,MONSTER,3星火,11046,0,AvatarAtlas,icon_monkey_3_huo,0,3,0.9,0.9,6.3,13,0.05,1.3,400020,342371,1478989,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,294,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30046
74039,惹火狐妖,BOSS,3星火,11056,0,AvatarAtlas,icon_evilfox_3_huo,0,3,1.4,0.9,6.3,15,0.05,0.9,400023,487002,9464538,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,280,1,51,109056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30056
74040,戏火小狐,MONSTER,2星火,11008,0,AvatarAtlas,icon_fox_2_huo,0,2,0.9,0.9,6.3,15,0.05,0.95,400006,219711,1893065,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,189,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30008
74041,光明闪蝶,MONSTER,3星火,11051,0,AvatarAtlas,icon_butterfly_3_huo,0,3,0.8,0.8,6.3,15,0.05,1.3,400021,342373,1479004,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,312,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30051
74042,纵火大盗,BOSS,3星火,11020,0,AvatarAtlas,icon_flower_3_huo,0,3,1.4,0.9,6.3,13,0.05,1,400010,487003,9464553,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,296,1,51,109053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30020
74043,纵火大盗,MONSTER,3星火,11020,0,AvatarAtlas,icon_flower_3_huo,0,3,0.9,0.9,6.3,13,0.05,1,400010,311251,1183254,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,368,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30020
74044,火机人偶,MONSTER,2星火,11017,0,AvatarAtlas,icon_jiguan_2_huo,0,2,0.7,0.7,5.9399999999999995,15,0.05,0.8,400009,311251,1183259,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,368,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30017
74045,烈烈雀,MONSTER,2星火,11038,0,AvatarAtlas,icon_maque_2_huo,0,2,0.6,0.6,5.9399999999999995,15,0.05,0.8,400013,311252,1183264,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,369,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30038
74046,狂炎木,MONSTER,3星火,11066,0,AvatarAtlas,icon_treeman_3_huo,0,3,0.9,0.9,5.58,13,0.2,1,400026,311252,1183269,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,369,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30066
74047,惹火狐妖,MONSTER,3星火,11056,0,AvatarAtlas,icon_evilfox_3_huo,0,3,0.9,0.9,6.3,15,0.05,0.9,400023,311253,1183274,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,370,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30056
74048,姬鬼狼蛛,MONSTER,3星火,11073,0,AvatarAtlas,icon_spider_3_huo,0,3,0.9,0.9,4.680000000000001,15,0.2,0.8,400029,219715,1893105,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,275,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30073
74049,姬鬼狼蛛,MONSTER,3星火,11073,0,AvatarAtlas,icon_spider_3_huo,0,3,0.9,0.9,4.680000000000001,15,0.2,0.8,400029,241685,2366327,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,339,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30073
74050,神火兽,BOSS,5星火,11108,0,AvatarAtlas,icon_shenhuoshou_5_huo,0,5,1.4,0.9,5.9399999999999995,13,0.05,0.7,400096,487007,9464593,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,434,1,51,109108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30108
74051,溪涧熊哥,MONSTER,2星水,11039,0,AvatarAtlas,icon_panda_2_shui,1,2,0.9,1,5.9399999999999995,13,0.05,1,400016,219717,1893120,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,277,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30039
74052,碧波蝶,MONSTER,3星水,11049,0,AvatarAtlas,icon_butterfly_3_shui,1,3,0.8,0.8,4.680000000000001,15,0.2,1,400021,311255,1183299,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,372,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30049
74053,栖岸龟,MONSTER,1星水,11005,0,AvatarAtlas,icon_wugui_1_shui,1,1,0.9,0.9,5.58,13,0.05,1,400005,219718,1893130,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,278,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30005
74054,涴沙浣熊,MONSTER,2星水,11009,0,AvatarAtlas,icon_civet_2_shui,1,2,0.8,0.8,5.58,15,0.05,1,400007,311256,1183309,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,373,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30009
74055,浴雨狐妖,MONSTER,3星水,11054,0,AvatarAtlas,icon_evilfox_3_shui,1,3,0.9,0.9,4.680000000000001,15,0.2,1,400023,362518,532640,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,500,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30054
74056,攀枝猿,BOSS,3星水,11047,0,AvatarAtlas,icon_monkey_3_shui,1,3,1.4,0.9,6.3,13,0.05,1,400020,487010,9464623,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,437,1,126,109047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30047
74057,怒浪虎,MONSTER,2星水,11023,0,AvatarAtlas,icon_hu_2_shui,1,2,0.9,0.9,5.9399999999999995,13,0.05,1,400011,329566,426176,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,432,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30023
74058,水机人偶,MONSTER,2星水,11015,0,AvatarAtlas,icon_jiguan_2_shui,1,2,0.7,0.7,6.3,15,0.05,0.95,400009,311258,1183329,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,399,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30015
74059,沸水符人,MONSTER,3星水,11059,0,AvatarAtlas,icon_uncontrolmech_3_shui,1,3,0.8,0.8,5.4,13,0.2,0.8,400024,219721,1893160,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,299,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30059
74060,冰凌元帅,MONSTER,5星水,11075,0,AvatarAtlas,icon_binglingyuanshuai_5_yin,1,5,1.1,1.1,6.3,13,0.05,1,400033,241690,2366382,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,366,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30075
74061,游云青龙,BOSS,5星水,11116,0,AvatarAtlas,icon_bluedragon_5_shui,1,5,1.4,0.9,5.58,15,0.05,1,400110,487013,9464648,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,468,1,51,109116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30116
74062,净水符妖,MONSTER,2星水,11029,0,AvatarAtlas,icon_runeimp_2_shui,1,2,0.6,0.6,5.04,13,0.2,1.5,400003,219722,1893175,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,317,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30029
74063,水机人偶,MONSTER,2星水,11015,0,AvatarAtlas,icon_jiguan_2_shui,1,2,0.7,0.7,6.3,15,0.05,0.95,400009,311261,1183354,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,426,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30015
74064,波波雀,MONSTER,2星水,11036,0,AvatarAtlas,icon_maque_2_shui,1,2,0.6,0.6,5.9399999999999995,15,0.05,0.7,400013,311261,1183359,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,426,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30036
74065,沸水符人,MONSTER,3星水,11059,0,AvatarAtlas,icon_uncontrolmech_3_shui,1,3,0.8,0.8,5.4,13,0.2,0.8,400024,241693,2366407,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,391,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30059
74066,珠贝仙子,BOSS,5星水,11094,0,AvatarAtlas,icon_zhubeixianzi_5_shui,1,5,1.4,1.3,5.9399999999999995,15,0.05,0.7,400072,487015,9464673,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,499,1,51,109094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30094
74067,溪涧熊哥,MONSTER,2星水,11039,0,AvatarAtlas,icon_panda_2_shui,1,2,0.9,1,5.9399999999999995,13,0.05,1,400016,219725,1893200,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,328,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30039
74068,浴雨狐妖,MONSTER,3星水,11054,0,AvatarAtlas,icon_evilfox_3_shui,1,3,0.9,0.9,4.680000000000001,15,0.2,1,400023,329571,426231,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,476,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30054
74069,碧波蝶,MONSTER,3星水,11049,0,AvatarAtlas,icon_butterfly_3_shui,1,3,0.8,0.8,4.680000000000001,15,0.2,1,400021,311264,1183384,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,1,440,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30049
