INT,STRING,STRING,STRING,STRING,INT,INT,INT,INT
210431,Ìì»ğÁéá¦5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_08,Í¼Ö½ËéÆ¬,210431,5000,110431,20
210531,ÉñÄ¾Ëş5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_10,Í¼Ö½ËéÆ¬,210531,5000,110531,20
210631,±ùÆÇº®¹â¾í5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_12,Í¼Ö½ËéÆ¬,210631,5000,110631,20
210731,ĞŞÂŞÅÌ5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_14,Í¼Ö½ËéÆ¬,210731,5000,110731,20
210831,Îå»ğÉñÀ×É¡5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_16,Í¼Ö½ËéÆ¬,210831,5000,110831,20
210931,ĞşÅ®ÇÙ5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_18,Í¼Ö½ËéÆ¬,210931,5000,110931,20
211031,Ìì²õÁéÒ¶5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_20,Í¼Ö½ËéÆ¬,211031,5000,111031,20
211131,Ìì¶İËó5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_22,Í¼Ö½ËéÆ¬,211131,5000,111131,20
211231,ĞÄµÆ5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_24,Í¼Ö½ËéÆ¬,211231,5000,111231,20
211331,ÌìĞÄé×5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_26,Í¼Ö½ËéÆ¬,211331,5000,111331,20
211431,¾ÅÒÉ¶¦5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_28,Í¼Ö½ËéÆ¬,211431,5000,111431,20
211531,ÌìÀ¶ÉñÉ°5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_30,Í¼Ö½ËéÆ¬,211531,5000,111531,20
211631,ÉñÓíÓ¡5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_32,Í¼Ö½ËéÆ¬,211631,5000,111631,20
220104,ÁğÁ§ï¥Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_01,Í¼Ö½ËéÆ¬,220104,5000,120104,20
220204,ÌìÁú½£Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_03,Í¼Ö½ËéÆ¬,220204,5000,120204,20
220304,ĞŞÂŞµ¶Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_05,Í¼Ö½ËéÆ¬,220304,5000,120304,20
220404,²øÀ×ÕÈÍ¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_07,Í¼Ö½ËéÆ¬,220404,5000,120404,20
220504,À×Éñ¹­Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_09,Í¼Ö½ËéÆ¬,220504,5000,120504,20
220604,ÆÆÏ¼±ŞÍ¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_11,Í¼Ö½ËéÆ¬,220604,5000,120604,20
230104,ÁğÁ§Ñ¥Í¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_01,Í¼Ö½ËéÆ¬,230104,5000,130104,20
230204,ÌìÁú¹ÚÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_03,Í¼Ö½ËéÆ¬,230204,5000,130204,20
230304,ĞŞÂŞÅû·çÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_05,Í¼Ö½ËéÆ¬,230304,5000,130304,20
230404,±¼À×·şÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_07,Í¼Ö½ËéÆ¬,230404,5000,130404,20
230504,À×Éñ»¤ÍóÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_09,Í¼Ö½ËéÆ¬,230504,5000,130504,20
230604,ÆÆÏ¼Ñü´øÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_11,Í¼Ö½ËéÆ¬,230604,5000,130604,20
240104,ÁğÁ§·ûÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_01,Í¼Ö½ËéÆ¬,240104,5000,140104,20
240204,ÌìÁú½äÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_03,Í¼Ö½ËéÆ¬,240204,5000,140204,20
240304,ĞŞÂŞÁ´Í¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_05,Í¼Ö½ËéÆ¬,240304,5000,140304,20
240404,»ÃÀ×Í¼Í¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_07,Í¼Ö½ËéÆ¬,240404,5000,140404,20
240504,À×ÉñÁéÖéÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_09,Í¼Ö½ËéÆ¬,240504,5000,140504,20
240604,ÆÆÏ¼±¦¾µÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_11,Í¼Ö½ËéÆ¬,240604,5000,140604,20
220105,½ğÁúï¥Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_02,Í¼Ö½ËéÆ¬,220105,5000,120105,20
220205,¾ÅÓÄ½£Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_04,Í¼Ö½ËéÆ¬,220205,5000,120205,20
220305,÷ë»ğÍÌÔÂµ¶Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_06,Í¼Ö½ËéÆ¬,220305,5000,120305,20
220405,ÉÏÇåĞş»ÔÕÈÍ¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_08,Í¼Ö½ËéÆ¬,220405,5000,120405,20
220505,ÕªĞÇ¹­Í¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_10,Í¼Ö½ËéÆ¬,220505,5000,120505,20
220605,ÔÉÈÕÁú¹Ç±ŞÍ¼Æ×ËéÆ¬,MaterialAtlas,material_wqtzsp_12,Í¼Ö½ËéÆ¬,220605,5000,120605,20
230105,½ğÁúĞ¬Í¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_02,Í¼Ö½ËéÆ¬,230105,5000,130105,20
230205,¾ÅÓÄ¹ÚÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_04,Í¼Ö½ËéÆ¬,230205,5000,130205,20
230305,÷ë»ğÅû·çÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_06,Í¼Ö½ËéÆ¬,230305,5000,130305,20
230405,ÉÏÇåĞş»ÔÕ½ÅÛÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_08,Í¼Ö½ËéÆ¬,230405,5000,130405,20
230505,ÕªĞÇ»¤ÍóÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_10,Í¼Ö½ËéÆ¬,230505,5000,130505,20
230605,ÔÉÈÕÁú¹ÇÑü´øÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fjtzsp_12,Í¼Ö½ËéÆ¬,230605,5000,130605,20
240105,½ğÁú·ûÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_02,Í¼Ö½ËéÆ¬,240105,5000,140105,20
240205,¾ÅÓÄ½äÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_04,Í¼Ö½ËéÆ¬,240205,5000,140205,20
240305,÷ë»ğÁ´Í¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_06,Í¼Ö½ËéÆ¬,240305,5000,140305,20
240405,ÉÏÇåĞş»ÔÍ¼Í¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_08,Í¼Ö½ËéÆ¬,240405,5000,140405,20
240505,ÕªĞÇ±¦ÖéÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_10,Í¼Ö½ËéÆ¬,240505,5000,140505,20
240605,ÔÉÈÕÁú¹Ç¾µÍ¼Æ×ËéÆ¬,MaterialAtlas,material_sptzsp_12,Í¼Ö½ËéÆ¬,240605,5000,140605,20
