INDEX,AWARD_TYPE,AWARD_ID,AWARD_NUM,FEAT_NEED,DAMAGE_RANK_MIN,DAMAGE_RANK_MAX,FEAT_RANK_MIN,FEAT_RANK_MAX,LEVEL_MIN,LEVEL_MAX
82,1,2000001,15,32000,0,0,0,0,50,69
83,1,1000002,25000,33000,0,0,0,0,50,69
84,1,2000015,1,34000,0,0,0,0,50,69
85,1,1000002,25000,35000,0,0,0,0,50,69
86,1,30305,1,36000,0,0,0,0,50,69
87,1,1000002,25000,37000,0,0,0,0,50,69
88,1,2000001,15,38000,0,0,0,0,50,69
89,1,1000002,25000,39000,0,0,0,0,50,69
90,1,2000015,1,40000,0,0,0,0,50,69
91,1,1000002,35000,41000,0,0,0,0,50,69
92,1,30305,1,42000,0,0,0,0,50,69
93,1,1000002,35000,43000,0,0,0,0,50,69
94,1,2000001,15,44000,0,0,0,0,50,69
95,1,1000002,35000,45000,0,0,0,0,50,69
96,1,2000015,1,46000,0,0,0,0,50,69
97,1,1000002,35000,47000,0,0,0,0,50,69
98,1,30305,1,48000,0,0,0,0,50,69
99,1,1000002,35000,49000,0,0,0,0,50,69
100,1,2000001,15,50000,0,0,0,0,50,69
101,1,1000002,35000,51000,0,0,0,0,50,69
102,1,2000015,1,52000,0,0,0,0,50,69
103,1,1000002,40000,53000,0,0,0,0,50,69
104,1,15203,1,54000,0,0,0,0,50,69
105,1,1000002,40000,55000,0,0,0,0,50,69
106,1,2000001,15,56000,0,0,0,0,50,69
107,1,1000002,40000,57000,0,0,0,0,50,69
108,1,2000001,15,58000,0,0,0,0,50,69
109,1,1000002,30000,5000,0,0,0,0,70,89
110,1,30305,1,6000,0,0,0,0,70,89
111,1,1000002,30000,7000,0,0,0,0,70,89
112,1,15203,1,8000,0,0,0,0,70,89
113,1,1000002,30000,9000,0,0,0,0,70,89
114,1,2000015,1,10000,0,0,0,0,70,89
115,1,1000002,30000,11000,0,0,0,0,70,89
116,1,30305,1,12000,0,0,0,0,70,89
117,1,1000002,30000,13000,0,0,0,0,70,89
118,1,15203,1,14000,0,0,0,0,70,89
119,1,1000002,30000,15000,0,0,0,0,70,89
120,1,2000015,1,16000,0,0,0,0,70,89
121,1,1000002,30000,17000,0,0,0,0,70,89
122,1,30305,1,18000,0,0,0,0,70,89
123,1,1000002,30000,19000,0,0,0,0,70,89
124,1,15203,1,20000,0,0,0,0,70,89
125,1,1000002,30000,21000,0,0,0,0,70,89
126,1,2000015,1,22000,0,0,0,0,70,89
127,1,1000002,30000,23000,0,0,0,0,70,89
128,1,30305,1,24000,0,0,0,0,70,89
129,1,1000002,30000,25000,0,0,0,0,70,89
130,1,2000001,20,26000,0,0,0,0,70,89
131,1,1000002,30000,27000,0,0,0,0,70,89
132,1,2000015,1,28000,0,0,0,0,70,89
133,1,1000002,35000,29000,0,0,0,0,70,89
134,1,30305,1,30000,0,0,0,0,70,89
135,1,1000002,35000,31000,0,0,0,0,70,89
136,1,2000001,20,32000,0,0,0,0,70,89
137,1,1000002,35000,33000,0,0,0,0,70,89
138,1,2000015,1,34000,0,0,0,0,70,89
139,1,1000002,35000,35000,0,0,0,0,70,89
140,1,30305,1,36000,0,0,0,0,70,89
141,1,1000002,35000,37000,0,0,0,0,70,89
142,1,2000001,20,38000,0,0,0,0,70,89
143,1,1000002,35000,39000,0,0,0,0,70,89
144,1,2000015,1,40000,0,0,0,0,70,89
145,1,1000002,45000,41000,0,0,0,0,70,89
146,1,30305,1,42000,0,0,0,0,70,89
147,1,1000002,45000,43000,0,0,0,0,70,89
148,1,2000001,20,44000,0,0,0,0,70,89
149,1,1000002,45000,45000,0,0,0,0,70,89
150,1,2000015,1,46000,0,0,0,0,70,89
151,1,1000002,45000,47000,0,0,0,0,70,89
152,1,30305,1,48000,0,0,0,0,70,89
153,1,1000002,45000,49000,0,0,0,0,70,89
154,1,2000001,20,50000,0,0,0,0,70,89
155,1,1000002,45000,51000,0,0,0,0,70,89
156,1,2000015,1,52000,0,0,0,0,70,89
157,1,1000002,50000,53000,0,0,0,0,70,89
158,1,15203,1,54000,0,0,0,0,70,89
159,1,1000002,50000,55000,0,0,0,0,70,89
160,1,2000001,20,56000,0,0,0,0,70,89
161,1,1000002,50000,57000,0,0,0,0,70,89
162,1,2000001,20,58000,0,0,0,0,70,89
163,1,1000002,30000,5000,0,0,0,0,90,99
164,1,30305,1,6000,0,0,0,0,90,99
165,1,1000002,30000,7000,0,0,0,0,90,99
166,1,15203,1,8000,0,0,0,0,90,99
167,1,1000002,30000,9000,0,0,0,0,90,99
168,1,2000015,1,10000,0,0,0,0,90,99
169,1,1000002,30000,11000,0,0,0,0,90,99
170,1,30305,1,12000,0,0,0,0,90,99
171,1,1000002,30000,13000,0,0,0,0,90,99
172,1,15203,1,14000,0,0,0,0,90,99
173,1,1000002,30000,15000,0,0,0,0,90,99
174,1,2000015,1,16000,0,0,0,0,90,99
175,1,1000002,30000,17000,0,0,0,0,90,99
176,1,30305,1,18000,0,0,0,0,90,99
177,1,1000002,30000,19000,0,0,0,0,90,99
178,1,15203,1,20000,0,0,0,0,90,99
179,1,1000002,30000,21000,0,0,0,0,90,99
180,1,2000015,1,22000,0,0,0,0,90,99
181,1,1000002,30000,23000,0,0,0,0,90,99
182,1,30305,1,24000,0,0,0,0,90,99
183,1,1000002,30000,25000,0,0,0,0,90,99
184,1,2000001,20,26000,0,0,0,0,90,99
185,1,1000002,30000,27000,0,0,0,0,90,99
186,1,2000015,1,28000,0,0,0,0,90,99
187,1,1000002,35000,29000,0,0,0,0,90,99
188,1,30305,1,30000,0,0,0,0,90,99
189,1,1000002,35000,31000,0,0,0,0,90,99
190,1,2000001,20,32000,0,0,0,0,90,99
191,1,1000002,35000,33000,0,0,0,0,90,99
192,1,2000015,1,34000,0,0,0,0,90,99
193,1,1000002,35000,35000,0,0,0,0,90,99
194,1,30305,1,36000,0,0,0,0,90,99
195,1,1000002,35000,37000,0,0,0,0,90,99
196,1,2000001,20,38000,0,0,0,0,90,99
197,1,1000002,35000,39000,0,0,0,0,90,99
198,1,2000015,1,40000,0,0,0,0,90,99
199,1,1000002,45000,41000,0,0,0,0,90,99
200,1,30305,1,42000,0,0,0,0,90,99
201,1,1000002,45000,43000,0,0,0,0,90,99
202,1,2000001,20,44000,0,0,0,0,90,99
203,1,1000002,45000,45000,0,0,0,0,90,99
204,1,2000015,1,46000,0,0,0,0,90,99
205,1,1000002,45000,47000,0,0,0,0,90,99
206,1,30305,1,48000,0,0,0,0,90,99
207,1,1000002,45000,49000,0,0,0,0,90,99
208,1,2000001,20,50000,0,0,0,0,90,99
209,1,1000002,45000,51000,0,0,0,0,90,99
210,1,2000015,1,52000,0,0,0,0,90,99
211,1,1000002,50000,53000,0,0,0,0,90,99
212,1,15203,1,54000,0,0,0,0,90,99
213,1,1000002,50000,55000,0,0,0,0,90,99
214,1,2000001,20,56000,0,0,0,0,90,99
215,1,1000002,50000,57000,0,0,0,0,90,99
216,1,2000001,20,58000,0,0,0,0,90,99
217,1,1000002,50000,5000,0,0,0,0,100,109
218,1,30305,1,6000,0,0,0,0,100,109
219,1,1000002,50000,7000,0,0,0,0,100,109
220,1,15203,1,8000,0,0,0,0,100,109
221,1,1000002,50000,9000,0,0,0,0,100,109
222,1,2000015,1,10000,0,0,0,0,100,109
223,1,1000002,50000,11000,0,0,0,0,100,109
224,1,30305,1,12000,0,0,0,0,100,109
225,1,1000002,50000,13000,0,0,0,0,100,109
226,1,15203,1,14000,0,0,0,0,100,109
227,1,1000002,50000,15000,0,0,0,0,100,109
228,1,2000015,1,16000,0,0,0,0,100,109
229,1,1000002,50000,17000,0,0,0,0,100,109
230,1,30305,1,18000,0,0,0,0,100,109
231,1,1000002,50000,19000,0,0,0,0,100,109
232,1,15203,1,20000,0,0,0,0,100,109
233,1,1000002,50000,21000,0,0,0,0,100,109
234,1,2000015,1,22000,0,0,0,0,100,109
235,1,1000002,50000,23000,0,0,0,0,100,109
236,1,30305,1,24000,0,0,0,0,100,109
237,1,1000002,50000,25000,0,0,0,0,100,109
238,1,2000001,30,26000,0,0,0,0,100,109
239,1,1000002,50000,27000,0,0,0,0,100,109
240,1,2000015,1,28000,0,0,0,0,100,109
241,1,1000002,55000,29000,0,0,0,0,100,109
242,1,30305,1,30000,0,0,0,0,100,109
243,1,1000002,55000,31000,0,0,0,0,100,109
244,1,2000001,30,32000,0,0,0,0,100,109
245,1,1000002,55000,33000,0,0,0,0,100,109
246,1,2000015,1,34000,0,0,0,0,100,109
247,1,1000002,55000,35000,0,0,0,0,100,109
248,1,30305,1,36000,0,0,0,0,100,109
249,1,1000002,55000,37000,0,0,0,0,100,109
250,1,2000001,30,38000,0,0,0,0,100,109
251,1,1000002,55000,39000,0,0,0,0,100,109
252,1,2000015,1,40000,0,0,0,0,100,109
253,1,1000002,65000,41000,0,0,0,0,100,109
254,1,30305,1,42000,0,0,0,0,100,109
255,1,1000002,65000,43000,0,0,0,0,100,109
256,1,2000001,30,44000,0,0,0,0,100,109
257,1,1000002,65000,45000,0,0,0,0,100,109
258,1,2000015,1,46000,0,0,0,0,100,109
259,1,1000002,65000,47000,0,0,0,0,100,109
260,1,30305,1,48000,0,0,0,0,100,109
261,1,1000002,65000,49000,0,0,0,0,100,109
262,1,2000001,30,50000,0,0,0,0,100,109
263,1,1000002,65000,51000,0,0,0,0,100,109
264,1,2000015,1,52000,0,0,0,0,100,109
265,1,1000002,70000,53000,0,0,0,0,100,109
266,1,15203,1,54000,0,0,0,0,100,109
267,1,1000002,70000,55000,0,0,0,0,100,109
268,1,2000001,30,56000,0,0,0,0,100,109
269,1,1000002,70000,57000,0,0,0,0,100,109
270,1,2000001,60,58000,0,0,0,0,100,109
271,2,1000008,2000,0,1,1,0,0,0,0
272,2,1000008,1850,0,2,2,0,0,0,0
273,2,1000008,1600,0,3,3,0,0,0,0
274,2,1000008,1350,0,4,5,0,0,0,0
275,2,1000008,1000,0,6,10,0,0,0,0
276,2,1000008,850,0,11,30,0,0,0,0
277,2,1000008,700,0,31,50,0,0,0,0
278,2,1000008,500,0,51,100,0,0,0,0
279,2,1000008,350,0,101,200,0,0,0,0
280,2,1000008,150,0,201,500,0,0,0,0
281,3,1000008,3000,0,0,0,1,1,0,0
282,3,1000008,2750,0,0,0,2,2,0,0
283,3,1000008,2500,0,0,0,3,3,0,0
284,3,1000008,2000,0,0,0,4,5,0,0
285,3,1000008,1500,0,0,0,6,10,0,0
286,3,1000008,1250,0,0,0,11,30,0,0
287,3,1000008,1000,0,0,0,31,50,0,0
288,3,1000008,750,0,0,0,51,100,0,0
289,3,1000008,500,0,0,0,101,200,0,0
290,3,1000008,200,0,0,0,201,500,0,0
