INT,STRING,STRING,STRING,STRING,INT,INT,INT,INT,INT
24,生命恢复,生命恢复,SmalliconAtlas,skill_hp,14001,32,30000,200,
25,生命上限,hp上限数值,SmalliconAtlas,skill_hp,14002,7,763300,100,1
26,攻击力,攻击,SmalliconAtlas,skill_atk,14002,1,86300,100,1
27,命中,命中百分比,SmalliconAtlas,skill_hit,14002,14,797,200,1
28,生命恢复,生命恢复,SmalliconAtlas,skill_hp,14002,32,53100,200,
29,生命上限,hp上限数值,SmalliconAtlas,skill_hp,14003,7,1096600,100,1
30,攻击力,攻击,SmalliconAtlas,skill_atk,14003,1,122600,100,1
31,命中,命中百分比,SmalliconAtlas,skill_hit,14003,14,1143,200,1
32,生命恢复,生命恢复,SmalliconAtlas,skill_hp,14003,32,76200,200,
33,生命上限,hp上限数值,SmalliconAtlas,skill_hp,14004,7,1440000,100,1
34,攻击力,攻击,SmalliconAtlas,skill_atk,14004,1,160000,100,1
35,命中,命中百分比,SmalliconAtlas,skill_hit,14004,14,1500,200,1
36,生命恢复,生命恢复,SmalliconAtlas,skill_hp,14004,32,100000,200,
37,攻击力,攻击,SmalliconAtlas,skill_atk,21001,1,80000,100,1
38,命中,命中百分比,SmalliconAtlas,skill_hit,21001,14,750,150,1
39,攻击力,攻击,SmalliconAtlas,skill_atk,21002,1,149300,100,1
40,命中,命中百分比,SmalliconAtlas,skill_hit,21002,14,1245,150,1
41,攻击力,攻击,SmalliconAtlas,skill_atk,21003,1,218600,100,1
42,命中,命中百分比,SmalliconAtlas,skill_hit,21003,14,1740,150,1
43,攻击力,攻击,SmalliconAtlas,skill_atk,21004,1,290000,100,1
44,命中,命中百分比,SmalliconAtlas,skill_hit,21004,14,2250,150,1
45,生命上限,hp上限数值,SmalliconAtlas,skill_hp,22001,7,720000,100,1
46,生命恢复,生命恢复,SmalliconAtlas,skill_hp,22001,32,50000,150,
47,生命上限,hp上限数值,SmalliconAtlas,skill_hp,22002,7,1459200,100,1
48,生命恢复,生命恢复,SmalliconAtlas,skill_hp,22002,32,83000,150,
49,生命上限,hp上限数值,SmalliconAtlas,skill_hp,22003,7,2198400,100,1
50,生命恢复,生命恢复,SmalliconAtlas,skill_hp,22003,32,116000,150,
51,生命上限,hp上限数值,SmalliconAtlas,skill_hp,22004,7,2960000,100,1
52,生命恢复,生命恢复,SmalliconAtlas,skill_hp,22004,32,150000,150,
53,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,23001,11,220000,100,1
54,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,23002,11,348700,100,1
55,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,23003,11,477400,100,1
56,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,23004,11,610000,100,1
57,生命上限,hp上限数值,SmalliconAtlas,skill_hp,24001,7,720000,100,1
58,攻击力,攻击,SmalliconAtlas,skill_atk,24001,1,80000,100,1
59,命中,命中百分比,SmalliconAtlas,skill_hit,24001,14,750,150,1
60,生命恢复,生命恢复,SmalliconAtlas,skill_hp,24001,32,50000,150,
61,生命上限,hp上限数值,SmalliconAtlas,skill_hp,24002,7,1459200,100,1
62,攻击力,攻击,SmalliconAtlas,skill_atk,24002,1,149300,100,1
63,命中,命中百分比,SmalliconAtlas,skill_hit,24002,14,1245,150,1
64,生命恢复,生命恢复,SmalliconAtlas,skill_hp,24002,32,83000,150,
65,生命上限,hp上限数值,SmalliconAtlas,skill_hp,24003,7,2198400,100,1
66,攻击力,攻击,SmalliconAtlas,skill_atk,24003,1,218600,100,1
67,命中,命中百分比,SmalliconAtlas,skill_hit,24003,14,1740,150,1
68,生命恢复,生命恢复,SmalliconAtlas,skill_hp,24003,32,116000,150,
69,生命上限,hp上限数值,SmalliconAtlas,skill_hp,24004,7,2960000,100,1
70,攻击力,攻击,SmalliconAtlas,skill_atk,24004,1,290000,100,1
71,命中,命中百分比,SmalliconAtlas,skill_hit,24004,14,2250,150,1
72,生命恢复,生命恢复,SmalliconAtlas,skill_hp,24004,32,150000,150,
73,攻击力,攻击,SmalliconAtlas,skill_atk,31001,1,150000,100,1
74,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,31001,2,1021,100,1
75,暴击,暴击率,SmalliconAtlas,skill_cstrike,31001,16,750,100,1
76,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,31001,17,750,100,1
77,命中,命中百分比,SmalliconAtlas,skill_hit,31001,14,1125,100,1
78,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,31001,28,750,100,
79,攻击力,攻击,SmalliconAtlas,skill_atk,31002,1,268800,100,1
80,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,31002,2,1869,100,1
81,暴击,暴击率,SmalliconAtlas,skill_cstrike,31002,16,1163,100,1
82,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,31002,17,1163,100,1
83,命中,命中百分比,SmalliconAtlas,skill_hit,31002,14,1744,100,1
84,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,31002,28,1163,100,
85,攻击力,攻击,SmalliconAtlas,skill_atk,31003,1,387600,100,1
86,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,31003,2,2718,100,1
87,暴击,暴击率,SmalliconAtlas,skill_cstrike,31003,16,1575,100,1
88,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,31003,17,1575,100,1
89,命中,命中百分比,SmalliconAtlas,skill_hit,31003,14,2363,100,1
90,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,31003,28,1575,100,
91,攻击力,攻击,SmalliconAtlas,skill_atk,31004,1,510000,100,1
92,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,31004,2,3592,100,1
93,暴击,暴击率,SmalliconAtlas,skill_cstrike,31004,16,2000,100,1
94,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,31004,17,2000,100,1
95,命中,命中百分比,SmalliconAtlas,skill_hit,31004,14,3000,100,1
96,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,31004,28,2000,100,
97,生命上限,hp上限数值,SmalliconAtlas,skill_hp,32001,7,1480000,100,1
98,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,32001,8,862,100,1
99,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,32001,31,1125,100,
100,闪避,闪避百分比,SmalliconAtlas,skill_dodge,32001,30,750,100,
101,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,32001,24,450,100,
102,生命恢复,生命恢复,SmalliconAtlas,skill_hp,32001,32,75000,100,
103,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,32001,26,1125,100,
104,生命上限,hp上限数值,SmalliconAtlas,skill_hp,32002,7,3427000,100,1
105,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,32002,8,1996,100,1
106,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,32002,31,1744,100,
107,闪避,闪避百分比,SmalliconAtlas,skill_dodge,32002,30,1163,100,
108,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,32002,24,698,100,
109,生命恢复,生命恢复,SmalliconAtlas,skill_hp,32002,32,116250,100,
110,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,32002,26,1744,100,
111,生命上限,hp上限数值,SmalliconAtlas,skill_hp,32003,7,5374000,100,1
112,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,32003,8,3130,100,1
113,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,32003,31,2363,100,
114,闪避,闪避百分比,SmalliconAtlas,skill_dodge,32003,30,1575,100,
115,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,32003,24,945,100,
116,生命恢复,生命恢复,SmalliconAtlas,skill_hp,32003,32,157500,100,
117,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,32003,26,2363,100,
118,生命上限,hp上限数值,SmalliconAtlas,skill_hp,32004,7,7380000,100,1
119,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,32004,8,4298,100,1
120,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,32004,31,3000,100,
121,闪避,闪避百分比,SmalliconAtlas,skill_dodge,32004,30,2000,100,
122,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,32004,24,1200,100,
123,生命恢复,生命恢复,SmalliconAtlas,skill_hp,32004,32,200000,100,
124,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,32004,26,3000,100,
125,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,33001,11,310000,100,1
126,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,33001,12,1315,100,1
127,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,33001,19,900,100,
128,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,33001,20,900,100,
129,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,33001,18,900,100,
130,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,33001,21,900,100,
131,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,33001,33,22500,100,
132,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,33002,11,471700,100,1
133,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,33002,12,2019,100,1
134,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,33002,19,1395,100,
135,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,33002,20,1395,100,
136,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,33002,18,1395,100,
137,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,33002,21,1395,100,
138,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,33002,33,34875,100,
139,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,33003,11,633400,100,1
140,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,33003,12,2723,100,1
141,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,33003,19,1890,100,
142,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,33003,20,1890,100,
143,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,33003,18,1890,100,
144,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,33003,21,1890,100,
145,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,33003,33,47250,100,
146,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,33004,11,800000,100,1
147,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,33004,12,3448,100,1
148,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,33004,19,2400,100,
149,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,33004,20,2400,100,
150,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,33004,18,2400,100,
151,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,33004,21,2400,100,
152,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,33004,33,60000,100,
153,生命上限,hp上限数值,SmalliconAtlas,skill_hp,34001,7,1480000,100,1
154,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,34001,8,862,100,1
155,攻击力,攻击,SmalliconAtlas,skill_atk,34001,1,150000,100,1
156,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,34001,2,1021,100,1
157,暴击,暴击率,SmalliconAtlas,skill_cstrike,34001,16,750,100,1
158,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,34001,17,750,100,1
159,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,34001,31,1125,100,
160,命中,命中百分比,SmalliconAtlas,skill_hit,34001,14,1125,100,1
161,闪避,闪避百分比,SmalliconAtlas,skill_dodge,34001,30,750,100,
162,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,34001,24,450,100,
163,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,34001,28,750,100,
164,生命恢复,生命恢复,SmalliconAtlas,skill_hp,34001,32,75000,100,
165,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,34001,26,1125,100,
166,生命上限,hp上限数值,SmalliconAtlas,skill_hp,34002,7,3427000,100,1
167,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,34002,8,1996,100,1
168,攻击力,攻击,SmalliconAtlas,skill_atk,34002,1,268800,100,1
169,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,34002,2,1869,100,1
170,暴击,暴击率,SmalliconAtlas,skill_cstrike,34002,16,1163,100,1
171,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,34002,17,1163,100,1
172,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,34002,31,1744,100,
173,命中,命中百分比,SmalliconAtlas,skill_hit,34002,14,1744,100,1
174,闪避,闪避百分比,SmalliconAtlas,skill_dodge,34002,30,1163,100,
175,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,34002,24,698,100,
176,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,34002,28,1163,100,
177,生命恢复,生命恢复,SmalliconAtlas,skill_hp,34002,32,116250,100,
178,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,34002,26,1744,100,
179,生命上限,hp上限数值,SmalliconAtlas,skill_hp,34003,7,5374000,100,1
180,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,34003,8,3130,100,1
181,攻击力,攻击,SmalliconAtlas,skill_atk,34003,1,387600,100,1
182,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,34003,2,2718,100,1
183,暴击,暴击率,SmalliconAtlas,skill_cstrike,34003,16,1575,100,1
184,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,34003,17,1575,100,1
185,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,34003,31,2363,100,
186,命中,命中百分比,SmalliconAtlas,skill_hit,34003,14,2363,100,1
187,闪避,闪避百分比,SmalliconAtlas,skill_dodge,34003,30,1575,100,
188,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,34003,24,945,100,
189,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,34003,28,1575,100,
190,生命恢复,生命恢复,SmalliconAtlas,skill_hp,34003,32,157500,100,
191,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,34003,26,2363,100,
192,生命上限,hp上限数值,SmalliconAtlas,skill_hp,34004,7,7380000,100,1
193,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,34004,8,4298,100,1
194,攻击力,攻击,SmalliconAtlas,skill_atk,34004,1,510000,100,1
195,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,34004,2,3592,100,1
196,暴击,暴击率,SmalliconAtlas,skill_cstrike,34004,16,2000,100,1
197,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,34004,17,2000,100,1
198,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,34004,31,3000,100,
199,命中,命中百分比,SmalliconAtlas,skill_hit,34004,14,3000,100,1
200,闪避,闪避百分比,SmalliconAtlas,skill_dodge,34004,30,2000,100,
201,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,34004,24,1200,100,
202,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,34004,28,2000,100,
203,生命恢复,生命恢复,SmalliconAtlas,skill_hp,34004,32,200000,100,
204,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,34004,26,3000,100,
205,攻击力,攻击,SmalliconAtlas,skill_atk,41001,1,260000,100,1
206,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,41001,2,1796,100,1
207,暴击,暴击率,SmalliconAtlas,skill_cstrike,41001,16,1000,100,1
208,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,41001,17,1000,100,1
209,命中,命中百分比,SmalliconAtlas,skill_hit,41001,14,1500,90,1
210,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,41001,28,1000,90,
211,攻击力,攻击,SmalliconAtlas,skill_atk,41002,1,471200,100,1
212,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,41002,2,2598,100,1
213,暴击,暴击率,SmalliconAtlas,skill_cstrike,41002,16,1660,100,1
214,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,41002,17,1660,100,1
215,命中,命中百分比,SmalliconAtlas,skill_hit,41002,14,2490,90,1
216,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,41002,28,1660,90,
217,攻击力,攻击,SmalliconAtlas,skill_atk,41003,1,682400,100,1
218,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,41003,2,3399,100,1
219,暴击,暴击率,SmalliconAtlas,skill_cstrike,41003,16,2320,100,1
220,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,41003,17,2320,100,1
221,命中,命中百分比,SmalliconAtlas,skill_hit,41003,14,3480,90,1
222,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,41003,28,2320,90,
223,攻击力,攻击,SmalliconAtlas,skill_atk,41004,1,900000,100,1
224,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,41004,2,4225,100,1
225,暴击,暴击率,SmalliconAtlas,skill_cstrike,41004,16,3000,100,1
226,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,41004,17,3000,100,1
227,命中,命中百分比,SmalliconAtlas,skill_hit,41004,14,4500,90,1
228,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,41004,28,3000,90,
229,生命上限,hp上限数值,SmalliconAtlas,skill_hp,42001,7,3690000,100,1
230,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,42001,8,2149,100,1
231,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,42001,31,1500,100,
232,闪避,闪避百分比,SmalliconAtlas,skill_dodge,42001,30,1000,90,
233,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,42001,24,600,90,
234,生命恢复,生命恢复,SmalliconAtlas,skill_hp,42001,32,100000,90,
235,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,42001,26,1500,90,
236,生命上限,hp上限数值,SmalliconAtlas,skill_hp,42002,7,7491600,100,1
237,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,42002,8,3068,100,1
238,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,42002,31,2490,100,
239,闪避,闪避百分比,SmalliconAtlas,skill_dodge,42002,30,1660,90,
240,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,42002,24,996,90,
241,生命恢复,生命恢复,SmalliconAtlas,skill_hp,42002,32,166000,90,
242,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,42002,26,2490,90,
243,生命上限,hp上限数值,SmalliconAtlas,skill_hp,42003,7,11293200,100,1
244,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,42003,8,3987,100,1
245,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,42003,31,3480,100,
246,闪避,闪避百分比,SmalliconAtlas,skill_dodge,42003,30,2320,90,
247,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,42003,24,1392,90,
248,生命恢复,生命恢复,SmalliconAtlas,skill_hp,42003,32,232000,90,
249,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,42003,26,3480,90,
250,生命上限,hp上限数值,SmalliconAtlas,skill_hp,42004,7,15210000,100,1
251,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,42004,8,4934,100,1
252,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,42004,31,4500,100,
253,闪避,闪避百分比,SmalliconAtlas,skill_dodge,42004,30,3000,90,
254,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,42004,24,1800,90,
255,生命恢复,生命恢复,SmalliconAtlas,skill_hp,42004,32,300000,90,
256,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,42004,26,4500,90,
257,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,43001,11,400000,100,1
258,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,43001,12,1724,100,1
259,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,43001,19,1200,90,
260,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,43001,20,1200,90,
261,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,43001,18,1200,90,
262,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,43001,21,1200,90,
263,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,43001,33,30000,90,
264,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,43002,11,594700,100,1
265,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,43002,12,2356,100,1
266,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,43002,19,1992,90,
267,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,43002,20,1992,90,
268,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,43002,18,1992,90,
269,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,43002,21,1992,90,
270,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,43002,33,49800,90,
271,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,43003,11,789400,100,1
272,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,43003,12,2989,100,1
273,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,43003,19,2784,90,
274,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,43003,20,2784,90,
275,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,43003,18,2784,90,
276,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,43003,21,2784,90,
277,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,43003,33,69600,90,
278,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,43004,11,990000,100,1
279,魔法上限,mp上限百分比,SmalliconAtlas,skill_mpper,43004,12,3640,100,1
280,恐惧抵抗,抗恐惧,SmalliconAtlas,skill_resfear,43004,19,3600,90,
281,魅惑抵抗,抗魅惑,SmalliconAtlas,skill_rescharm,43004,20,3600,90,
282,眩晕抵抗,抗晕,SmalliconAtlas,skill_res,43004,18,3600,90,
283,冰冻抵抗,抗冰,SmalliconAtlas,skill_resice,43004,21,3600,90,
284,魔法恢复,魔法恢复,SmalliconAtlas,skill_mp,43004,33,90000,90,
285,生命上限,hp上限数值,SmalliconAtlas,skill_hp,44001,7,3690000,100,1
286,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,44001,8,2149,100,1
287,攻击力,攻击,SmalliconAtlas,skill_atk,44001,1,260000,100,1
288,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,44001,2,1796,100,1
289,暴击,暴击率,SmalliconAtlas,skill_cstrike,44001,16,1000,100,1
290,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,44001,17,1000,100,1
291,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,44001,31,1500,100,
292,命中,命中百分比,SmalliconAtlas,skill_hit,44001,14,1500,90,1
293,闪避,闪避百分比,SmalliconAtlas,skill_dodge,44001,30,1000,90,
294,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,44001,24,600,90,
295,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,44001,28,1000,90,
296,生命恢复,生命恢复,SmalliconAtlas,skill_hp,44001,32,100000,90,
297,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,44001,26,1500,90,
298,生命上限,hp上限数值,SmalliconAtlas,skill_hp,44002,7,7491600,100,1
299,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,44002,8,3068,100,1
300,攻击力,攻击,SmalliconAtlas,skill_atk,44002,1,471200,100,1
301,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,44002,2,2598,100,1
302,暴击,暴击率,SmalliconAtlas,skill_cstrike,44002,16,1660,100,1
303,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,44002,17,1660,100,1
304,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,44002,31,2490,100,
305,命中,命中百分比,SmalliconAtlas,skill_hit,44002,14,2490,90,1
306,闪避,闪避百分比,SmalliconAtlas,skill_dodge,44002,30,1660,90,
307,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,44002,24,996,90,
308,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,44002,28,1660,90,
309,生命恢复,生命恢复,SmalliconAtlas,skill_hp,44002,32,166000,90,
310,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,44002,26,2490,90,
311,生命上限,hp上限数值,SmalliconAtlas,skill_hp,44003,7,11293200,100,1
312,生命上限,hp上限百分比,SmalliconAtlas,skill_hpper,44003,8,3987,100,1
313,攻击力,攻击,SmalliconAtlas,skill_atk,44003,1,682400,100,1
314,攻击力,攻击百分比,SmalliconAtlas,skill_hitper,44003,2,3399,100,1
315,暴击,暴击率,SmalliconAtlas,skill_cstrike,44003,16,2320,100,1
316,暴击伤害,暴击伤害,SmalliconAtlas,skill_cdamage,44003,17,2320,100,1
317,暴击伤害减免,暴击伤害减免,SmalliconAtlas,skill_damageredu,44003,31,3480,100,
318,命中,命中百分比,SmalliconAtlas,skill_hit,44003,14,3480,90,1
319,闪避,闪避百分比,SmalliconAtlas,skill_dodge,44003,30,2320,90,
320,伤害减免,伤害减免百分比,SmalliconAtlas,skill_damageredu,44003,24,1392,90,
321,攻击速度,攻击速度百分比,SmalliconAtlas,skill_dodge,44003,28,2320,90,
322,生命恢复,生命恢复,SmalliconAtlas,skill_hp,44003,32,232000,90,
323,移动速度,移动速度百分比,SmalliconAtlas,skill_dodge,44003,26,3480,90,
