STRING,STRING,STRING,STRING,STRING
TRY_REQUEST_SERVER_IP_WINDOWS,landing_window,TryRequestLoginServerWindow,,重新连接服务器区窗口
PVE_FAILE_WINDOW,pve_faile_window,tWindow,,pve失败文字窗口
SELECT_SERVER_WINDOW,server_list_window,SelectServerListWindow,,选择服务区
PVE_BEGIN_BATTLE_WINDOW,pve_begin_battle_window,tWindow,,pve开始文字窗口
WORLD_MAP_BONUS_WINDOW,world_map_bonus_window,WorldMapBonusWindow,,
FRIEND_HELP_WINDOW,friend_help_window,FriendHelpWindow,,
PET_ATTACK_BOSS_WINDOW,pet_attack_boss_window,PetAttackBossWindow,BottomRightAnchor,BOSS战斗中控制宠物进攻窗口
WORLD_MAP_BONUS_WINDOW,world_map_bonus_window,WorldMapBonusWindow,,地图宝箱窗口
FRIEND_HELP_WINDOW,friend_help_window,FriendHelpWindow,,好友助战窗口
STAGE_INFO_WINDOW,stage_info_window,StageInfoWindow,,出战信息窗口
ACTIVE_STAGE_WINDOW,active_stage_window,ActiveStageWindow,,活动列表窗口
BOSS_RAID_WINDOW,boss_list_window,BossRaidWindow,,boss战列表窗口
BOSS_STAGE_INFO_WINDOW,boss_ready_window,BossStageInfoWindow,,boss战斗信息窗口
BOSS_AWARD_WINDOW,boss_reward_window,BossBattleAwardWindow,,boss功勋奖励
BOSS_BACK_WINDOW,boss_back_window,tWindow,TopAnchor,boss退出按钮
ON_HOOK_TIP_WINDOW,on_hook_tip_window,OnHookTipWindow,,挂机开始提醒窗口
ON_HOOK_WINDOW,on_hook_window,OnHookWindow,,挂机窗口
ON_HOOK_SPEEDUP_WINDOW,on_hook_buy_ticket,OnHookSpeedupWindow,,挂机开始提醒窗口
ON_HOOK_AWARD_WINDOW,on_hook_gain_window,OnHookAwardWindow,,挂机领奖窗口
PVE_BOSS_APPEAR_WINDOW,pve_boss_appear_window,tWindow,,关卡boss出现文字特效窗口
UPGRADE_WINDOW,upgrade_window,tWindow,,主角升级文字特效窗口
TACTICAL_FORMATION_WINDOW,tactical_formation_window,TacticalFormationWindow,,阵法窗口
PACKAGE_WINDOW,package_window,PackageWindow,,包裹窗口
ROLE_EQUIP_PACKAGE_WINDOW,package_role_equip_window,RoleEquipPackageWindow,package_window,玩家装备包裹窗口
PET_EQUIP_PACKAGE_WINDOW,package_pet_equip_window,PetEquipPackageWindow,package_window,宠物装备包裹窗口
PET_FRAGMENT_PACKAGE_WINDOW,package_pet_fragment_window,PetFragmentPackageWindow,package_window,宠物碎片包裹窗口
GEM_PACKAGE_WINDOW,package_gem_window,GemPackageWindow,package_window,宝石包裹窗口
CONSUME_ITEM_PACKAGE_WINDOW,package_consume_item_window,ConsumeItemPackageWindow,package_window,消耗品包裹窗口
MATERIAL_PACKAGE_WINDOW,package_material_window,MaterialPackageWindow,package_window,材料包裹窗口
MATERIAL_FRAGMENT_PACKAGE_WINDOW,package_material_fragment_window,MaterialFragmentPackageWindow,package_window,材料碎片包裹窗口
SCROLL_WORLD_MAP_TOP_LEFT,scroll_world_map_top_left_window_back_group,tWindow,TopAnchor,
SCROLL_WORLD_MAP_BOTTOM_RIGHT,scroll_world_map_bottom_right_window,ScrollWorldMapBottomRightWindow,BottomRightAnchor,
SCROLL_WORLD_MAP_BOTTOM_LEFT,scroll_world_map_bottom_left_window_test,ScrollWorldMapBottomLeftWindow,BottomLeftAnchor,
SCROLL_WORLD_MAP_LEFT,scroll_world_map_left_window,ScrollWorldMapLeft,LeftAnchor,
SCROLL_WORLD_MAP_RIGHT,scroll_world_map_right_window,ScrollWorldMapRight,RightAnchor,
SCROLL_WORLD_MAP_CHAPTER_NAME_WINDOW,scroll_world_map_chapter_name_window,ScrollWorldChapterName,TopLeftAnchor,PVE章节名称窗口
,,,,
PVP_ATTR_ENTER_WINDOW,pvp_attribute_battle_vs,PVP_AttributeEnterWindow,,PVP属性战进入窗口
PVP_ATTR_READY_WINDOW,pvp_window_back_group,PVP_AttributeReadyWindow,TopAnchor,PVP属性准备窗口
PVP_ATTR_READY_RANK_0,pvp_attribute_rank_window,PVP_AttibuteRankWindow,,PVP火属性战准备进入窗口中排行部分
PVP_ATTR_READY_RANK_1,pvp_shui_attribute_rank_window,PVP_AttibuteRankWindow,,PVP水属性战准备进入窗口中排行部分
PVP_ATTR_READY_RANK_2,pvp_mu_attribute_rank_window,PVP_AttibuteRankWindow,,PVP木属性战准备进入窗口中排行部分
PVP_ATTR_READY_RANK_3,pvp_guang_attribute_rank_window,PVP_AttibuteRankWindow,,PVP阳属性战准备进入窗口中排行部分
PVP_ATTR_READY_RANK_4,pvp_an_attribute_rank_window,PVP_AttibuteRankWindow,,PVP阴属性战准备进入窗口中排行部分
PVP_ATTR_READY_PLAYER_RANK,pvp_player_attribute_rank_window,PVP_AttibuteReadyPlayerRankWindow,,PVP属性战准备窗口中玩家排行信息部分
PVP_ATTR_READY_PET_TEAM_0,pvp_attribute_pet_team_window,PVP_AttributePetTeamWindow,,PVP火属性战准备窗口中出战宠物部分
PVP_ATTR_READY_PET_TEAM_1,pvp_shui_attribute_pet_team_window,PVP_AttributePetTeamWindow,,PVP水属性战准备窗口中出战宠物部分
PVP_ATTR_READY_PET_TEAM_2,pvp_mu_attribute_pet_team_window,PVP_AttributePetTeamWindow,,PVP木属性战准备窗口中出战宠物部分
PVP_ATTR_READY_PET_TEAM_3,pvp_guang_attribute_pet_team_window,PVP_AttributePetTeamWindow,,PVP阳属性战准备窗口中出战宠物部分
PVP_ATTR_READY_PET_TEAM_4,pvp_an_attribute_pet_team_window,PVP_AttributePetTeamWindow,,PVP阴属性战准备窗口中出战宠物部分
PVP_ATTR_READY_PET_BAG,pvp_pet_bag_window,PVP_AttributePetBag,,PVP属性战宠物背包窗口
PVP_ATTR_START_WINDOW,pvp_window_back_group,PVP_AttributeStartWindow,TopAnchor,PVP属性战开始战斗窗口
PVP_ATTR_START_PLAYER_RANK,pvp_player_attribute_rank_window,PVP_AttibuteReadyPlayerRankWindow,,PVP属性战开始战斗窗口中玩家排行信息
PVP_SIX_ENTER_WINDOW,pvp_six_to_six_vs,PVP_SixEnterWindow,,PVP6V6进入窗口
PVP_RANK_AWARDS_WINDOW,pvp_rank_awards_window,PVP_RankAwardsWindow,,pvp排行奖励窗口
,,,,
BACK_GROUP_MAIL_WINDOW,mail_window_back_group,tWindow,TopAnchor,邮件返回窗口
BACK_GROUP_SHOP_WINDOW,shop_window_back_group,tWindow,TopAnchor,商店返回窗口
BACK_GROUP_ILLUSTRATED_WINDOW,illustrated_handbook_window_back_group,tWindow,TopAnchor,图鉴返回窗口
BACK_GROUP_MISSION_WINDOW,mission_window_back_group,tWindow,TopAnchor,任务返回窗口
BACK_GROUP_FRIEND_WINDOW,friend_window_back_group,tWindow,TopAnchor,好友返回窗口
BACK_GROUP_ROLE_WINDOW,all_role_attribute_info_window_back_group,tWindow,TopAnchor,主角信息返回窗口
BACK_GROUP_FRIEND_VISIT_WINDOW,friend_visit_window_back_group,tWindow,TopAnchor,好友访问返回窗口
BACK_GROUP_PVP_WINDOW,pvp_window_back_group,BackGroupPvpWindow,TopAnchor,pvp返回窗口
BACK_GROUP_UNION_WINDOW,union_window_back_group,tWindow,TopAnchor,公会返回窗口
BACK_PACKAGE_WINDOW,package_window_back_group,tWindow,TopAnchor,包裹返回窗口
BACK_ACTIVE_LIST_WINDOW,active_list_window_back_group,tWindow,TopAnchor,运营活动返回窗口
TOP_MESSAGE_WINDOW,top_message_window,TopMessageWindow,TopAnchor,顶部消息窗口(可滚动)
,,,,
PVE_ACCOUNT_WIN_WINDOW,pve_account_win_window,PVEAccountWinWindow,,PVE胜利结算窗口
PVE_ACCOUNT_LOSE_WINDOW,pve_account_lose_window,PVEAccountLoseWindow,,PVE失败结算窗口
PVE_ACCOUNT_CLEAN_WINDOW,pve_account_clean_window,PVEAccountCleanWindow,,PVE扫荡结算窗口
SWEEP_LIST_WINDOW,sweep_list_window,SweepListWindow,,扫荡结果窗口
,,,,
TOURISTS_LOAD_WINDOW,tourists_load_window,tWindow,,
FIRST_LOAD_WINDOW,first_load_window,FirstLoadWindow,,第一次进入游戏窗口
FIRST_LOAD_SDK_WINDOW,first_load_sdk_window,FirstLoadSDKWindow,,第一次进入游戏窗口（SDK）
REGISTRATION_WINDOW,registration_window,RegistrationWindow,,注册窗口
READY_REGISTER_WINDOW,ready_register_window,ReadyRegistrationWindow,,准备注册窗口
HAD_SELECT_SERVER_WINDOW,ready_register_window,HadSelectServerWindow,,准备注册窗口（已选择服务器）
VERSION_NUMBER_WINDOW,version_number_window,VersionNumberWindow,BottomRightAnchor,版本号窗口
,,,,
SHADOW_WINDOW,shadow_window,tWindow,,阴影窗口
,,,,
UNION_WINDOW,union_window,UnionWindow,,公会主窗口
UNION_LOBBY_WINDOW,union_lobby_window,UnionLobbyWindow,,公会大厅
UNION_DONATE_WINDOW,union_donate_window,UnionDonateWindow,,公会贡献
UNION_SHOP_WINDOW,union_shop_window,UnionShopWindow,,公会商店
UNION_TECH_WINDOW,union_tech_window,UnionTechWindow,,公会科技
UNION_WAR_WINDOW,union_war_window,UnionWarWindow,,工会战进入界面
UNION_WAR_INFO_WINDOW,union_war_info_window,UnionWarInfoWindow,,工会战主窗口
UNION_ALL_RANK_WINDOW,union_all_rank_window,UnionAllRankWindow,,工会战整体排名
UNION_BATTLE_PREPARE_WINDOW,union_battle_prepare_window,UnionBattlePrepareWindow,,工会战准备界面
RULE_TIPS_WINDOW,union_rule_tips_window,RuleTipsWindow,,规则窗口
,,,,
BECOME_STRONG_WINDOW,become_strong_window,BecomeStrongWindow,,我要变强
,,,,
FIVE_COPY_LEVEL_START_WINDOW,five_copy_level_start_window,FiveCopyLevelStartWindow,,多人副本进入窗口
FIVE_COPY_LEVEL_SELECT_WINDOW,five_copy_level_select_window,FiveCopyLevelSelectWindow,,多人副本选择窗口
FIVE_COPY_LEVEL_STAGE_INFO_WINDOW,five_copy_level_stage_info_window,FiveCopyLevelStageInfoWindow,,多人副本信息窗口
FIVE_COPY_LEVEL_SEARCH_WINDOW,five_copy_level_search_window,FiveCopyLevelSearchWindow,,多人副本搜索窗口
,,,,
MESSAGE_HELP_WINDOW,message_help_window,MessageHelpWindow,,窗口帮助信息
,,,,
PROLOGUE_WINDOW,prologue_window,PrologueWindow,,序章窗口
CURTAIN_WINDOW,curtain_window,CurtainWindow,,黑幕窗口
FIRST_PAY_GIFT_BAG,first_pay_gift_bag,FirstPayGiftBagWindow,,首充窗口
BOARD_VERSION_WINDOW,board_version_window,BoardVersionWindow,,版本公告窗口
PVP_ENDLESS_BATTLE_ENTER_WINDOW,pvp_endless_battle_enter_window,PVP_EndlessBattleEnterWindow,,pvp无尽模式入口
PVP_ENDLESS_BATTLE_READY_WINDOW,pvp_window_back_group,PVP_EndlessReadyWindow,TopAnchor,PVP无尽准备窗口
PVP_ENDLESS_BATTLE_WINDOW,pvp_endless_battle_window,PVP_EndlessBattleWindow,,无尽左窗口排行、商店
PVP_PLAYER_ENDLESS_BATTLE_RANK_WINDOW,pvp_player_endless_battle_rank_window,PVP_PlayerEndlessBattleRankWindow,,无尽个人信息排行
PVP_ENDLESS_BATTLE_PET_TEAM_WINDOW,pvp_endless_battle_pet_team_window,PVP_EndlessBattlePetTeamWindow,,无尽调宠界面
PVP_ENDLESS_BATTLE_DIFFICULTY_WINDOW,pvp_endless_battle_difficulty_window,PVP_EndlessBattleDifficultyWindow,,无尽难度选择
PVP_ENDLESS_BATTLE_PET_BAG_WINDOW,pvp_pet_bag_window,PVP_EndlessBattlePetBagWindow,,无尽宠物背包
,,,,
SIMPLE_DIALOG_WINDOW,guide_dialog_window,SimpleDialogWindow,BottomAnchor,简单对话窗口
ROLE_EQUIP_INFO_WINDOW,role_equip_info_window,RoleEquipInfoWindow,,玩家装备信息窗口
PLAYER_LEVEL_UP_SHOW_WINDOW,player_level_up_show_window,PlayerLevelUpShowWindow,,玩家等级升级显示窗口
,,,,
,,,,
GUIDE_SKIP_WINDOW,guide_skip_window,tWindow,TopRightAnchor,跳过引导窗口
,,,,
PVP_FOUR_VS_FOUR_ENTER,pvp_four_vs_four_enter,PVP_FourVSFourEnterWindow,,pvp4V4模式入口
PVP_FOUR_VS_FOUR_READY_WINDOW,pvp_window_back_group,PVP_FourVSFourReadyWindow,TopAnchor,PVP4V4准备窗口
PVP_FOUR_VS_FOUR_WINDOW,pvp_four_vs_four_window,PVP_FourVSFourWindow,,pvp4V4左窗口框架
PVP_PLAYER_FOUR_VS_FOUR_RANK_WINDOW,pvp_player_four_vs_four_rank_window,PVP_PlayerFourVSFourRankWindow,,pvp4V4个人信息排行
PVP_FOUR_VS_FOUR_TEAM_WINDOW,pvp_four_vs_four_team_window,PVP_FourVSFourTeamWindow,,pvp4V4上阵宠物信息显示
PVP_FOUR_VS_FOUR_PET_BAG_WINDOW,pvp_pet_bag_window,PVP_FourVSFourPetBagWindow,,pvp4V4宠物背包
PVP_FOUR_VS_FOUR_VICTORY_PREDICT_WINDOW,pvp_four_vs_four_victory_predict,PVP_FourVSFourVictoryPredictWindow,,pvp4V4准备挑战
OPPONENT_PLAYER_WINDOW,opponent_player_info_window,OpponentPlayerInfoWindow,TopRightAnchor,4v4战斗中对方主角信息窗口
PVP_FOUR_VS_FOUR_FINISH_WINDOW,pvp4v4_result_window,PVP_FourVSFourFinishWindow,,4v4战斗结束窗口
,,,,
CHAT_WINDOW,chat_window,ChatWindow,,聊天窗口
CHAT_WORLD_WINDOW,chat_world_window,ChatWorldWindow,chat_window_transform_root,世界聊天窗口
CHAT_UNION_WINDOW,union_chat_window,ChatUnionWindow,chat_window_transform_root,工会聊天窗口
CHAT_PRIVATE_WINDOW,chat_private_window,ChatPrivateWindow,chat_window_transform_root,私人聊天窗口
PRIVATE_CHAT_FRIEND_WINDOW,private_chat_friend_window,PrivateChatFriendWindow,,私聊好友窗口
,,,,
ROLE_ATTRIBUTE_WINDOW,role_attribute_window,RoleAttributeWindow,,主角信息窗口
ROLE_SKIN_DETAILS_WINDOW,role_skin_details_window,RoleSkinDetailsWindow,,商店购买皮肤的详细信息窗口
NEW_MYSTERIOUS_SHOP_WINDOW,black_market_window,NewMysteriousShopWindow,,神秘商店
,,,,
GUIDE_TIP_WINDOW,guide_tip_window,GuideTipWindow,,引导提示窗口
GET_REWARDS_WINDOW,get_rewards_window,GetRewardsWindow,,领取奖励窗口
GET_DECOMPOSE_RESULT_WINDOW,get_decompose_result_window,GetRewardsWindow,,分解结果显示窗口
,,,,
,,,,
ACTIVE_TAKE_BREAK_WINDOW,active_take_break_window,ActiveTakeBreakWindow,active_list_window,小憩一会窗口
ACTIVE_UPGRADE_LEVEL_WINDOW,active_upgrade_levle_window,ActiveUpgradeLevelWindow,active_list_window,主角升级窗口
ACTIVE_PVE_DOUBLE_WINDOW,active_double_drop_window,ActivePveDoubleWindow,active_list_window,pve双倍
ACTIVE_RECHARGE_AWARD_WINDOW,active_pay_lucky_guy_window,ActiveRechargeAwardWindow,active_list_window,充值奖励
ACTIVE_CONSUME_AWARD_WINDOW,active_cousume_lucky_guy_window,ActiveConsumeAwardWindow,active_list_window,消费奖励
ACTIVE_LIMIT_BUY_PET_WINDOW,active_house_pet_gift,ActiveLimitBuyPetWindow,active_list_window,限时购买符灵
ACTIVE_LIMIT_BUY_GIFT_BAG_WINDOW,active_house_purchase_gift,ActiveLimitBuyGiftBagWindow,active_list_window,限时购买礼包
ACTIVE_LOGIN_GIVE_GIFT_BAG_WINDOW,active_log_in_gift,ActiveLoginGiveGiftBagWindow,active_list_window,登陆送礼包
ACTIVE_TASK_WINDOW,active_achievement_task,ActiveTaskWindow,active_list_window,任务成就
ACTIVE_RANK_WINDOW,active_rank_reward,ActiveRankWindow,active_list_window,排行榜活动
,,,,
,,,,
TEAM_DATA_WINDOW,team_equip_infos_window,TeamsWindow,,队伍窗口
EQUIP_INFO_WINDOW,equip_info_window,EquipInfoWindow,,装备功能窗口
EQUIP_STRENGTHEN_INFO_WINDOW,equip_strengthen_info_window,EquipStrengthenInfoWindow,equip_info_window,装备强化
EQUIP_REFINE_INFO_WINDOW,equip_refine_info_window,EquipRefineInfoWindow,equip_info_window,装备精炼
MAGIC_INFO_WINDOW,magic_info_window,MagicInfoWindow,,法器功能窗口
MAGIC_STRENGTHEN_INFO_WINDOW,magic_strengthen_info_window,MagicStrengthenInfoWindow,magic_info_window,法器强化
MAGIC_REFINE_INFO_WINDOW,magic_refine_info_window,MagicRefineInfoWindow,magic_info_window,法器精炼
TEAM_WINDOW,team_window,TeamWindow,,整体队伍窗口
TEAM_INFO_WINDOW,team_info_window,TeamInfoWindow,team_left_window,队伍信息窗口
TEAM_PET_PACKAGE_WINDOW,pet_pool_info_window,TeamPetPackageWindow,team_left_window,宠物背包窗口
TEAM_PET_FRAGMENT_PACKAGE_WINDOW,pet_fragment_pool_info_window,TeamPetFragmentPackageWindow,team_left_window,宠物碎片背包窗口
TEAM_POS_INFO_WINDOW,team_pos_info_window,TeamPosInfoWindow,team_right_window,队伍位置信息窗口
BACK_GROUP_TEAM_WINDOW,team_window_back,tWindow,TopAnchor,队伍信息返回窗口
BAG_PET_WINDOW,bag_pet_window,BagPetWindow,,宠物列表窗口
BAG_EQUIP_WINDOW,bag_equip_window,BagEquipWindow,,装备列表窗口
BAG_MAGIC_WINDOW,bag_magic_window,BagMagicWindow,,法器列表窗口
,,,,
TEAM_RIGHT_ROLE_INFO_WINDOW,team_right_role_info_window,TeamRightRoleInfoWindow,team_right_window,队伍天命等的入口
FATE_INFO_WINDOW,fate_info_window,FateInfoWindow,team_right_role_info_window,队伍天命功能
FATE_RESULT_WINDOW,fate_result_window,FateSuccessWindow,,天命成功窗口
BREAK_INFO_WINDOW,break_info_window,BreakInfoWindow,team_right_role_info_window,队伍突破
BREAK_RESULT_WINDOW,fate_result_window,BreakSuccessWindow,,突破成功窗口
,,,,
SKILL_UPGRADE_WINDOW,skill_info_window,SkillUpgradeWindow,team_right_role_info_window,技能升级窗口
,,,,
SEND_MAIL_WINDOW,send_mail_window,TestSendMail,,测试发送邮件
,,,,
RECOVER_WINDOW,recover_window,ResolveBGWindow,,分解窗口底UI
RECOVER_PET_RESOLVE_WINDOW,recover_pet_resolve_window,PetResolveWindow,,宠物分解
RECOVER_EQUIP_RESOLVE_WINDOW,recover_equip_resolve_window,EquipResolveWindow,,装备分解
RECOVER_PET_REBIRTH_WINDOW,recover_pet_rebirth_window,PetRebirthWindow,,宠物重生
RECOVER_MAGIC_RECAST_WINDOW,recover_magic_recast_window,MagicRecastWindow,,法器重铸
,,,,
PET_LEVEL_UP_INFO_WINDOW,pet_level_up_info_window,PetLevelUpInfoWidnow,team_right_role_info_window,宠物升级
,,,,
RAMMBOCK_WINDOW,rammbock_window,RammbockWindow,,群魔乱舞窗口
