INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
30,1,30,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
31,1,31,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
32,1,32,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
33,1,33,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
34,1,34,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
35,1,35,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
36,1,36,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
37,1,37,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
38,1,38,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
39,1,39,1000,17,,1,0,300005,1,0,300011,0,0,300017,0
40,1,40,1000,17,,1,0,300005,1,0,300011,0,0,300017,0
41,1,41,1000,17,,1,0,300005,1,0,300011,0,0,300017,0
42,1,42,1000,17,,1,0,300005,1,0,300011,0,0,300017,0
43,1,43,1000,17,,1,0,300005,1,0,300011,0,0,300017,0
44,1,44,1000,17,,1,0,300005,1,0,300011,0,0,300017,0
45,1,45,1000,17,,1,0,300005,1,0,300011,0,0,300017,0
46,2,1,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
47,2,2,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
48,2,3,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
49,2,4,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
50,2,5,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
51,2,6,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
52,2,7,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
53,2,8,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
54,2,9,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
55,2,10,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
56,2,11,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
57,2,12,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
58,2,13,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
59,2,14,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
60,2,15,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
61,2,16,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
62,2,17,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
63,2,18,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
64,2,19,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
65,2,20,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
66,2,21,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
67,2,22,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
68,2,23,1000,17,,5,0,300005,0,0,300011,0,0,300017,0
69,2,24,1000,17,,5,0,300005,1,0,300011,0,0,300017,0
70,2,25,1000,17,,5,0,300005,1,0,300011,0,0,300017,0
71,2,26,1000,17,,5,0,300005,1,0,300011,0,0,300017,0
72,2,27,1000,17,,5,0,300005,1,0,300011,0,0,300017,0
73,2,28,1000,17,,5,0,300005,1,0,300011,0,0,300017,0
74,2,29,1000,17,,5,0,300005,1,0,300011,0,0,300017,0
75,2,30,1000,17,,5,0,300005,1,0,300011,0,0,300017,0
76,2,31,1000,17,,5,0,300005,2,0,300011,0,0,300017,0
77,2,32,1000,17,,5,0,300005,2,0,300011,0,0,300017,0
78,2,33,1000,17,,5,0,300005,2,0,300011,0,0,300017,0
79,2,34,1000,17,,5,0,300005,2,0,300011,0,0,300017,0
80,2,35,1000,17,,5,0,300005,2,0,300011,0,0,300017,0
81,2,36,1000,17,,5,0,300005,3,0,300011,0,0,300017,0
82,2,37,1000,17,,5,0,300005,3,0,300011,0,0,300017,0
83,2,38,1000,17,,5,0,300005,3,0,300011,0,0,300017,0
84,2,39,1000,17,,5,0,300005,3,0,300011,0,0,300017,0
85,2,40,1000,17,,5,0,300005,3,0,300011,0,0,300017,0
86,2,41,1000,17,,5,0,300005,0,0,300011,1,0,300017,0
87,2,42,1000,17,,5,0,300005,0,0,300011,1,0,300017,0
88,2,43,1000,17,,5,0,300005,0,0,300011,1,0,300017,0
89,2,44,1000,17,,5,0,300005,1,0,300011,1,0,300017,0
90,2,45,1000,17,,5,0,300005,1,0,300011,1,0,300017,0
91,3,1,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
92,3,2,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
93,3,3,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
94,3,4,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
95,3,5,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
96,3,6,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
97,3,7,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
98,3,8,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
99,3,9,1000,17,,15,0,300005,0,0,300011,0,0,300017,0
100,3,10,1000,17,,15,0,300005,1,0,300011,0,0,300017,0
101,3,11,1000,17,,15,0,300005,1,0,300011,0,0,300017,0
102,3,12,1000,17,,15,0,300005,1,0,300011,0,0,300017,0
103,3,13,1000,17,,15,0,300005,1,0,300011,0,0,300017,0
104,3,14,1000,17,,15,0,300005,2,0,300011,0,0,300017,0
105,3,15,1000,17,,15,0,300005,2,0,300011,0,0,300017,0
106,3,16,1000,17,,15,0,300005,3,0,300011,0,0,300017,0
107,3,17,1000,17,,15,0,300005,3,0,300011,0,0,300017,0
108,3,18,1000,17,,15,0,300005,0,0,300011,1,0,300017,0
109,3,19,1000,17,,15,0,300005,0,0,300011,1,0,300017,0
110,3,20,1000,17,,15,0,300005,1,0,300011,1,0,300017,0
111,3,21,1000,17,,15,0,300005,2,0,300011,1,0,300017,0
112,3,22,1000,17,,15,0,300005,2,0,300011,1,0,300017,0
113,3,23,1000,17,,15,0,300005,3,0,300011,1,0,300017,0
114,3,24,1000,17,,15,0,300005,0,0,300011,2,0,300017,0
115,3,25,1000,17,,15,0,300005,1,0,300011,2,0,300017,0
116,3,26,1000,17,,15,0,300005,0,0,300011,0,0,300017,1
117,3,27,1000,17,,15,0,300005,1,0,300011,0,0,300017,1
118,3,28,1000,17,,15,0,300005,2,0,300011,0,0,300017,1
119,3,29,1000,17,,15,0,300005,3,0,300011,0,0,300017,1
120,3,30,1000,17,,15,0,300005,1,0,300011,1,0,300017,1
121,3,31,1000,17,,15,0,300005,2,0,300011,1,0,300017,1
122,3,32,1000,17,,15,0,300005,3,0,300011,1,0,300017,1
123,3,33,1000,17,,15,0,300005,1,0,300011,2,0,300017,1
124,3,34,1000,17,,15,0,300005,0,0,300011,0,0,300017,2
125,3,35,1000,17,,15,0,300005,2,0,300011,0,0,300017,2
126,3,36,1000,17,,15,0,300005,0,0,300011,1,0,300017,2
127,3,37,1000,17,,15,0,300005,2,0,300011,1,0,300017,2
128,3,38,1000,17,,15,0,300005,0,0,300011,2,0,300017,2
129,3,39,1000,17,,15,0,300005,0,0,300011,0,0,300017,3
130,3,40,1000,17,,15,0,300005,2,0,300011,0,0,300017,3
131,3,41,1000,17,,15,0,300005,0,0,300011,1,0,300017,3
132,3,42,1000,17,,15,0,300005,2,0,300011,1,0,300017,3
133,3,43,1000,17,,15,0,300005,0,0,300011,2,0,300017,3
134,3,44,1000,17,,15,0,300005,1,0,300011,0,0,300017,4
135,3,45,1000,17,,15,0,300005,3,0,300011,0,0,300017,4
136,4,1,1000,17,,150,0,300005,0,0,300011,0,0,300017,0
137,4,2,1000,17,,150,0,300005,0,0,300011,0,0,300017,0
138,4,3,1000,17,,150,0,300005,0,0,300011,0,0,300017,0
139,4,4,1000,17,,150,0,300005,1,0,300011,0,0,300017,0
140,4,5,1000,17,,150,0,300005,1,0,300011,0,0,300017,0
141,4,6,1000,17,,150,0,300005,1,0,300011,0,0,300017,0
142,4,7,1000,17,,150,0,300005,2,0,300011,0,0,300017,0
143,4,8,1000,17,,150,0,300005,2,0,300011,0,0,300017,0
144,4,9,1000,17,,150,0,300005,3,0,300011,0,0,300017,0
145,4,10,1000,17,,150,0,300005,0,0,300011,1,0,300017,0
146,4,11,1000,17,,150,0,300005,1,0,300011,1,0,300017,0
147,4,12,1000,17,,150,0,300005,2,0,300011,1,0,300017,0
148,4,13,1000,17,,150,0,300005,3,0,300011,1,0,300017,0
149,4,14,1000,17,,150,0,300005,0,0,300011,2,0,300017,0
150,4,15,1000,17,,150,0,300005,1,0,300011,2,0,300017,0
151,4,16,1000,17,,150,0,300005,1,0,300011,0,0,300017,1
152,4,17,1000,17,,150,0,300005,2,0,300011,0,0,300017,1
153,4,18,1000,17,,150,0,300005,0,0,300011,1,0,300017,1
154,4,19,1000,17,,150,0,300005,2,0,300011,1,0,300017,1
155,4,20,1000,17,,150,0,300005,1,0,300011,2,0,300017,1
156,4,21,1000,17,,150,0,300005,1,0,300011,0,0,300017,2
157,4,22,1000,17,,150,0,300005,3,0,300011,0,0,300017,2
158,4,23,1000,17,,150,0,300005,2,0,300011,1,0,300017,2
159,4,24,1000,17,,150,0,300005,1,0,300011,2,0,300017,2
160,4,25,1000,17,,150,0,300005,3,0,300011,0,0,300017,3
161,4,26,1000,17,,150,0,300005,2,0,300011,1,0,300017,3
162,4,27,1000,17,,150,0,300005,0,0,300011,0,0,300017,4
163,4,28,1000,17,,150,0,300005,0,0,300011,1,0,300017,4
164,4,29,1000,17,,150,0,300005,0,0,300011,2,0,300017,4
165,4,30,1000,17,,150,0,300005,3,0,300011,0,0,300017,5
166,4,31,1000,17,,150,0,300005,0,0,300011,2,0,300017,5
167,4,32,1000,17,,150,0,300005,3,0,300011,0,0,300017,6
168,4,33,1000,17,,150,0,300005,1,0,300011,2,0,300017,6
169,4,34,1000,17,,150,0,300005,0,0,300011,1,0,300017,7
170,4,35,1000,17,,150,0,300005,0,0,300011,0,0,300017,8
171,4,36,1000,17,,150,0,300005,3,0,300011,1,0,300017,8
172,4,37,1000,17,,150,0,300005,3,0,300011,0,0,300017,9
173,4,38,1000,17,,150,0,300005,0,0,300011,0,0,300017,10
174,4,39,1000,17,,150,0,300005,3,0,300011,1,0,300017,10
175,4,40,1000,17,,150,0,300005,1,0,300011,1,0,300017,11
176,4,41,1000,17,,150,0,300005,2,0,300011,0,0,300017,12
177,4,42,1000,17,,150,0,300005,0,0,300011,0,0,300017,13
178,4,43,1000,17,,150,0,300005,0,0,300011,2,0,300017,13
179,4,44,1000,17,,150,0,300005,3,0,300011,1,0,300017,14
180,4,45,1000,17,,150,0,300005,2,0,300011,1,0,300017,15
181,5,1,1000,17,,3000,0,300005,2,0,300011,0,0,300017,0
182,5,2,1000,17,,3000,0,300005,2,0,300011,0,0,300017,0
183,5,3,1000,17,,3000,0,300005,3,0,300011,0,0,300017,0
184,5,4,1000,17,,3000,0,300005,3,0,300011,0,0,300017,0
185,5,5,1000,17,,3000,0,300005,0,0,300011,1,0,300017,0
186,5,6,1000,17,,3000,0,300005,2,0,300011,1,0,300017,0
187,5,7,1000,17,,3000,0,300005,3,0,300011,1,0,300017,0
188,5,8,1000,17,,3000,0,300005,1,0,300011,2,0,300017,0
189,5,9,1000,17,,3000,0,300005,1,0,300011,0,0,300017,1
190,5,10,1000,17,,3000,0,300005,0,0,300011,1,0,300017,1
191,5,11,1000,17,,3000,0,300005,3,0,300011,1,0,300017,1
192,5,12,1000,17,,3000,0,300005,0,0,300011,0,0,300017,2
193,5,13,1000,17,,3000,0,300005,0,0,300011,1,0,300017,2
194,5,14,1000,17,,3000,0,300005,0,0,300011,2,0,300017,2
195,5,15,1000,17,,3000,0,300005,3,0,300011,0,0,300017,3
196,5,16,1000,17,,3000,0,300005,0,0,300011,2,0,300017,3
197,5,17,1000,17,,3000,0,300005,0,0,300011,1,0,300017,4
198,5,18,1000,17,,3000,0,300005,0,0,300011,0,0,300017,5
199,5,19,1000,17,,3000,0,300005,3,0,300011,1,0,300017,5
200,5,20,1000,17,,3000,0,300005,1,0,300011,1,0,300017,6
201,5,21,1000,17,,3000,0,300005,3,0,300011,0,0,300017,7
202,5,22,1000,17,,3000,0,300005,2,0,300011,0,0,300017,8
203,5,23,1000,17,,3000,0,300005,1,0,300011,0,0,300017,9
204,5,24,1000,17,,3000,0,300005,2,0,300011,0,0,300017,10
205,5,25,1000,17,,3000,0,300005,3,0,300011,0,0,300017,11
206,5,26,1000,17,,3000,0,300005,1,0,300011,1,0,300017,12
207,5,27,1000,17,,3000,0,300005,0,0,300011,2,0,300017,13
208,5,28,1000,17,,3000,0,300005,1,0,300011,0,0,300017,15
209,5,29,1000,17,,3000,0,300005,3,0,300011,1,0,300017,16
210,5,30,1000,17,,3000,0,300005,2,0,300011,0,0,300017,18
211,5,31,1000,17,,3000,0,300005,1,0,300011,2,0,300017,19
212,5,32,1000,17,,3000,0,300005,3,0,300011,1,0,300017,21
213,5,33,1000,17,,3000,0,300005,2,0,300011,1,0,300017,23
214,5,34,1000,17,,3000,0,300005,1,0,300011,1,0,300017,25
215,5,35,1000,17,,3000,0,300005,2,0,300011,1,0,300017,27
216,5,36,1000,17,,3000,0,300005,3,0,300011,1,0,300017,29
217,5,37,1000,17,,3000,0,300005,0,0,300011,0,0,300017,32
218,5,38,1000,17,,3000,0,300005,3,0,300011,0,0,300017,34
219,5,39,1000,17,,3000,0,300005,3,0,300011,1,0,300017,36
220,5,40,1000,17,,3000,0,300005,2,0,300011,0,0,300017,39
221,5,41,1000,17,,3000,0,300005,1,0,300011,2,0,300017,41
222,5,42,1000,17,,3000,0,300005,2,0,300011,1,0,300017,44
223,5,43,1000,17,,3000,0,300005,0,0,300011,1,0,300017,47
224,5,44,1000,17,,3000,0,300005,3,0,300011,0,0,300017,50
225,5,45,1000,17,,3000,0,300005,3,0,300011,0,0,300017,53
226,6,1,1000,17,,10000,0,300005,1,0,300011,2,0,300017,0
227,6,2,1000,17,,10000,0,300005,1,0,300011,2,0,300017,0
228,6,3,1000,17,,10000,0,300005,1,0,300011,0,0,300017,1
229,6,4,1000,17,,10000,0,300005,3,0,300011,0,0,300017,1
230,6,5,1000,17,,10000,0,300005,2,0,300011,1,0,300017,1
231,6,6,1000,17,,10000,0,300005,0,0,300011,0,0,300017,2
232,6,7,1000,17,,10000,0,300005,1,0,300011,1,0,300017,2
233,6,8,1000,17,,10000,0,300005,1,0,300011,0,0,300017,3
234,6,9,1000,17,,10000,0,300005,0,0,300011,2,0,300017,3
235,6,10,1000,17,,10000,0,300005,2,0,300011,1,0,300017,4
236,6,11,1000,17,,10000,0,300005,2,0,300011,1,0,300017,5
237,6,12,1000,17,,10000,0,300005,3,0,300011,1,0,300017,6
238,6,13,1000,17,,10000,0,300005,1,0,300011,2,0,300017,7
239,6,14,1000,17,,10000,0,300005,3,0,300011,0,0,300017,9
240,6,15,1000,17,,10000,0,300005,0,0,300011,2,0,300017,10
241,6,16,1000,17,,10000,0,300005,0,0,300011,1,0,300017,12
242,6,17,1000,17,,10000,0,300005,3,0,300011,0,0,300017,14
243,6,18,1000,17,,10000,0,300005,3,0,300011,0,0,300017,16
244,6,19,1000,17,,10000,0,300005,1,0,300011,1,0,300017,18
245,6,20,1000,17,,10000,0,300005,0,0,300011,0,0,300017,21
246,6,21,1000,17,,10000,0,300005,2,0,300011,1,0,300017,23
247,6,22,1000,17,,10000,0,300005,0,0,300011,1,0,300017,26
248,6,23,1000,17,,10000,0,300005,2,0,300011,1,0,300017,29
249,6,24,1000,17,,10000,0,300005,0,0,300011,2,0,300017,32
250,6,25,1000,17,,10000,0,300005,0,0,300011,1,0,300017,36
251,6,26,1000,17,,10000,0,300005,0,0,300011,1,0,300017,40
252,6,27,1000,17,,10000,0,300005,0,0,300011,1,0,300017,44
253,6,28,1000,17,,10000,0,300005,1,0,300011,2,0,300017,48
254,6,29,1000,17,,10000,0,300005,3,0,300011,1,0,300017,53
255,6,30,1000,17,,10000,0,300005,0,0,300011,2,0,300017,58
256,6,31,1000,17,,10000,0,300005,2,0,300011,0,0,300017,64
257,6,32,1000,17,,10000,0,300005,1,0,300011,2,0,300017,69
258,6,33,1000,17,,10000,0,300005,1,0,300011,2,0,300017,75
259,6,34,1000,17,,10000,0,300005,2,0,300011,0,0,300017,82
260,6,35,1000,17,,10000,0,300005,0,0,300011,2,0,300017,88
261,6,36,1000,17,,10000,0,300005,3,0,300011,1,0,300017,95
262,6,37,1000,17,,10000,0,300005,0,0,300011,0,0,300017,103
263,6,38,1000,17,,10000,0,300005,0,0,300011,1,0,300017,110
264,6,39,1000,17,,10000,0,300005,3,0,300011,0,0,300017,118
265,6,40,1000,17,,10000,0,300005,0,0,300011,1,0,300017,126
266,6,41,1000,17,,10000,0,300005,0,0,300011,2,0,300017,134
267,6,42,1000,17,,10000,0,300005,1,0,300011,1,0,300017,143
268,6,43,1000,17,,10000,0,300005,2,0,300011,1,0,300017,152
269,6,44,1000,17,,10000,0,300005,1,0,300011,2,0,300017,161
270,6,45,1000,17,,10000,0,300005,2,0,300011,1,0,300017,171
271,7,1,1000,17,,30000,0,300005,0,0,300011,0,0,300017,3
272,7,2,1000,17,,30000,0,300005,2,0,300011,0,0,300017,3
273,7,3,1000,17,,30000,0,300005,2,0,300011,1,0,300017,3
274,7,4,1000,17,,30000,0,300005,0,0,300011,1,0,300017,4
275,7,5,1000,17,,30000,0,300005,0,0,300011,1,0,300017,5
276,7,6,1000,17,,30000,0,300005,3,0,300011,1,0,300017,6
277,7,7,1000,17,,30000,0,300005,3,0,300011,0,0,300017,8
278,7,8,1000,17,,30000,0,300005,3,0,300011,0,0,300017,10
279,7,9,1000,17,,30000,0,300005,1,0,300011,1,0,300017,12
280,7,10,1000,17,,30000,0,300005,2,0,300011,0,0,300017,15
281,7,11,1000,17,,30000,0,300005,3,0,300011,0,0,300017,18
282,7,12,1000,17,,30000,0,300005,3,0,300011,1,0,300017,21
283,7,13,1000,17,,30000,0,300005,2,0,300011,1,0,300017,25
284,7,14,1000,17,,30000,0,300005,1,0,300011,0,0,300017,30
285,7,15,1000,17,,30000,0,300005,1,0,300011,2,0,300017,34
286,7,16,1000,17,,30000,0,300005,3,0,300011,0,0,300017,40
287,7,17,1000,17,,30000,0,300005,3,0,300011,0,0,300017,46
288,7,18,1000,17,,30000,0,300005,0,0,300011,2,0,300017,52
289,7,19,1000,17,,30000,0,300005,1,0,300011,2,0,300017,59
290,7,20,1000,17,,30000,0,300005,0,0,300011,2,0,300017,67
291,7,21,1000,17,,30000,0,300005,1,0,300011,0,0,300017,76
292,7,22,1000,17,,30000,0,300005,3,0,300011,0,0,300017,85
293,7,23,1000,17,,30000,0,300005,0,0,300011,1,0,300017,95
294,7,24,1000,17,,30000,0,300005,0,0,300011,0,0,300017,106
295,7,25,1000,17,,30000,0,300005,2,0,300011,1,0,300017,117
296,7,26,1000,17,,30000,0,300005,2,0,300011,0,0,300017,130
297,7,27,1000,17,,30000,0,300005,0,0,300011,1,0,300017,143
298,7,28,1000,17,,30000,0,300005,0,0,300011,2,0,300017,157
299,7,29,1000,17,,30000,0,300005,0,0,300011,1,0,300017,173
300,7,30,1000,17,,30000,0,300005,2,0,300011,1,0,300017,189
301,7,31,1000,17,,30000,0,300005,2,0,300011,0,0,300017,207
302,7,32,1000,17,,30000,0,300005,3,0,300011,0,0,300017,225
303,7,33,1000,17,,30000,0,300005,1,0,300011,2,0,300017,244
304,7,34,1000,17,,30000,0,300005,0,0,300011,0,0,300017,265
305,7,35,1000,17,,30000,0,300005,1,0,300011,1,0,300017,286
306,7,36,1000,17,,30000,0,300005,1,0,300011,1,0,300017,308
307,7,37,1000,17,,30000,0,300005,0,0,300011,0,0,300017,332
308,7,38,1000,17,,30000,0,300005,0,0,300011,0,0,300017,356
309,7,39,1000,17,,30000,0,300005,0,0,300011,1,0,300017,381
310,7,40,1000,17,,30000,0,300005,3,0,300011,0,0,300017,407
311,7,41,1000,17,,30000,0,300005,3,0,300011,1,0,300017,434
312,7,42,1000,17,,30000,0,300005,2,0,300011,1,0,300017,462
313,7,43,1000,17,,30000,0,300005,1,0,300011,2,0,300017,491
314,7,44,1000,17,,30000,0,300005,0,0,300011,2,0,300017,521
315,7,45,1000,17,,30000,0,300005,1,0,300011,0,0,300017,553
