INDEX,NAME,ICON_ATLAS,ICON_NAME,ROLEEQUIPID,ICON_BLACKATLAS
17030,溟骨符碎片3,MagicFragmentAtlas,equip_magic_blue_12_03,15102,MagicFragmentBlackAtlas
17031,玄雷符碎片1,MagicFragmentAtlas1,equip_magic_purple_11_01,15103,MagicFragmentBlackAtlas
17032,玄雷符碎片2,MagicFragmentAtlas1,equip_magic_purple_11_02,15103,MagicFragmentBlackAtlas
17033,玄雷符碎片3,MagicFragmentAtlas1,equip_magic_purple_11_03,15103,MagicFragmentBlackAtlas
17034,玄雷符碎片4,MagicFragmentAtlas1,equip_magic_purple_11_04,15103,MagicFragmentBlackAtlas
17035,炼火符碎片1,MagicFragmentAtlas1,equip_magic_purple_12_01,15104,MagicFragmentBlackAtlas
17036,炼火符碎片2,MagicFragmentAtlas1,equip_magic_purple_12_02,15104,MagicFragmentBlackAtlas
17037,炼火符碎片3,MagicFragmentAtlas1,equip_magic_purple_12_03,15104,MagicFragmentBlackAtlas
17038,炼火符碎片4,MagicFragmentAtlas1,equip_magic_purple_12_04,15104,MagicFragmentBlackAtlas
17039,九凝符碎片1,MagicFragmentAtlas,equip_magic_orange_11_01,15105,MagicFragmentBlackAtlas
17040,九凝符碎片2,MagicFragmentAtlas,equip_magic_orange_11_02,15105,MagicFragmentBlackAtlas
17041,九凝符碎片3,MagicFragmentAtlas,equip_magic_orange_11_03,15105,MagicFragmentBlackAtlas
17042,九凝符碎片4,MagicFragmentAtlas,equip_magic_orange_11_04,15105,MagicFragmentBlackAtlas
17043,九凝符碎片5,MagicFragmentAtlas,equip_magic_orange_11_05,15105,MagicFragmentBlackAtlas
17044,金龙符碎片1,MagicFragmentAtlas,equip_magic_orange_12_01,15106,MagicFragmentBlackAtlas
17045,金龙符碎片2,MagicFragmentAtlas,equip_magic_orange_12_02,15106,MagicFragmentBlackAtlas
17046,金龙符碎片3,MagicFragmentAtlas,equip_magic_orange_12_03,15106,MagicFragmentBlackAtlas
17047,金龙符碎片4,MagicFragmentAtlas,equip_magic_orange_12_04,15106,MagicFragmentBlackAtlas
17048,金龙符碎片5,MagicFragmentAtlas,equip_magic_orange_12_05,15106,MagicFragmentBlackAtlas
17049,神器经验银印碎片1,MagicFragmentAtlas,equip_magic_blue_21_01,15202,MagicFragmentBlackAtlas
17050,神器经验银印碎片2,MagicFragmentAtlas,equip_magic_blue_21_02,15202,MagicFragmentBlackAtlas
17051,神器经验银印碎片3,MagicFragmentAtlas,equip_magic_blue_21_03,15202,MagicFragmentBlackAtlas
17052,神器经验金印碎片1,MagicFragmentAtlas1,equip_magic_purple_21_01,15203,MagicFragmentBlackAtlas
17053,神器经验金印碎片2,MagicFragmentAtlas1,equip_magic_purple_21_02,15203,MagicFragmentBlackAtlas
17054,神器经验金印碎片3,MagicFragmentAtlas1,equip_magic_purple_21_03,15203,MagicFragmentBlackAtlas
17055,神器经验金印碎片4,MagicFragmentAtlas2,equip_magic_purple_21_04,15203,MagicFragmentBlackAtlas
