INDEX,MONSTER,DRAMA_MONSTER,WAYPOINT,DESC,DELAY,GROUP
21004001,74019,0,21,精英木之境1-4,0,5
21004002,74019,0,22,精英木之境1-4,0,5
21004004,74020,0,23,精英木之境1-4,0,5
21005006,74016,0,0,精英木之境1-5,0,1
21005007,74016,0,1,精英木之境1-5,0,1
21005008,74013,0,2,精英木之境1-5,0,1
21005009,74013,0,3,精英木之境1-5,0,1
21005010,74013,0,4,精英木之境1-5,0,1
21005012,74012,0,5,精英木之境1-5,0,2
21005013,74012,0,6,精英木之境1-5,0,2
21005014,74021,0,7,精英木之境1-5,0,2
21005015,74021,0,8,精英木之境1-5,0,2
21005016,74021,0,9,精英木之境1-5,0,2
21005018,74016,0,10,精英木之境1-5,0,3
21005019,74016,0,11,精英木之境1-5,0,3
21005020,74013,0,12,精英木之境1-5,0,3
21005021,74013,0,13,精英木之境1-5,0,3
21005022,74013,0,14,精英木之境1-5,0,3
21005024,74012,0,15,精英木之境1-5,0,4
21005025,74012,0,16,精英木之境1-5,0,4
21005026,74021,0,17,精英木之境1-5,0,4
21005027,74021,0,18,精英木之境1-5,0,4
21005028,74021,0,19,精英木之境1-5,0,4
21005035,74019,0,20,精英木之境1-5,0,5
21005034,74019,0,21,精英木之境1-5,0,5
21005033,74019,0,22,精英木之境1-5,0,5
21005031,74020,0,23,精英木之境1-5,0,5
21006035,74022,0,0,精英火之境1-6,0,1
21006034,74022,0,1,精英火之境1-6,0,1
21006033,74023,0,2,精英火之境1-6,0,1
21006032,74023,0,3,精英火之境1-6,0,1
21006031,74024,0,4,精英火之境1-6,0,1
21006029,74025,0,5,精英火之境1-6,0,2
21006028,74025,0,6,精英火之境1-6,0,2
21006027,74024,0,7,精英火之境1-6,0,2
21006026,74024,0,8,精英火之境1-6,0,2
21006025,74026,0,9,精英火之境1-6,0,2
21006023,74022,0,10,精英火之境1-6,0,3
21006022,74022,0,11,精英火之境1-6,0,3
21006021,74023,0,12,精英火之境1-6,0,3
21006020,74023,0,13,精英火之境1-6,0,3
21006019,74024,0,14,精英火之境1-6,0,3
21006017,74025,0,15,精英火之境1-6,0,4
21006016,74025,0,16,精英火之境1-6,0,4
21006015,74024,0,17,精英火之境1-6,0,4
21006014,74024,0,18,精英火之境1-6,0,4
21006013,74026,0,19,精英火之境1-6,0,4
21006006,74027,0,20,精英火之境1-6,0,5
21006007,74027,0,21,精英火之境1-6,0,5
21006008,74027,0,22,精英火之境1-6,0,5
21006010,74028,0,23,精英火之境1-6,0,5
21007006,74022,0,0,精英火之境1-7,0,1
21007007,74022,0,1,精英火之境1-7,0,1
21007008,74029,0,2,精英火之境1-7,0,1
21007009,74029,0,3,精英火之境1-7,0,1
21007010,74023,0,4,精英火之境1-7,0,1
21007012,74022,0,5,精英火之境1-7,0,2
21007013,74022,0,6,精英火之境1-7,0,2
21007014,74023,0,7,精英火之境1-7,0,2
21007015,74023,0,8,精英火之境1-7,0,2
21007016,74024,0,9,精英火之境1-7,0,2
21007018,74022,0,10,精英火之境1-7,0,3
21007019,74022,0,11,精英火之境1-7,0,3
21007020,74029,0,12,精英火之境1-7,0,3
21007021,74029,0,13,精英火之境1-7,0,3
21007022,74023,0,14,精英火之境1-7,0,3
21007024,74022,0,15,精英火之境1-7,0,4
21007025,74022,0,16,精英火之境1-7,0,4
21007026,74023,0,17,精英火之境1-7,0,4
21007027,74023,0,18,精英火之境1-7,0,4
21007028,74024,0,19,精英火之境1-7,0,4
21007032,74030,0,20,精英火之境1-7,0,5
21007031,74030,0,21,精英火之境1-7,0,5
21007030,74030,0,22,精英火之境1-7,0,5
21007034,74031,0,23,精英火之境1-7,0,5
21008035,74032,0,0,精英火之境1-8,0,1
21008034,74032,0,1,精英火之境1-8,0,1
21008033,74033,0,2,精英火之境1-8,0,1
21008032,74033,0,3,精英火之境1-8,0,1
21008031,74034,0,4,精英火之境1-8,0,1
21008029,74035,0,5,精英火之境1-8,0,2
21008028,74035,0,6,精英火之境1-8,0,2
21008027,74036,0,7,精英火之境1-8,0,2
21008026,74036,0,8,精英火之境1-8,0,2
21008025,74037,0,9,精英火之境1-8,0,2
21008023,74032,0,10,精英火之境1-8,0,3
21008022,74032,0,11,精英火之境1-8,0,3
21008021,74033,0,12,精英火之境1-8,0,3
21008020,74033,0,13,精英火之境1-8,0,3
21008019,74034,0,14,精英火之境1-8,0,3
21008017,74032,0,15,精英火之境1-8,0,4
21008016,74032,0,16,精英火之境1-8,0,4
21008015,74033,0,17,精英火之境1-8,0,4
21008014,74033,0,18,精英火之境1-8,0,4
21008013,74034,0,19,精英火之境1-8,0,4
21008009,74038,0,20,精英火之境1-8,0,5
21008010,74038,0,21,精英火之境1-8,0,5
21008011,74038,0,22,精英火之境1-8,0,5
21008007,74039,0,23,精英火之境1-8,0,5
21009006,74035,0,0,精英火之境1-9,0,1
21009007,74035,0,1,精英火之境1-9,0,1
21009008,74040,0,2,精英火之境1-9,0,1
21009009,74040,0,3,精英火之境1-9,0,1
21009010,74036,0,4,精英火之境1-9,0,1
21009012,74032,0,5,精英火之境1-9,0,2
21009013,74032,0,6,精英火之境1-9,0,2
21009014,74033,0,7,精英火之境1-9,0,2
21009015,74033,0,8,精英火之境1-9,0,2
21009016,74034,0,9,精英火之境1-9,0,2
21009018,74035,0,10,精英火之境1-9,0,3
21009019,74035,0,11,精英火之境1-9,0,3
21009020,74040,0,12,精英火之境1-9,0,3
21009021,74040,0,13,精英火之境1-9,0,3
21009022,74036,0,14,精英火之境1-9,0,3
21009024,74032,0,15,精英火之境1-9,0,4
21009025,74032,0,16,精英火之境1-9,0,4
21009026,74033,0,17,精英火之境1-9,0,4
21009027,74033,0,18,精英火之境1-9,0,4
21009028,74034,0,19,精英火之境1-9,0,4
21009035,74041,0,20,精英火之境1-9,0,5
21009034,74041,0,21,精英火之境1-9,0,5
21009033,74041,0,22,精英火之境1-9,0,5
21009031,74042,0,23,精英火之境1-9,0,5
21010035,74043,0,0,精英火之境1-10,0,1
21010034,74043,0,1,精英火之境1-10,0,1
21010033,74044,0,2,精英火之境1-10,0,1
21010032,74044,0,3,精英火之境1-10,0,1
21010031,74045,0,4,精英火之境1-10,0,1
21010029,74046,0,5,精英火之境1-10,0,2
21010028,74046,0,6,精英火之境1-10,0,2
21010027,74047,0,7,精英火之境1-10,0,2
21010026,74047,0,8,精英火之境1-10,0,2
21010025,74048,0,9,精英火之境1-10,0,2
21010023,74043,0,10,精英火之境1-10,0,3
21010022,74043,0,11,精英火之境1-10,0,3
21010021,74044,0,12,精英火之境1-10,0,3
21010020,74044,0,13,精英火之境1-10,0,3
21010019,74045,0,14,精英火之境1-10,0,3
21010017,74046,0,15,精英火之境1-10,0,4
21010016,74046,0,16,精英火之境1-10,0,4
21010015,74047,0,17,精英火之境1-10,0,4
21010014,74047,0,18,精英火之境1-10,0,4
21010013,74048,0,19,精英火之境1-10,0,4
21010006,74049,0,20,精英火之境1-10,0,5
21010007,74049,0,21,精英火之境1-10,0,5
21010008,74049,0,22,精英火之境1-10,0,5
21010010,74050,0,23,精英火之境1-10,0,5
21011029,74051,0,0,精英水之境2-1,0,1
21011028,74051,0,1,精英水之境2-1,0,1
21011027,74052,0,2,精英水之境2-1,0,1
21011026,74052,0,3,精英水之境2-1,0,1
21011025,74052,0,4,精英水之境2-1,0,1
21011023,74053,0,5,精英水之境2-1,0,2
21011022,74053,0,6,精英水之境2-1,0,2
21011021,74054,0,7,精英水之境2-1,0,2
21011020,74054,0,8,精英水之境2-1,0,2
21011019,74054,0,9,精英水之境2-1,0,2
21011017,74051,0,10,精英水之境2-1,0,3
21011016,74051,0,11,精英水之境2-1,0,3
21011015,74052,0,12,精英水之境2-1,0,3
21011014,74052,0,13,精英水之境2-1,0,3
21011013,74052,0,14,精英水之境2-1,0,3
21011011,74053,0,15,精英水之境2-1,0,4
21011010,74053,0,16,精英水之境2-1,0,4
21011009,74054,0,17,精英水之境2-1,0,4
21011008,74054,0,18,精英水之境2-1,0,4
21011007,74054,0,19,精英水之境2-1,0,4
21011000,74055,0,20,精英水之境2-1,0,5
21011001,74055,0,21,精英水之境2-1,0,5
21011002,74055,0,22,精英水之境2-1,0,5
21011004,74056,0,23,精英水之境2-1,0,5
21012029,74057,0,0,精英水之境2-2,0,1
21012028,74057,0,1,精英水之境2-2,0,1
21012027,74058,0,2,精英水之境2-2,0,1
21012026,74058,0,3,精英水之境2-2,0,1
21012025,74058,0,4,精英水之境2-2,0,1
21012023,74059,0,5,精英水之境2-2,0,2
21012022,74059,0,6,精英水之境2-2,0,2
21012021,74052,0,7,精英水之境2-2,0,2
21012020,74052,0,8,精英水之境2-2,0,2
21012019,74052,0,9,精英水之境2-2,0,2
21012017,74057,0,10,精英水之境2-2,0,3
21012016,74057,0,11,精英水之境2-2,0,3
21012015,74058,0,12,精英水之境2-2,0,3
21012014,74058,0,13,精英水之境2-2,0,3
21012013,74058,0,14,精英水之境2-2,0,3
21012011,74059,0,15,精英水之境2-2,0,4
21012010,74059,0,16,精英水之境2-2,0,4
21012009,74052,0,17,精英水之境2-2,0,4
21012008,74052,0,18,精英水之境2-2,0,4
21012007,74052,0,19,精英水之境2-2,0,4
21012003,74060,0,20,精英水之境2-2,0,5
21012004,74060,0,21,精英水之境2-2,0,5
21012005,74060,0,22,精英水之境2-2,0,5
21012001,74061,0,23,精英水之境2-2,0,5
21013006,74062,0,0,精英水之境2-3,0,1
21013007,74062,0,1,精英水之境2-3,0,1
21013008,74063,0,2,精英水之境2-3,0,1
21013009,74063,0,3,精英水之境2-3,0,1
21013010,74063,0,4,精英水之境2-3,0,1
21013012,74062,0,5,精英水之境2-3,0,2
21013013,74062,0,6,精英水之境2-3,0,2
21013014,74064,0,7,精英水之境2-3,0,2
21013015,74064,0,8,精英水之境2-3,0,2
21013016,74064,0,9,精英水之境2-3,0,2
21013018,74062,0,10,精英水之境2-3,0,3
21013019,74062,0,11,精英水之境2-3,0,3
21013020,74063,0,12,精英水之境2-3,0,3
21013021,74063,0,13,精英水之境2-3,0,3
21013022,74063,0,14,精英水之境2-3,0,3
21013024,74062,0,15,精英水之境2-3,0,4
21013025,74062,0,16,精英水之境2-3,0,4
21013026,74064,0,17,精英水之境2-3,0,4
21013027,74064,0,18,精英水之境2-3,0,4
21013028,74064,0,19,精英水之境2-3,0,4
21013032,74065,0,20,精英水之境2-3,0,5
21013031,74065,0,21,精英水之境2-3,0,5
21013030,74065,0,22,精英水之境2-3,0,5
21013034,74066,0,23,精英水之境2-3,0,5
21014006,74067,0,0,精英水之境2-4,0,1
21014007,74067,0,1,精英水之境2-4,0,1
21014008,74068,0,2,精英水之境2-4,0,1
21014009,74068,0,3,精英水之境2-4,0,1
21014010,74068,0,4,精英水之境2-4,0,1
21014012,74067,0,5,精英水之境2-4,0,2
21014013,74067,0,6,精英水之境2-4,0,2
21014014,74069,0,7,精英水之境2-4,0,2
21014015,74069,0,8,精英水之境2-4,0,2
21014016,74069,0,9,精英水之境2-4,0,2
21014018,74067,0,10,精英水之境2-4,0,3
21014019,74067,0,11,精英水之境2-4,0,3
21014020,74068,0,12,精英水之境2-4,0,3
21014021,74068,0,13,精英水之境2-4,0,3
21014022,74068,0,14,精英水之境2-4,0,3
21014024,74067,0,15,精英水之境2-4,0,4
21014025,74067,0,16,精英水之境2-4,0,4
21014026,74069,0,17,精英水之境2-4,0,4
21014027,74069,0,18,精英水之境2-4,0,4
21014028,74069,0,19,精英水之境2-4,0,4
21014032,74070,0,20,精英水之境2-4,0,5
21014031,74070,0,21,精英水之境2-4,0,5
21014030,74070,0,22,精英水之境2-4,0,5
21014034,74071,0,23,精英水之境2-4,0,5
21015035,74072,0,0,精英水之境2-5,0,1
21015034,74072,0,1,精英水之境2-5,0,1
21015033,74073,0,2,精英水之境2-5,0,1
21015032,74073,0,3,精英水之境2-5,0,1
21015031,74073,0,4,精英水之境2-5,0,1
21015029,74074,0,5,精英水之境2-5,0,2
21015028,74074,0,6,精英水之境2-5,0,2
21015027,74075,0,7,精英水之境2-5,0,2
21015026,74075,0,8,精英水之境2-5,0,2
21015025,74075,0,9,精英水之境2-5,0,2
21015023,74072,0,10,精英水之境2-5,0,3
21015022,74072,0,11,精英水之境2-5,0,3
21015021,74073,0,12,精英水之境2-5,0,3
21015020,74073,0,13,精英水之境2-5,0,3
21015019,74073,0,14,精英水之境2-5,0,3
21015017,74074,0,15,精英水之境2-5,0,4
21015016,74074,0,16,精英水之境2-5,0,4
21015015,74075,0,17,精英水之境2-5,0,4
21015014,74075,0,18,精英水之境2-5,0,4
21015013,74075,0,19,精英水之境2-5,0,4
21015009,74076,0,20,精英水之境2-5,0,5
21015010,74076,0,21,精英水之境2-5,0,5
21015011,74076,0,22,精英水之境2-5,0,5
21015007,74077,0,23,精英水之境2-5,0,5
21016000,74078,0,0,精英阳之境2-6,0,1
21016001,74078,0,1,精英阳之境2-6,0,1
21016002,74079,0,2,精英阳之境2-6,0,1
21016003,74079,0,3,精英阳之境2-6,0,1
21016004,74079,0,4,精英阳之境2-6,0,1
21016006,74080,0,5,精英阳之境2-6,0,2
21016007,74080,0,6,精英阳之境2-6,0,2
21016008,74081,0,7,精英阳之境2-6,0,2
21016009,74081,0,8,精英阳之境2-6,0,2
21016010,74081,0,9,精英阳之境2-6,0,2
21016012,74078,0,10,精英阳之境2-6,0,3
21016013,74078,0,11,精英阳之境2-6,0,3
21016014,74079,0,12,精英阳之境2-6,0,3
21016015,74079,0,13,精英阳之境2-6,0,3
21016016,74079,0,14,精英阳之境2-6,0,3
21016018,74080,0,15,精英阳之境2-6,0,4
21016019,74080,0,16,精英阳之境2-6,0,4
21016020,74081,0,17,精英阳之境2-6,0,4
21016021,74081,0,18,精英阳之境2-6,0,4
21016022,74081,0,19,精英阳之境2-6,0,4
21016026,74082,0,20,精英阳之境2-6,0,5
21016025,74082,0,21,精英阳之境2-6,0,5
21016024,74082,0,22,精英阳之境2-6,0,5
21016028,74083,0,23,精英阳之境2-6,0,5
21017029,74084,0,0,精英阳之境2-7,0,1
21017028,74084,0,1,精英阳之境2-7,0,1
21017027,74081,0,2,精英阳之境2-7,0,1
21017026,74081,0,3,精英阳之境2-7,0,1
21017025,74081,0,4,精英阳之境2-7,0,1
21017023,74085,0,5,精英阳之境2-7,0,2
21017022,74085,0,6,精英阳之境2-7,0,2
21017021,74086,0,7,精英阳之境2-7,0,2
21017020,74086,0,8,精英阳之境2-7,0,2
21017019,74086,0,9,精英阳之境2-7,0,2
21017017,74084,0,10,精英阳之境2-7,0,3
21017016,74084,0,11,精英阳之境2-7,0,3
21017015,74081,0,12,精英阳之境2-7,0,3
21017014,74081,0,13,精英阳之境2-7,0,3
21017013,74081,0,14,精英阳之境2-7,0,3
21017011,74085,0,15,精英阳之境2-7,0,4
21017010,74085,0,16,精英阳之境2-7,0,4
21017009,74086,0,17,精英阳之境2-7,0,4
21017008,74086,0,18,精英阳之境2-7,0,4
21017007,74086,0,19,精英阳之境2-7,0,4
21017003,74087,0,20,精英阳之境2-7,0,5
21017004,74087,0,21,精英阳之境2-7,0,5
21017005,74087,0,22,精英阳之境2-7,0,5
21017001,74088,0,23,精英阳之境2-7,0,5
21018029,74089,0,0,精英阳之境2-8,0,1
21018028,74089,0,1,精英阳之境2-8,0,1
21018027,74090,0,2,精英阳之境2-8,0,1
21018026,74090,0,3,精英阳之境2-8,0,1
21018025,74090,0,4,精英阳之境2-8,0,1
21018023,74091,0,5,精英阳之境2-8,0,2
21018022,74091,0,6,精英阳之境2-8,0,2
21018021,74092,0,7,精英阳之境2-8,0,2
21018020,74092,0,8,精英阳之境2-8,0,2
21018019,74092,0,9,精英阳之境2-8,0,2
21018017,74089,0,10,精英阳之境2-8,0,3
21018016,74089,0,11,精英阳之境2-8,0,3
21018015,74090,0,12,精英阳之境2-8,0,3
21018014,74090,0,13,精英阳之境2-8,0,3
21018013,74090,0,14,精英阳之境2-8,0,3
21018011,74091,0,15,精英阳之境2-8,0,4
21018010,74091,0,16,精英阳之境2-8,0,4
21018009,74092,0,17,精英阳之境2-8,0,4
21018008,74092,0,18,精英阳之境2-8,0,4
21018007,74092,0,19,精英阳之境2-8,0,4
21018000,74093,0,20,精英阳之境2-8,0,5
21018001,74093,0,21,精英阳之境2-8,0,5
21018002,74093,0,22,精英阳之境2-8,0,5
21018004,74094,0,23,精英阳之境2-8,0,5
21019029,74091,0,0,精英阳之境2-9,0,1
21019028,74091,0,1,精英阳之境2-9,0,1
21019027,74092,0,2,精英阳之境2-9,0,1
21019026,74092,0,3,精英阳之境2-9,0,1
21019025,74092,0,4,精英阳之境2-9,0,1
21019023,74095,0,5,精英阳之境2-9,0,2
21019022,74095,0,6,精英阳之境2-9,0,2
21019021,74096,0,7,精英阳之境2-9,0,2
21019020,74096,0,8,精英阳之境2-9,0,2
21019019,74096,0,9,精英阳之境2-9,0,2
21019017,74091,0,10,精英阳之境2-9,0,3
21019016,74091,0,11,精英阳之境2-9,0,3
21019015,74092,0,12,精英阳之境2-9,0,3
21019014,74092,0,13,精英阳之境2-9,0,3
21019013,74092,0,14,精英阳之境2-9,0,3
21019011,74095,0,15,精英阳之境2-9,0,4
21019010,74095,0,16,精英阳之境2-9,0,4
21019009,74096,0,17,精英阳之境2-9,0,4
21019008,74096,0,18,精英阳之境2-9,0,4
21019007,74096,0,19,精英阳之境2-9,0,4
21019003,74097,0,20,精英阳之境2-9,0,5
21019004,74097,0,21,精英阳之境2-9,0,5
21019005,74097,0,22,精英阳之境2-9,0,5
21019001,74098,0,23,精英阳之境2-9,0,5
21020000,74099,0,0,精英阳之境2-10,0,1
21020001,74099,0,1,精英阳之境2-10,0,1
21020002,74100,0,2,精英阳之境2-10,0,1
21020003,74100,0,3,精英阳之境2-10,0,1
21020004,74100,0,4,精英阳之境2-10,0,1
21020006,74101,0,5,精英阳之境2-10,0,2
21020007,74101,0,6,精英阳之境2-10,0,2
21020008,74102,0,7,精英阳之境2-10,0,2
21020009,74102,0,8,精英阳之境2-10,0,2
21020010,74102,0,9,精英阳之境2-10,0,2
21020012,74099,0,10,精英阳之境2-10,0,3
21020013,74099,0,11,精英阳之境2-10,0,3
21020014,74100,0,12,精英阳之境2-10,0,3
21020015,74100,0,13,精英阳之境2-10,0,3
21020016,74100,0,14,精英阳之境2-10,0,3
21020018,74101,0,15,精英阳之境2-10,0,4
21020019,74101,0,16,精英阳之境2-10,0,4
21020020,74102,0,17,精英阳之境2-10,0,4
21020021,74102,0,18,精英阳之境2-10,0,4
21020022,74102,0,19,精英阳之境2-10,0,4
21020029,74103,0,20,精英阳之境2-10,0,5
21020028,74103,0,21,精英阳之境2-10,0,5
21020027,74103,0,22,精英阳之境2-10,0,5
21020025,74104,0,23,精英阳之境2-10,0,5
21021006,74105,0,0,精英阴之境3-1,0,1
21021007,74105,0,1,精英阴之境3-1,0,1
21021008,74106,0,2,精英阴之境3-1,0,1
21021009,74106,0,3,精英阴之境3-1,0,1
21021010,74106,0,4,精英阴之境3-1,0,1
21021012,74107,0,5,精英阴之境3-1,0,2
21021013,74107,0,6,精英阴之境3-1,0,2
21021014,74108,0,7,精英阴之境3-1,0,2
21021015,74108,0,8,精英阴之境3-1,0,2
21021016,74108,0,9,精英阴之境3-1,0,2
21021018,74105,0,10,精英阴之境3-1,0,3
21021019,74105,0,11,精英阴之境3-1,0,3
21021020,74106,0,12,精英阴之境3-1,0,3
21021021,74106,0,13,精英阴之境3-1,0,3
21021022,74106,0,14,精英阴之境3-1,0,3
21021024,74107,0,15,精英阴之境3-1,0,4
21021025,74107,0,16,精英阴之境3-1,0,4
21021026,74108,0,17,精英阴之境3-1,0,4
21021027,74108,0,18,精英阴之境3-1,0,4
21021028,74108,0,19,精英阴之境3-1,0,4
21021032,74109,0,20,精英阴之境3-1,0,5
21021031,74109,0,21,精英阴之境3-1,0,5
21021030,74109,0,22,精英阴之境3-1,0,5
21021034,74110,0,23,精英阴之境3-1,0,5
21022035,74111,0,0,精英阴之境3-2,0,1
21022034,74111,0,1,精英阴之境3-2,0,1
21022033,74106,0,2,精英阴之境3-2,0,1
21022032,74106,0,3,精英阴之境3-2,0,1
21022031,74106,0,4,精英阴之境3-2,0,1
21022029,74112,0,5,精英阴之境3-2,0,2
21022028,74112,0,6,精英阴之境3-2,0,2
21022027,74108,0,7,精英阴之境3-2,0,2
21022026,74108,0,8,精英阴之境3-2,0,2
21022025,74108,0,9,精英阴之境3-2,0,2
21022023,74111,0,10,精英阴之境3-2,0,3
21022022,74111,0,11,精英阴之境3-2,0,3
21022021,74106,0,12,精英阴之境3-2,0,3
21022020,74106,0,13,精英阴之境3-2,0,3
21022019,74106,0,14,精英阴之境3-2,0,3
21022017,74112,0,15,精英阴之境3-2,0,4
21022016,74112,0,16,精英阴之境3-2,0,4
21022015,74108,0,17,精英阴之境3-2,0,4
21022014,74108,0,18,精英阴之境3-2,0,4
21022013,74108,0,19,精英阴之境3-2,0,4
21022009,74113,0,20,精英阴之境3-2,0,5
21022010,74113,0,21,精英阴之境3-2,0,5
21022011,74113,0,22,精英阴之境3-2,0,5
21022007,74114,0,23,精英阴之境3-2,0,5
21023006,74115,0,0,精英阴之境3-3,0,1
21023007,74115,0,1,精英阴之境3-3,0,1
21023008,74116,0,2,精英阴之境3-3,0,1
21023009,74116,0,3,精英阴之境3-3,0,1
21023010,74116,0,4,精英阴之境3-3,0,1
21023012,74117,0,5,精英阴之境3-3,0,2
21023013,74117,0,6,精英阴之境3-3,0,2
21023014,74118,0,7,精英阴之境3-3,0,2
21023015,74118,0,8,精英阴之境3-3,0,2
21023016,74118,0,9,精英阴之境3-3,0,2
21023018,74115,0,10,精英阴之境3-3,0,3
21023019,74115,0,11,精英阴之境3-3,0,3
21023020,74116,0,12,精英阴之境3-3,0,3
21023021,74116,0,13,精英阴之境3-3,0,3
21023022,74116,0,14,精英阴之境3-3,0,3
21023024,74117,0,15,精英阴之境3-3,0,4
21023025,74117,0,16,精英阴之境3-3,0,4
21023026,74118,0,17,精英阴之境3-3,0,4
21023027,74118,0,18,精英阴之境3-3,0,4
21023028,74118,0,19,精英阴之境3-3,0,4
21023032,74119,0,20,精英阴之境3-3,0,5
21023031,74119,0,21,精英阴之境3-3,0,5
21023030,74119,0,22,精英阴之境3-3,0,5
21023034,74120,0,23,精英阴之境3-3,0,5
21024029,74117,0,0,精英阴之境3-4,0,1
21024028,74117,0,1,精英阴之境3-4,0,1
21024027,74118,0,2,精英阴之境3-4,0,1
21024026,74118,0,3,精英阴之境3-4,0,1
21024025,74118,0,4,精英阴之境3-4,0,1
21024023,74121,0,5,精英阴之境3-4,0,2
21024022,74121,0,6,精英阴之境3-4,0,2
21024021,74122,0,7,精英阴之境3-4,0,2
21024020,74122,0,8,精英阴之境3-4,0,2
21024019,74122,0,9,精英阴之境3-4,0,2
21024017,74117,0,10,精英阴之境3-4,0,3
21024016,74117,0,11,精英阴之境3-4,0,3
21024015,74118,0,12,精英阴之境3-4,0,3
21024014,74118,0,13,精英阴之境3-4,0,3
21024013,74118,0,14,精英阴之境3-4,0,3
21024011,74121,0,15,精英阴之境3-4,0,4
21024010,74121,0,16,精英阴之境3-4,0,4
