INDEX,CONDITION,DRAW_WEIGHT_CHANGE,BOX_WEIGHT_CHANGE,REFRESH_WEIGHT_CHANGE
21,pet_id=30095#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30095#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
22,pet_id=30102#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30102#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
23,pet_id=30108#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30108#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
24,pet_id=30096#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30096#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
25,pet_id=30112#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30112#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
26,pet_id=30101#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30101#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
27,pet_id=30106#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30106#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
28,pet_id=30103#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30103#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
29,pet_id=30093#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30093#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999|group_id=90006#drop_id=30118#weight=-999|group_id=90006#drop_id=30075#weight=-999,,0
30,pet_id=30118#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30118#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999|group_id=90006#drop_id=30093#weight=-999|group_id=90006#drop_id=30075#weight=-999,,0
31,pet_id=30113#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30113#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
32,pet_id=30075#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30075#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999|group_id=90006#drop_id=30093#weight=-999|group_id=90006#drop_id=30118#weight=-999,,0
33,pet_id=30098#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30098#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
34,pet_id=30116#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30116#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
35,pet_id=30097#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30097#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
36,pet_id=30095#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30095#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
37,pet_id=30102#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30102#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
38,pet_id=30108#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30108#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
39,pet_id=30096#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30096#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
40,pet_id=30112#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30112#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
41,pet_id=30101#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30101#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
42,pet_id=30106#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30106#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
43,pet_id=30103#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30103#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
44,pet_id=30093#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30093#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999|group_id=90006#drop_id=30118#weight=-999|group_id=90006#drop_id=30075#weight=-999,,0
45,pet_id=30118#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30118#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999|group_id=90006#drop_id=30093#weight=-999|group_id=90006#drop_id=30075#weight=-999,,0
46,pet_id=30113#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30113#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
47,pet_id=30075#min=1#max=1#min_draw_time=21#max_draw_time=30,group_id=90006#drop_id=30075#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999|group_id=90006#drop_id=30093#weight=-999|group_id=90006#drop_id=30118#weight=-999,,0
48,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30098#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30115#weight=9999999,0
49,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30116#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30094#weight=9999999,0
50,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30097#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30105#weight=9999999,0
51,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30095#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30110#weight=9999999,0
52,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30102#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30111#weight=9999999,0
53,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30108#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30115#weight=9999999,0
54,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30096#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30094#weight=9999999,0
55,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30112#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30105#weight=9999999,0
56,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30101#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30110#weight=9999999,0
57,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30106#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30111#weight=9999999,0
58,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30103#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30115#weight=9999999,0
59,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30093#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30094#weight=9999999,0
60,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30118#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30094#weight=9999999,0
61,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30113#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30110#weight=9999999,0
62,pet_quality=5#min=2#max=2#min_draw_time=0#max_draw_time=40|pet_id=30075#min=1#max=999#min_draw_time=0#max_draw_time=40,,group_id=90007#drop_id=30094#weight=9999999,0
63,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30098#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30115#weight=9999999,,0
64,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30116#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30094#weight=9999999,,0
65,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30097#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30105#weight=9999999,,0
66,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30095#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30110#weight=9999999,,0
67,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30102#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30111#weight=9999999,,0
68,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30108#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30115#weight=9999999,,0
69,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30096#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30094#weight=9999999,,0
70,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30112#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30105#weight=9999999,,0
71,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30101#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30110#weight=9999999,,0
72,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30106#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30111#weight=9999999,,0
73,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30103#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30115#weight=9999999,,0
74,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30093#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30094#weight=9999999,,0
75,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30118#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30094#weight=9999999,,0
76,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30113#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30110#weight=9999999,,0
77,pet_quality=5#min=2#max=2#min_draw_time=41#max_draw_time=50|pet_id=30075#min=1#max=999#min_draw_time=41#max_draw_time=50,group_id=90006#drop_id=30094#weight=9999999,,0
78,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30105#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30105#weight=-999,0
79,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30110#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30110#weight=-999,0
80,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30115#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30115#weight=-999,0
81,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30094#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30094#weight=-999,0
82,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30111#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30111#weight=-999,0
83,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30108#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30108#weight=-999,0
84,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30101#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30101#weight=-999,0
85,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30112#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30112#weight=-999,0
86,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30096#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30096#weight=-999,0
87,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30106#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30106#weight=-999,0
88,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30103#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30103#weight=-999,0
89,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30113#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30113#weight=-999,0
90,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30118#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30118#weight=-999,0
91,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30093#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30093#weight=-999,0
92,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30075#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30075#weight=-999,0
93,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30098#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30098#weight=-999,0
94,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30095#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30095#weight=-999,0
95,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30097#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30097#weight=-999,0
96,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30116#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30116#weight=-999,0
97,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30102#min=1#max=999#min_draw_time=51#max_draw_time=9999999,,group_id=90007#drop_id=30102#weight=-999,0
98,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30105#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30105#weight=-999,,0
99,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30110#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30110#weight=-999,,0
100,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30115#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30115#weight=-999,,0
101,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30094#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30094#weight=-999,,0
102,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30111#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30111#weight=-999,,0
103,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30108#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30108#weight=-999,,0
104,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30101#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30101#weight=-999,,0
105,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30112#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30112#weight=-999,,0
106,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30096#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30096#weight=-999,,0
