INDEX,ROLE_ID,ROLE_LEVEL,COMBAT,PETID_MIN_1,PETID_MAX_1,PETID_MIN_2,PETID_MAX_2,PETID_MIN_3,PETID_MAX_3
42,50112,35,74370,30631,30631,30695,30695,30497,30497
43,50012,35,74348,30374,30374,30656,30656,30713,30713
44,50012,35,74412,30610,30610,30664,30664,30687,30687
45,50012,35,74366,30610,30610,30664,30664,30648,30648
46,50112,35,74368,30610,30610,30687,30687,30742,30742
47,50112,35,74380,30610,30610,30687,30687,30742,30742
48,50112,35,74391,30631,30631,30681,30681,30497,30497
49,50012,35,74387,30733,30733,30564,30564,30556,30556
50,50012,34,74384,30719,30719,30695,30695,30497,30497
51,50113,34,74372,30610,30610,30664,30664,30648,30648
52,50013,34,74443,30374,30374,30713,30713,30751,30751
53,50113,34,74361,30639,30639,30673,30673,30704,30704
54,50113,34,74405,30610,30610,30664,30664,30687,30687
55,50113,34,74352,30610,30610,30664,30664,30687,30687
56,50113,34,74438,30610,30610,30687,30687,30742,30742
57,50113,34,74420,30733,30733,30628,30628,30556,30556
58,50113,34,74366,30733,30733,30628,30628,30556,30556
59,50013,34,74371,30374,30374,30751,30751,30713,30713
60,50113,34,74386,30719,30719,30695,30695,30497,30497
61,50113,34,74401,30374,30374,30724,30724,30751,30751
62,50113,34,74420,30374,30374,30751,30751,30713,30713
63,50013,34,74392,30374,30374,30713,30713,30751,30751
64,50113,34,74419,30374,30374,30751,30751,30713,30713
65,50113,34,74398,30733,30733,30564,30564,30556,30556
66,50113,34,74379,30719,30719,30695,30695,30497,30497
67,50013,34,74403,30374,30374,30656,30656,30713,30713
68,50113,34,74401,30374,30374,30713,30713,30751,30751
69,50113,34,74412,30733,30733,30628,30628,30587,30587
70,50013,34,74431,30610,30610,30664,30664,30648,30648
71,50013,34,74400,30610,30610,30687,30687,30742,30742
72,50013,34,74425,30374,30374,30751,30751,30713,30713
73,50013,34,74372,30733,30733,30628,30628,30556,30556
74,50113,34,74347,30366,30366,30619,30619,30704,30704
75,50013,34,74416,30610,30610,30687,30687,30742,30742
76,50113,34,74379,30374,30374,30751,30751,30713,30713
77,50113,34,74367,30733,30733,30587,30587,30556,30556
78,50013,34,74439,30610,30610,30664,30664,30687,30687
79,50113,34,74413,30374,30374,30724,30724,30751,30751
80,50013,34,74393,30639,30639,30619,30619,30673,30673
81,50113,34,74412,30374,30374,30656,30656,30713,30713
82,50113,34,74409,30374,30374,30713,30713,30751,30751
83,50113,34,74368,30610,30610,30664,30664,30648,30648
84,50013,34,74441,30719,30719,30695,30695,30497,30497
85,50013,34,74439,30610,30610,30664,30664,30648,30648
86,50013,34,74349,30374,30374,30713,30713,30751,30751
87,50113,34,74367,30733,30733,30628,30628,30556,30556
88,50113,34,74414,30733,30733,30564,30564,30556,30556
89,50013,34,74394,30374,30374,30751,30751,30713,30713
90,50013,34,74438,30733,30733,30628,30628,30587,30587
91,50113,34,74396,30719,30719,30695,30695,30497,30497
92,50013,34,74418,30374,30374,30751,30751,30713,30713
93,50113,34,74373,30610,30610,30687,30687,30742,30742
94,50013,34,74386,30610,30610,30687,30687,30742,30742
95,50113,34,74374,30631,30631,30695,30695,30497,30497
96,50013,34,74420,30610,30610,30687,30687,30742,30742
97,50113,34,74371,30374,30374,30656,30656,30713,30713
98,50013,34,74399,30631,30631,30695,30695,30497,30497
99,50113,34,74423,30631,30631,30695,30695,30497,30497
100,50013,33,68978,30580,30580,30680,30680,30496,30496
101,50114,33,68910,30391,30391,30718,30718,30680,30680
102,50014,33,68936,30580,30580,30680,30680,30496,30496
103,50014,33,68928,30406,30406,30647,30647,30686,30686
104,50014,33,68977,30493,30493,30609,30609,30663,30663
105,50014,33,68930,30528,30528,30712,30712,30655,30655
106,50014,33,68921,30528,30528,30750,30750,30712,30712
107,50114,33,68953,30391,30391,30718,30718,30694,30694
108,50114,33,69001,30493,30493,30609,30609,30663,30663
109,50014,33,68931,30580,30580,30694,30694,30680,30680
110,50014,33,68951,30493,30493,30609,30609,30663,30663
111,50114,33,68945,30528,30528,30655,30655,30723,30723
112,50114,33,68980,30406,30406,30647,30647,30686,30686
113,50014,33,68923,30365,30365,30638,30638,30618,30618
114,50114,33,68972,30478,30478,30732,30732,30563,30563
115,50114,33,68923,30528,30528,30655,30655,30723,30723
116,50014,33,68999,30406,30406,30741,30741,30686,30686
117,50114,33,68964,30365,30365,30638,30638,30618,30618
118,50014,33,68940,30436,30436,30627,30627,30555,30555
119,50014,33,68954,30463,30463,30703,30703,30672,30672
120,50014,33,68913,30478,30478,30732,30732,30627,30627
121,50114,33,68979,30603,30603,30373,30373,30712,30712
122,50114,33,69001,30365,30365,30638,30638,30618,30618
123,50014,33,68967,30436,30436,30563,30563,30586,30586
124,50014,33,68959,30493,30493,30609,30609,30663,30663
125,50114,33,68972,30406,30406,30741,30741,30686,30686
126,50114,33,68953,30463,30463,30672,30672,30618,30618
127,50114,33,68967,30580,30580,30680,30680,30496,30496
128,50014,33,68918,30463,30463,30618,30618,30703,30703
129,50114,33,69000,30391,30391,30718,30718,30680,30680
130,50114,33,68920,30513,30513,30373,30373,30655,30655
131,50114,33,68915,30463,30463,30672,30672,30618,30618
132,50114,33,68967,30391,30391,30718,30718,30680,30680
133,50114,33,68974,30493,30493,30609,30609,30663,30663
134,50014,33,69003,30421,30421,30609,30609,30741,30741
135,50014,33,69002,30421,30421,30609,30609,30741,30741
136,50114,33,68993,30603,30603,30373,30373,30712,30712
137,50114,33,68954,30493,30493,30609,30609,30663,30663
138,50114,33,68916,30528,30528,30655,30655,30723,30723
139,50014,33,68933,30528,30528,30750,30750,30712,30712
140,50114,33,68938,30528,30528,30750,30750,30712,30712
141,50014,33,69000,30436,30436,30586,30586,30627,30627
142,50014,33,68917,30478,30478,30732,30732,30563,30563
143,50114,33,68992,30436,30436,30627,30627,30555,30555
144,50014,33,68994,30365,30365,30638,30638,30618,30618
145,50014,33,68915,30580,30580,30680,30680,30496,30496
146,50014,33,68992,30463,30463,30672,30672,30618,30618
147,50114,33,68991,30603,30603,30373,30373,30712,30712
148,50114,33,68975,30528,30528,30655,30655,30723,30723
149,50114,33,69001,30493,30493,30609,30609,30663,30663
150,50114,33,68998,30528,30528,30655,30655,30723,30723
151,50114,33,68906,30580,30580,30680,30680,30496,30496
152,50114,33,68959,30528,30528,30750,30750,30712,30712
153,50014,33,68993,30436,30436,30627,30627,30555,30555
154,50014,33,68996,30463,30463,30618,30618,30703,30703
155,50014,33,68906,30580,30580,30680,30680,30496,30496
156,50114,33,68961,30528,30528,30750,30750,30712,30712
157,50014,33,68944,30513,30513,30373,30373,30655,30655
158,50014,33,68955,30528,30528,30655,30655,30723,30723
159,50114,33,68922,30436,30436,30627,30627,30555,30555
160,50114,33,68942,30603,30603,30373,30373,30712,30712
161,50014,33,68973,30365,30365,30638,30638,30618,30618
162,50114,33,68976,30365,30365,30638,30638,30618,30618
163,50114,33,68934,30365,30365,30638,30638,30618,30618
164,50014,33,68976,30436,30436,30586,30586,30627,30627
165,50114,33,68958,30406,30406,30663,30663,30686,30686
166,50114,33,68955,30436,30436,30563,30563,30586,30586
167,50114,33,68965,30463,30463,30703,30703,30672,30672
168,50014,33,68914,30528,30528,30750,30750,30712,30712
169,50014,33,68993,30580,30580,30694,30694,30680,30680
170,50014,33,68958,30406,30406,30647,30647,30686,30686
171,50114,33,68928,30391,30391,30718,30718,30680,30680
172,50014,33,68981,30406,30406,30663,30663,30686,30686
173,50114,33,68963,30365,30365,30638,30638,30618,30618
174,50014,33,68977,30478,30478,30732,30732,30627,30627
175,50114,33,68991,30580,30580,30694,30694,30680,30680
176,50014,33,68929,30391,30391,30718,30718,30694,30694
177,50114,33,68940,30580,30580,30680,30680,30496,30496
178,50114,33,68966,30391,30391,30718,30718,30680,30680
179,50014,33,68921,30436,30436,30586,30586,30627,30627
180,50014,33,68978,30365,30365,30638,30638,30618,30618
181,50114,33,68948,30603,30603,30373,30373,30712,30712
182,50014,33,68971,30580,30580,30680,30680,30496,30496
183,50114,33,68949,30436,30436,30586,30586,30627,30627
184,50114,33,68922,30421,30421,30609,30609,30741,30741
185,50114,33,69000,30406,30406,30741,30741,30686,30686
186,50014,33,68936,30406,30406,30663,30663,30686,30686
187,50114,33,68934,30406,30406,30663,30663,30686,30686
188,50014,33,68931,30513,30513,30373,30373,30655,30655
189,50014,33,68963,30463,30463,30672,30672,30618,30618
190,50014,33,68932,30580,30580,30680,30680,30496,30496
191,50114,33,68986,30580,30580,30680,30680,30496,30496
192,50014,33,68943,30528,30528,30750,30750,30712,30712
193,50014,33,69004,30436,30436,30563,30563,30586,30586
194,50114,33,68969,30365,30365,30638,30638,30618,30618
195,50114,33,68961,30463,30463,30672,30672,30618,30618
196,50014,33,68994,30436,30436,30563,30563,30586,30586
197,50014,33,69004,30365,30365,30638,30638,30618,30618
198,50014,33,68925,30493,30493,30609,30609,30663,30663
199,50014,33,68985,30406,30406,30663,30663,30686,30686
200,50114,32,61720,30579,30579,30693,30693,30679,30679
201,50115,32,61731,30602,30602,30372,30372,30711,30711
202,50115,32,61721,30364,30364,30637,30637,30617,30617
203,50015,32,61713,30405,30405,30646,30646,30685,30685
204,50015,32,61712,30477,30477,30731,30731,30562,30562
205,50115,32,61792,30527,30527,30654,30654,30722,30722
206,50115,32,61762,30579,30579,30693,30693,30679,30679
207,50115,32,61708,30579,30579,30679,30679,30495,30495
208,50115,32,61802,30390,30390,30717,30717,30693,30693
209,50115,32,61716,30527,30527,30654,30654,30722,30722
210,50115,32,61788,30462,30462,30702,30702,30671,30671
211,50015,32,61768,30390,30390,30717,30717,30693,30693
212,50115,32,61748,30364,30364,30637,30637,30617,30617
213,50015,32,61803,30390,30390,30717,30717,30693,30693
214,50115,32,61749,30435,30435,30585,30585,30626,30626
215,50015,32,61791,30405,30405,30740,30740,30685,30685
216,50015,32,61759,30477,30477,30731,30731,30626,30626
217,50015,32,61804,30364,30364,30637,30637,30617,30617
218,50015,32,61724,30405,30405,30662,30662,30685,30685
219,50115,32,61742,30462,30462,30702,30702,30671,30671
220,50115,32,61746,30512,30512,30372,30372,30654,30654
221,50015,32,61721,30405,30405,30662,30662,30685,30685
222,50115,32,61790,30579,30579,30679,30679,30495,30495
223,50115,32,61790,30435,30435,30562,30562,30585,30585
224,50015,32,61749,30435,30435,30626,30626,30554,30554
225,50115,32,61791,30512,30512,30372,30372,30654,30654
226,50115,32,61779,30477,30477,30731,30731,30626,30626
227,50015,32,61771,30602,30602,30372,30372,30711,30711
228,50015,32,61737,30477,30477,30731,30731,30562,30562
229,50115,32,61801,30512,30512,30372,30372,30654,30654
230,50015,32,61746,30462,30462,30617,30617,30702,30702
231,50115,32,61773,30492,30492,30608,30608,30662,30662
232,50015,32,61707,30527,30527,30749,30749,30711,30711
233,50015,32,61732,30435,30435,30626,30626,30554,30554
234,50115,32,61731,30579,30579,30693,30693,30679,30679
235,50115,32,61712,30435,30435,30626,30626,30554,30554
236,50115,32,61760,30364,30364,30637,30637,30617,30617
237,50115,32,61784,30492,30492,30608,30608,30662,30662
238,50015,32,61782,30579,30579,30693,30693,30679,30679
239,50115,32,61740,30579,30579,30679,30679,30495,30495
240,50115,32,61761,30492,30492,30608,30608,30662,30662
241,50015,32,61799,30435,30435,30585,30585,30626,30626
242,50015,32,61720,30435,30435,30585,30585,30626,30626
243,50015,32,61738,30420,30420,30608,30608,30740,30740
244,50115,32,61771,30435,30435,30626,30626,30554,30554
245,50115,32,61714,30435,30435,30562,30562,30585,30585
246,50115,32,61744,30364,30364,30637,30637,30617,30617
247,50115,32,61764,30462,30462,30671,30671,30617,30617
248,50115,32,61789,30527,30527,30654,30654,30722,30722
249,50115,32,61764,30435,30435,30562,30562,30585,30585
250,50015,32,61754,30405,30405,30662,30662,30685,30685
251,50015,32,61787,30364,30364,30637,30637,30617,30617
252,50115,32,61720,30579,30579,30679,30679,30495,30495
253,50115,32,61776,30579,30579,30679,30679,30495,30495
254,50115,32,61761,30405,30405,30646,30646,30685,30685
255,50015,32,61729,30462,30462,30702,30702,30671,30671
256,50115,32,61795,30390,30390,30717,30717,30679,30679
257,50115,32,61803,30527,30527,30711,30711,30654,30654
258,50015,32,61803,30512,30512,30372,30372,30654,30654
259,50115,32,61735,30405,30405,30662,30662,30685,30685
260,50015,32,61753,30579,30579,30693,30693,30679,30679
261,50015,32,61758,30492,30492,30608,30608,30662,30662
262,50115,32,61800,30364,30364,30637,30637,30617,30617
263,50015,32,61766,30390,30390,30717,30717,30679,30679
264,50115,32,61779,30405,30405,30646,30646,30685,30685
265,50115,32,61801,30512,30512,30372,30372,30654,30654
266,50015,32,61795,30579,30579,30693,30693,30679,30679
267,50015,32,61762,30435,30435,30626,30626,30554,30554
268,50015,32,61731,30512,30512,30372,30372,30654,30654
269,50115,32,61707,30462,30462,30702,30702,30671,30671
270,50015,32,61804,30477,30477,30731,30731,30562,30562
271,50015,32,61710,30435,30435,30585,30585,30626,30626
272,50015,32,61720,30390,30390,30717,30717,30679,30679
273,50015,32,61726,30602,30602,30372,30372,30711,30711
274,50015,32,61727,30527,30527,30711,30711,30654,30654
275,50015,32,61726,30527,30527,30749,30749,30711,30711
276,50015,32,61758,30579,30579,30679,30679,30495,30495
277,50015,32,61725,30527,30527,30749,30749,30711,30711
278,50015,32,61711,30512,30512,30372,30372,30654,30654
279,50115,32,61734,30527,30527,30711,30711,30654,30654
280,50115,32,61760,30435,30435,30562,30562,30585,30585
281,50115,32,61747,30527,30527,30654,30654,30722,30722
282,50015,32,61778,30435,30435,30585,30585,30626,30626
283,50115,32,61803,30477,30477,30731,30731,30562,30562
284,50115,32,61742,30512,30512,30372,30372,30654,30654
285,50115,32,61744,30405,30405,30662,30662,30685,30685
286,50015,32,61764,30492,30492,30608,30608,30662,30662
287,50115,32,61743,30405,30405,30662,30662,30685,30685
288,50015,32,61799,30364,30364,30637,30637,30617,30617
289,50015,32,61743,30602,30602,30372,30372,30711,30711
290,50115,32,61741,30527,30527,30749,30749,30711,30711
291,50015,32,61776,30477,30477,30731,30731,30562,30562
292,50115,32,61764,30435,30435,30626,30626,30554,30554
293,50115,32,61796,30364,30364,30637,30637,30617,30617
294,50015,32,61766,30364,30364,30637,30637,30617,30617
295,50015,32,61742,30405,30405,30646,30646,30685,30685
296,50115,32,61755,30602,30602,30372,30372,30711,30711
297,50015,32,61736,30579,30579,30679,30679,30495,30495
298,50015,32,61719,30602,30602,30372,30372,30711,30711
299,50115,32,61718,30579,30579,30679,30679,30495,30495
300,50015,31,51160,30434,30434,30584,30584,30625,30625
301,50115,31,51195,30461,30461,30670,30670,30616,30616
302,50015,31,51179,30601,30601,30371,30371,30710,30710
303,50115,31,51152,30461,30461,30670,30670,30616,30616
304,50015,31,51214,30434,30434,30625,30625,30553,30553
305,50115,31,51248,30578,30578,30678,30678,30494,30494
306,50115,31,51242,30578,30578,30692,30692,30678,30678
307,50015,31,51196,30434,30434,30561,30561,30584,30584
308,50115,31,51214,30389,30389,30716,30716,30692,30692
309,50115,31,51219,30526,30526,30653,30653,30721,30721
310,50115,31,51163,30461,30461,30616,30616,30701,30701
311,50015,31,51165,30363,30363,30636,30636,30616,30616
312,50115,31,51184,30476,30476,30730,30730,30561,30561
313,50115,31,51196,30363,30363,30636,30636,30616,30616
314,50115,31,51168,30578,30578,30692,30692,30678,30678
315,50115,31,51150,30404,30404,30739,30739,30684,30684
316,50015,31,51236,30404,30404,30645,30645,30684,30684
317,50115,31,51159,30578,30578,30678,30678,30494,30494
318,50115,31,51200,30461,30461,30701,30701,30670,30670
319,50015,31,51184,30434,30434,30625,30625,30553,30553
320,50015,31,51193,30578,30578,30678,30678,30494,30494
321,50015,31,51171,30419,30419,30607,30607,30739,30739
322,50015,31,51195,30476,30476,30730,30730,30561,30561
323,50115,31,51200,30434,30434,30561,30561,30584,30584
324,50015,31,51156,30526,30526,30748,30748,30710,30710
325,50115,31,51174,30363,30363,30636,30636,30616,30616
326,50115,31,51245,30363,30363,30636,30636,30616,30616
327,50015,31,51171,30526,30526,30653,30653,30721,30721
328,50115,31,51220,30404,30404,30739,30739,30684,30684
329,50015,31,51237,30578,30578,30692,30692,30678,30678
330,50115,31,51216,30578,30578,30678,30678,30494,30494
331,50115,31,51202,30404,30404,30645,30645,30684,30684
332,50015,31,51165,30434,30434,30625,30625,30553,30553
333,50015,31,51233,30389,30389,30716,30716,30678,30678
334,50015,31,51187,30511,30511,30371,30371,30653,30653
335,50115,31,51239,30526,30526,30748,30748,30710,30710
336,50015,31,51217,30491,30491,30607,30607,30661,30661
337,50015,31,51181,30363,30363,30636,30636,30616,30616
338,50115,31,51163,30404,30404,30739,30739,30684,30684
339,50015,31,51206,30461,30461,30616,30616,30701,30701
340,50015,31,51222,30363,30363,30636,30636,30616,30616
341,50115,31,51187,30601,30601,30371,30371,30710,30710
342,50115,31,51192,30363,30363,30636,30636,30616,30616
343,50115,31,51163,30404,30404,30739,30739,30684,30684
344,50015,31,51195,30601,30601,30371,30371,30710,30710
345,50015,31,51156,30578,30578,30692,30692,30678,30678
346,50015,31,51206,30601,30601,30371,30371,30710,30710
347,50115,31,51239,30526,30526,30710,30710,30653,30653
348,50115,31,51179,30434,30434,30561,30561,30584,30584
349,50015,31,51166,30389,30389,30716,30716,30678,30678
350,50115,31,51149,30419,30419,30607,30607,30739,30739
351,50115,31,51227,30404,30404,30661,30661,30684,30684
352,50015,31,51230,30434,30434,30561,30561,30584,30584
353,50015,31,51236,30511,30511,30371,30371,30653,30653
354,50015,31,51198,30578,30578,30678,30678,30494,30494
355,50115,31,51223,30526,30526,30748,30748,30710,30710
356,50015,31,51207,30526,30526,30748,30748,30710,30710
357,50015,31,51231,30578,30578,30692,30692,30678,30678
358,50115,31,51237,30476,30476,30730,30730,30561,30561
359,50115,31,51188,30419,30419,30607,30607,30739,30739
360,50015,31,51162,30461,30461,30701,30701,30670,30670
361,50015,31,51212,30578,30578,30692,30692,30678,30678
362,50015,31,51212,30526,30526,30748,30748,30710,30710
363,50115,31,51224,30389,30389,30716,30716,30692,30692
364,50115,31,51207,30419,30419,30607,30607,30739,30739
365,50115,31,51200,30389,30389,30716,30716,30678,30678
366,50115,31,51190,30578,30578,30678,30678,30494,30494
367,50115,31,51244,30389,30389,30716,30716,30678,30678
368,50115,31,51165,30526,30526,30653,30653,30721,30721
369,50015,31,51215,30404,30404,30739,30739,30684,30684
370,50015,31,51237,30461,30461,30701,30701,30670,30670
371,50115,31,51243,30404,30404,30661,30661,30684,30684
372,50115,31,51205,30526,30526,30653,30653,30721,30721
373,50015,31,51176,30404,30404,30645,30645,30684,30684
374,50015,31,51200,30363,30363,30636,30636,30616,30616
375,50015,31,51207,30404,30404,30739,30739,30684,30684
376,50115,31,51161,30461,30461,30616,30616,30701,30701
377,50015,31,51194,30526,30526,30653,30653,30721,30721
378,50015,31,51189,30404,30404,30661,30661,30684,30684
379,50115,31,51174,30526,30526,30748,30748,30710,30710
380,50015,31,51206,30476,30476,30730,30730,30561,30561
381,50015,31,51188,30419,30419,30607,30607,30739,30739
382,50115,31,51193,30363,30363,30636,30636,30616,30616
383,50015,31,51231,30434,30434,30625,30625,30553,30553
384,50115,31,51172,30578,30578,30692,30692,30678,30678
385,50115,31,51232,30363,30363,30636,30636,30616,30616
386,50015,31,51207,30404,30404,30645,30645,30684,30684
387,50115,31,51152,30363,30363,30636,30636,30616,30616
388,50015,31,51195,30419,30419,30607,30607,30739,30739
389,50015,31,51175,30511,30511,30371,30371,30653,30653
390,50015,31,51243,30363,30363,30636,30636,30616,30616
391,50015,31,51204,30491,30491,30607,30607,30661,30661
392,50115,31,51229,30491,30491,30607,30607,30661,30661
393,50115,31,51199,30461,30461,30670,30670,30616,30616
394,50015,31,51191,30491,30491,30607,30607,30661,30661
395,50015,31,51246,30434,30434,30561,30561,30584,30584
396,50115,31,51180,30404,30404,30645,30645,30684,30684
397,50015,31,51238,30363,30363,30636,30636,30616,30616
398,50115,31,51184,30434,30434,30625,30625,30553,30553
399,50115,31,51162,30491,30491,30607,30607,30661,30661
400,50015,30,42117,30540,30540,30388,30388,30715,30715
401,50115,30,42124,30403,30403,30490,30490,30644,30644
402,50115,30,42114,30403,30403,30490,30490,30644,30644
403,50115,30,42158,30448,30448,30475,30475,30729,30729
404,50015,30,42070,30525,30525,30600,30600,30709,30709
405,50015,30,42102,30448,30448,30475,30475,30729,30729
406,50015,30,42075,30460,30460,30552,30552,30615,30615
407,50015,30,42132,30403,30403,30490,30490,30644,30644
408,50115,30,42155,30403,30403,30490,30490,30644,30644
409,50115,30,42119,30362,30362,30552,30552,30635,30635
410,50115,30,42101,30448,30448,30475,30475,30729,30729
411,50015,30,42080,30577,30577,30540,30540,30677,30677
412,50115,30,42127,30362,30362,30552,30552,30635,30635
413,50115,30,42061,30577,30577,30540,30540,30677,30677
414,50015,30,42136,30525,30525,30510,30510,30747,30747
415,50015,30,42113,30577,30577,30388,30388,30691,30691
416,50115,30,42118,30433,30433,30448,30448,30583,30583
417,50015,30,42151,30403,30403,30418,30418,30738,30738
418,50115,30,42152,30577,30577,30540,30540,30677,30677
419,50015,30,42132,30460,30460,30552,30552,30615,30615
420,50015,30,42120,30525,30525,30510,30510,30747,30747
421,50015,30,42066,30577,30577,30540,30540,30677,30677
422,50015,30,42076,30525,30525,30510,30510,30747,30747
423,50115,30,42116,30577,30577,30540,30540,30677,30677
424,50115,30,42070,30460,30460,30362,30362,30669,30669
425,50015,30,42062,30403,30403,30490,30490,30644,30644
426,50015,30,42144,30403,30403,30490,30490,30644,30644
427,50115,30,42073,30577,30577,30388,30388,30691,30691
428,50115,30,42119,30433,30433,30448,30448,30583,30583
429,50115,30,42119,30448,30448,30475,30475,30729,30729
430,50115,30,42142,30577,30577,30388,30388,30691,30691
431,50115,30,42086,30460,30460,30362,30362,30700,30700
432,50115,30,42077,30418,30418,30490,30490,30606,30606
433,50015,30,42146,30418,30418,30490,30490,30606,30606
434,50015,30,42126,30418,30418,30490,30490,30606,30606
435,50115,30,42067,30403,30403,30490,30490,30644,30644
436,50115,30,42070,30577,30577,30540,30540,30677,30677
437,50115,30,42061,30448,30448,30475,30475,30729,30729
438,50115,30,42079,30460,30460,30362,30362,30700,30700
439,50115,30,42114,30433,30433,30448,30448,30583,30583
440,50115,30,42075,30540,30540,30388,30388,30715,30715
441,50115,30,42128,30577,30577,30540,30540,30677,30677
442,50015,30,42089,30525,30525,30600,30600,30652,30652
443,50115,30,42063,30577,30577,30540,30540,30677,30677
444,50015,30,42134,30460,30460,30552,30552,30615,30615
445,50115,30,42138,30577,30577,30540,30540,30677,30677
446,50015,30,42128,30525,30525,30600,30600,30709,30709
447,50015,30,42146,30403,30403,30418,30418,30738,30738
448,50015,30,42099,30460,30460,30552,30552,30615,30615
449,50115,30,42141,30448,30448,30475,30475,30729,30729
450,50115,30,42063,30433,30433,30448,30448,30624,30624
451,50015,30,42111,30577,30577,30388,30388,30691,30691
452,50015,30,42101,30403,30403,30418,30418,30738,30738
453,50115,30,42085,30362,30362,30552,30552,30635,30635
454,50015,30,42061,30448,30448,30475,30475,30729,30729
455,50115,30,42149,30403,30403,30418,30418,30738,30738
456,50115,30,42077,30403,30403,30418,30418,30738,30738
457,50015,30,42155,30577,30577,30540,30540,30677,30677
458,50115,30,42070,30448,30448,30475,30475,30729,30729
459,50115,30,42141,30448,30448,30475,30475,30729,30729
460,50015,30,42090,30460,30460,30362,30362,30700,30700
461,50015,30,42138,30362,30362,30552,30552,30635,30635
462,50015,30,42098,30600,30600,30510,30510,30370,30370
463,50015,30,42127,30525,30525,30510,30510,30747,30747
464,50115,30,42152,30460,30460,30552,30552,30615,30615
465,50015,30,42067,30433,30433,30475,30475,30560,30560
466,50115,30,42102,30403,30403,30490,30490,30644,30644
467,50015,30,42150,30403,30403,30490,30490,30644,30644
468,50015,30,42076,30433,30433,30448,30448,30583,30583
469,50015,30,42100,30600,30600,30510,30510,30370,30370
470,50015,30,42085,30362,30362,30552,30552,30635,30635
471,50015,30,42116,30460,30460,30362,30362,30669,30669
472,50015,30,42131,30403,30403,30490,30490,30660,30660
473,50015,30,42085,30403,30403,30490,30490,30644,30644
474,50115,30,42119,30448,30448,30475,30475,30729,30729
475,50015,30,42139,30433,30433,30448,30448,30624,30624
476,50115,30,42104,30448,30448,30475,30475,30729,30729
477,50115,30,42100,30577,30577,30388,30388,30691,30691
478,50115,30,42072,30403,30403,30418,30418,30738,30738
479,50115,30,42105,30403,30403,30490,30490,30644,30644
480,50115,30,42071,30577,30577,30388,30388,30691,30691
481,50015,30,42149,30403,30403,30490,30490,30660,30660
482,50115,30,42118,30577,30577,30540,30540,30677,30677
483,50015,30,42133,30525,30525,30600,30600,30652,30652
484,50015,30,42063,30433,30433,30448,30448,30583,30583
485,50015,30,42120,30577,30577,30540,30540,30677,30677
486,50015,30,42090,30460,30460,30552,30552,30615,30615
487,50115,30,42110,30460,30460,30362,30362,30700,30700
488,50115,30,42132,30577,30577,30540,30540,30677,30677
489,50115,30,42073,30460,30460,30362,30362,30669,30669
490,50015,30,42092,30540,30540,30388,30388,30715,30715
491,50115,30,42107,30460,30460,30362,30362,30700,30700
492,50115,30,42079,30525,30525,30600,30600,30652,30652
